OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
109,Vanderbilt,Loss 7-9,9.71,Counts,0.061500000000000006,2023-03-19,Missouri Loves Company MLC,0,7,9,-279.34,-2,1121.15,684.04,841.8100000000002,674.3299999999999,841.8100000000002,51.771315000000016,Minnesota-B,1
64,Northwestern,Loss 5-13,0,Ignored,0,2023-03-19,Missouri Loves Company MLC,0,5,13,-600,-8,1368.8,693.75,768.8,693.75,0,0,Minnesota-B,2
164,Truman State,Loss 4-12,-27.19,Counts,0.0643,2023-03-19,Missouri Loves Company MLC,0,4,12,-600,-8,898.32,720.94,298.32000000000005,748.1300000000001,298.32000000000005,19.181976000000002,Minnesota-B,3
137,Michigan-B,Win 15-10,53.61,Counts,0.067,2023-03-20,Missouri Loves Company MLC,1,15,10,453.6,5,986.06,640.14,1439.6599999999999,586.53,1439.6599999999999,96.45721999999999,Minnesota-B,4
269,Oklahoma State University,Win 15-8,26.71,Counts,0.067,2023-03-20,Missouri Loves Company MLC,1,15,8,564.81,7,500.56,667.04,1065.37,640.3299999999999,1065.37,71.37979,Minnesota-B,5
346,Iowa State-B,Win 9-8,-38.36,Counts,0.0672,2023-03-26,Old Capital Open 2022,1,9,8,125,1,36.25,732.1,161.25,770.46,161.25,10.835999999999999,Minnesota-B,6
348,Southeast Missouri State,Win 7-6,-34.36,Counts,0.0588,2023-03-26,Old Capital Open 2022,1,7,6,125,1,18.35,728.11,143.35,762.47,143.35,8.42898,Minnesota-B,7
259,Minnesota-Duluth,Win 9-8,-2.18,Counts,0.0672,2023-03-26,Old Capital Open 2022,1,9,8,125,1,538.52,695.92,663.52,698.0999999999999,663.52,44.588544,Minnesota-B,8
264,Wisconsin-B,Win 12-8,20.8,Counts,0.071,2023-03-27,Old Capital Open 2022,1,12,8,441.15,4,524.67,672.94,965.8199999999999,652.1400000000001,965.8199999999999,68.57321999999999,Minnesota-B,9
84,Iowa,Loss 4-13,-4.21,Counts,0.071,2023-03-27,Old Capital Open 2022,0,4,13,-600,-9,1238.75,697.95,638.75,702.1600000000001,638.75,45.35124999999999,Minnesota-B,10
142,Nebraska,Loss 7-10,-7.48,Counts,0.0672,2023-03-27,Old Capital Open 2022,0,7,10,-389.67,-3,979.53,701.23,589.8599999999999,708.71,589.8599999999999,39.63859199999999,Minnesota-B,11
259,Minnesota-Duluth,Win 11-7,23.15,Counts,0.0691,2023-03-27,Old Capital Open 2022,1,11,7,466.89,4,538.52,670.6,1005.41,647.45,1005.41,69.47383099999999,Minnesota-B,12
374,Wisconsin-Eau Claire-B,Win 13-0,0,Ignored,0,2023-04-23,North Central Dev College Mens CC 2022,1,13,0,600,13,481.32,693.75,1081.32,693.75,0,0,Minnesota-B,13
291,Minnesota-C,Win 13-6,27.85,Counts,0.0895,2023-04-23,North Central Dev College Mens CC 2022,1,13,6,600,7,377.11,665.89,977.11,638.04,977.11,87.451345,Minnesota-B,14
264,Wisconsin-B,Loss 9-11,-41.12,Counts,0.0895,2023-04-23,North Central Dev College Mens CC 2022,0,9,11,-249.21,-2,524.67,734.86,275.4599999999999,775.98,275.4599999999999,24.65366999999999,Minnesota-B,15
306,Carleton College-Karls,Win 13-10,-6.98,Counts,0.0895,2023-04-23,North Central Dev College Mens CC 2022,1,13,10,328.14,3,294.57,700.73,622.71,707.71,622.71,55.732545,Minnesota-B,16
376,Wisconsin-Milwaukee-B,Win 13-2,0,Ignored,0,2023-04-24,North Central Dev College Mens CC 2022,1,13,2,600,11,899.89,693.75,1499.8899999999999,693.75,0,0,Minnesota-B,17
346,Iowa State-B,Win 13-2,0,Ignored,0,2023-04-24,North Central Dev College Mens CC 2022,1,13,2,600,11,36.25,693.75,636.25,693.75,0,0,Minnesota-B,18
