OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
78,Missouri,Win 9-5,11.11,Counts,0.030299999999999997,2023-03-05,Midwest Throwdown 2022,1,9,5,529.06,4,1253.01,1415.62,1782.07,1404.51,1782.07,53.996720999999994,Missouri S&T,1
90,Carleton College-CHOP,Win 13-7,12.12,Counts,0.0353,2023-03-05,Midwest Throwdown 2022,1,13,7,557.53,6,1200.18,1414.61,1757.71,1402.49,1757.71,62.047163,Missouri S&T,2
142,Nebraska,Win 10-4,4.86,Counts,0.030899999999999997,2023-03-05,Midwest Throwdown 2022,1,10,4,600,6,979.53,1421.86,1579.53,1417,1579.53,48.80747699999999,Missouri S&T,3
103,John Brown,Win 11-7,6.72,Counts,0.0344,2023-03-06,Midwest Throwdown 2022,1,11,7,466.89,4,1148.73,1420,1615.62,1413.28,1615.62,55.577327999999994,Missouri S&T,4
84,Iowa,Win 11-10,-2.31,Counts,0.0353,2023-03-06,Midwest Throwdown 2022,1,11,10,125,1,1238.75,1429.03,1363.75,1431.34,1363.75,48.140375,Missouri S&T,5
68,Colorado College,Loss 9-13,-18.47,Counts,0.0353,2023-03-06,Midwest Throwdown 2022,0,9,13,-418.57,-4,1340.93,1445.19,922.3600000000001,1463.66,922.3600000000001,32.559308,Missouri S&T,6
95,Iowa State,Loss 8-9,-12.74,Counts,0.0334,2023-03-06,Midwest Throwdown 2022,0,8,9,-125,-1,1183.14,1439.47,1058.14,1452.21,1058.14,35.341876,Missouri S&T,7
78,Missouri,Win 12-9,7.99,Counts,0.044500000000000005,2023-04-02,Huck Finn 2022,1,12,9,345.37,3,1253.01,1418.73,1598.38,1410.74,1598.38,71.12791000000001,Missouri S&T,8
216,DePaul,Win 13-6,-5.81,Counts,0.044500000000000005,2023-04-02,Huck Finn 2022,1,13,6,600,7,701.9,1432.54,1301.9,1438.35,1301.9,57.93455000000001,Missouri S&T,9
64,Northwestern,Win 13-6,25.25,Counts,0.044500000000000005,2023-04-02,Huck Finn 2022,1,13,6,600,7,1368.8,1401.48,1968.8,1376.23,1968.8,87.61160000000001,Missouri S&T,10
91,Kentucky,Win 11-10,-4.84,Counts,0.044500000000000005,2023-04-02,Huck Finn 2022,1,11,10,125,1,1197.89,1431.56,1322.89,1436.3999999999999,1322.89,58.86860500000001,Missouri S&T,11
70,Chicago,Loss 11-13,-15.28,Counts,0.044500000000000005,2023-04-03,Huck Finn 2022,0,11,13,-228.84,-2,1327.52,1442.01,1098.68,1457.29,1098.68,48.89126000000001,Missouri S&T,12
64,Northwestern,Win 15-13,7.28,Counts,0.044500000000000005,2023-04-03,Huck Finn 2022,1,15,13,214.18,2,1368.8,1419.45,1582.98,1412.17,1582.98,70.44261,Missouri S&T,13
57,Alabama,Loss 9-11,-12.2,Counts,0.044500000000000005,2023-04-03,Huck Finn 2022,0,9,11,-249.21,-2,1414,1438.93,1164.79,1451.13,1164.79,51.833155000000005,Missouri S&T,14
164,Truman State,Win 12-9,-9.06,Counts,0.0471,2023-04-09,Ozarks D III College Mens CC 2022,1,12,9,345.37,3,898.32,1435.79,1243.69,1444.85,1243.69,58.577799000000006,Missouri S&T,15
103,John Brown,Win 12-7,12,Counts,0.0471,2023-04-09,Ozarks D III College Mens CC 2022,1,12,7,520.51,5,1148.73,1414.73,1669.24,1402.73,1669.24,78.621204,Missouri S&T,16
31,Oklahoma Christian,Loss 6-10,-14.97,Counts,0.0433,2023-04-09,Ozarks D III College Mens CC 2022,0,6,10,-496.16,-4,1591.76,1441.7,1095.6,1456.67,1095.6,47.439479999999996,Missouri S&T,17
103,John Brown,Loss 8-9,-18.81,Counts,0.0446,2023-04-10,Ozarks D III College Mens CC 2022,0,8,9,-125,-1,1148.73,1445.54,1023.73,1464.35,1023.73,45.658358,Missouri S&T,18
164,Truman State,Win 13-2,3.54,Counts,0.0471,2023-04-10,Ozarks D III College Mens CC 2022,1,13,2,600,11,898.32,1423.19,1498.3200000000002,1419.65,1498.3200000000002,70.57087200000001,Missouri S&T,19
31,Oklahoma Christian,Win 15-9,40.42,Counts,0.056100000000000004,2023-04-30,South Central D III College Mens Regionals 2022,1,15,9,515.48,6,1591.76,1386.31,2107.24,1345.8899999999999,2107.24,118.21616399999999,Missouri S&T,20
103,John Brown,Win 12-9,4,Counts,0.056100000000000004,2023-04-30,South Central D III College Mens Regionals 2022,1,12,9,345.37,3,1148.73,1422.73,1494.1,1418.73,1494.1,83.81901,Missouri S&T,21
68,Colorado College,Loss 14-15,-12.52,Counts,0.056100000000000004,2023-05-01,South Central D III College Mens Regionals 2022,0,14,15,-125,-1,1340.93,1439.25,1215.93,1451.77,1215.93,68.21367300000001,Missouri S&T,22
31,Oklahoma Christian,Loss 12-15,-8.05,Counts,0.056100000000000004,2023-05-01,South Central D III College Mens Regionals 2022,0,12,15,-300.49,-3,1591.76,1434.77,1291.27,1442.82,1291.27,72.440247,Missouri S&T,23
