OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
165,MIT,Win 12-6,15.72,Counts,0.028999999999999998,2023-03-05,No Sleep Till Brooklyn 2022,1,12,6,579.31,6,898.08,934.84,1477.3899999999999,919.12,1477.3899999999999,42.84430999999999,NYU,1
119,Connecticut,Win 13-5,22.4,Counts,0.0298,2023-03-05,No Sleep Till Brooklyn 2022,1,13,5,600,8,1080.53,928.17,1680.53,905.77,1680.53,50.079794,NYU,2
209,SUNY-Stony Brook,Win 13-8,8.02,Counts,0.0298,2023-03-05,No Sleep Till Brooklyn 2022,1,13,8,496.16,5,715.85,942.54,1212.01,934.52,1212.01,36.117898,NYU,3
309,SUNY-Binghamton-B,Win 13-7,-3.42,Counts,0.0298,2023-03-05,No Sleep Till Brooklyn 2022,1,13,7,557.53,6,281.65,953.99,839.18,957.41,839.18,25.007564,NYU,4
119,Connecticut,Loss 7-12,-11.98,Counts,0.0298,2023-03-06,No Sleep Till Brooklyn 2022,0,7,12,-520.51,-5,1080.53,962.55,560.02,974.53,560.02,16.688596,NYU,5
123,Williams,Win 12-10,11.09,Counts,0.0298,2023-03-06,No Sleep Till Brooklyn 2022,1,12,10,238.12,2,1073.97,939.47,1312.0900000000001,928.38,1312.0900000000001,39.10028200000001,NYU,6
123,Williams,Win 10-5,18.95,Counts,0.0265,2023-03-06,No Sleep Till Brooklyn 2022,1,10,5,573.9,5,1073.97,931.62,1647.87,912.67,1647.87,43.668555,NYU,7
129,Boston University,Loss 8-13,-14.55,Counts,0.0354,2023-03-26,Hucktastic 2022,0,8,13,-496.16,-5,1050.21,965.12,554.05,979.67,554.05,19.61337,NYU,8
277,Villanova,Win 13-4,3.55,Counts,0.0354,2023-03-26,Hucktastic 2022,1,13,4,600,9,447.31,947.02,1047.31,943.47,1047.31,37.074774,NYU,9
98,Pennsylvania,Win 10-9,12.47,Counts,0.0354,2023-03-26,Hucktastic 2022,1,10,9,125,1,1165.17,938.1,1290.17,925.63,1290.17,45.672018,NYU,10
341,Temple-B,Win 13-1,0,Ignored,0,2023-03-26,Hucktastic 2022,1,13,1,600,12,69.83,950.57,669.83,950.57,0,0,NYU,11
366,Jefferson,Win 13-0,0,Ignored,0,2023-03-26,Hucktastic 2022,1,13,0,600,13,341.43,950.57,941.4300000000001,950.57,0,0,NYU,12
156,Rhode Island,Win 10-6,17.13,Counts,0.0344,2023-04-02,Fuego,1,10,6,496.16,4,934.93,933.44,1431.09,916.3100000000001,1431.09,49.229496,NYU,13
199,Air Force,Win 12-11,-2.45,Counts,0.0375,2023-04-02,Fuego,1,12,11,125,1,762.71,953.02,887.71,955.47,887.71,33.289125,NYU,14
76,Columbia,Loss 6-13,-11.16,Counts,0.0375,2023-04-02,Fuego,0,6,13,-600,-7,1264.23,961.73,664.23,972.89,664.23,24.908625,NYU,15
179,West Virginia,Win 9-8,0.11,Counts,0.0355,2023-04-02,Fuego,1,9,8,125,1,828.6,950.46,953.6,950.35,953.6,33.852799999999995,NYU,16
156,Rhode Island,Win 13-10,12.18,Counts,0.0375,2023-04-03,Fuego,1,13,10,328.14,3,934.93,938.39,1263.07,926.21,1263.07,47.365125,NYU,17
290,Stockton University -Upper,Win 13-3,1.09,Counts,0.0375,2023-04-03,Fuego,1,13,3,600,10,378.52,949.48,978.52,948.39,978.52,36.6945,NYU,18
76,Columbia,Loss 9-11,2.51,Counts,0.0375,2023-04-03,Fuego,0,9,11,-249.21,-2,1264.23,948.05,1015.02,945.54,1015.02,38.06325,NYU,19
94,Princeton,Loss 7-11,-9.76,Counts,0.040999999999999995,2023-04-16,Metro NY D I College Mens CC 2022,0,7,11,-466.89,-4,1189.13,960.32,722.2400000000001,970.08,722.2400000000001,29.61184,NYU,20
105,Rutgers,Loss 6-12,-16.57,Counts,0.040999999999999995,2023-04-16,Metro NY D I College Mens CC 2022,0,6,12,-579.31,-6,1142.11,967.14,562.8,983.71,562.8,23.074799999999996,NYU,21
279,Hofstra,Win 11-10,-16.7,Counts,0.0421,2023-04-16,Metro NY D I College Mens CC 2022,1,11,10,125,1,445.61,967.27,570.61,983.97,570.61,24.022681,NYU,22
119,Connecticut,Loss 6-15,-20.66,Counts,0.0421,2023-04-16,Metro NY D I College Mens CC 2022,0,6,15,-600,-9,1080.53,971.23,480.53,991.89,480.53,20.230313,NYU,23
94,Princeton,Loss 6-11,-12.78,Counts,0.0398,2023-04-17,Metro NY D I College Mens CC 2022,0,6,11,-546.69,-5,1189.13,963.35,642.44,976.13,642.44,25.569112000000004,NYU,24
192,Rowan,Win 12-7,15.74,Counts,0.0421,2023-04-17,Metro NY D I College Mens CC 2022,1,12,7,520.51,5,788.03,934.83,1308.54,919.09,1308.54,55.08953399999999,NYU,25
105,Rutgers,Win 12-11,13.91,Counts,0.0421,2023-04-17,Metro NY D I College Mens CC 2022,1,12,11,125,1,1142.11,936.65,1267.11,922.74,1267.11,53.345330999999995,NYU,26
96,RIT,Loss 10-15,-11.33,Counts,0.0473,2023-04-30,Metro East D I College Mens Regionals 2022,0,10,15,-453.6,-5,1175.71,961.9,722.11,973.23,722.11,34.155803,NYU,27
76,Columbia,Loss 10-14,-4.22,Counts,0.0473,2023-04-30,Metro East D I College Mens Regionals 2022,0,10,14,-398.7,-4,1264.23,954.79,865.53,959.01,865.53,40.939569,NYU,28
149,SUNY-Binghamton,Loss 9-13,-20.44,Counts,0.0473,2023-04-30,Metro East D I College Mens Regionals 2022,0,9,13,-418.57,-4,957.14,971,538.5699999999999,991.44,538.5699999999999,25.474361,NYU,29
