OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
243,Elon,Win 8-4,29.73,Counts,0.0528,2023-02-26,Cutlass Classic 2022,1,8,4,564.81,4,624.96,627.05,1189.77,597.3199999999999,1189.77,62.819856,Navy-B,1
117,Appalachian State,Loss 4-12,-11.81,Counts,0.0638,2023-02-26,Cutlass Classic 2022,0,4,12,-600,-8,1083.57,668.59,483.56999999999994,680.4,483.56999999999994,30.851765999999994,Navy-B,2
235,Vermont-B,Win 12-6,39.87,Counts,0.0647,2023-02-26,Cutlass Classic 2022,1,12,6,579.31,6,653.78,616.91,1233.09,577.04,1233.09,79.78092299999999,Navy-B,3
266,East Carolina,Loss 10-11,-19.77,Counts,0.0665,2023-02-26,Cutlass Classic 2022,0,10,11,-125,-1,504.16,676.56,379.16,696.3299999999999,379.16,25.214140000000004,Navy-B,4
168,Kennesaw State,Loss 5-15,-26.06,Counts,0.0665,2023-02-27,Cutlass Classic 2022,0,5,15,-600,-10,890.93,682.84,290.92999999999995,708.9,290.92999999999995,19.346845,Navy-B,5
345,William & Mary-B,Win 9-5,-6.3,Counts,0.0719,2023-03-26,Hoos Huckin,1,9,5,529.06,4,46.4,663.08,575.4599999999999,669.38,575.4599999999999,41.375574,Navy-B,6
307,Virginia Tech-B,Win 10-7,2.26,Counts,0.07919999999999999,2023-03-26,Hoos Huckin,1,10,7,389.67,3,293.39,654.52,683.06,652.26,683.06,54.09835199999999,Navy-B,7
316,George Washington-B,Win 13-3,17.41,Counts,0.08380000000000001,2023-03-26,Hoos Huckin,1,13,3,600,10,247.2,639.38,847.2,621.97,847.2,70.99536000000002,Navy-B,8
127,South Carolina-B,Loss 6-15,-18.26,Counts,0.08380000000000001,2023-03-27,Hoos Huckin,0,6,15,-600,-9,1057.1,675.04,457.0999999999999,693.3,457.0999999999999,38.30498,Navy-B,9
268,James Madison-B,Win 11-7,27.82,Counts,0.0815,2023-03-27,Hoos Huckin,1,11,7,466.89,4,503.34,628.96,970.23,601.14,970.23,79.073745,Navy-B,10
359,Georgetown-B,Win 10-5,-19.36,Counts,0.07440000000000001,2023-03-27,Hoos Huckin,1,10,5,573.9,5,157.89,676.14,731.79,695.5,731.79,54.445176000000004,Navy-B,11
228,Maryland-B,Win 12-11,17.13,Counts,0.10550000000000001,2023-04-23,Colonial Dev College Mens CC 2022,1,12,11,125,1,676.95,639.66,801.95,622.53,801.95,84.605725,Navy-B,12
354,Towson -B,Win 15-4,0,Ignored,0,2023-04-23,Colonial Dev College Mens CC 2022,1,15,4,600,11,130.65,656.78,730.65,656.78,0,0,Navy-B,13
316,George Washington-B,Win 12-11,-33.58,Counts,0.10550000000000001,2023-04-23,Colonial Dev College Mens CC 2022,1,12,11,125,1,247.2,690.36,372.2,723.94,372.2,39.2671,Navy-B,14
