OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
321,San Jose State,Win 11-6,1.62,Counts,0.039599999999999996,2023-02-05,Stanford Open 2022,1,11,6,546.69,5,215.04,720.84,761.73,719.22,761.73,30.164507999999998,Nevada-Reno,1
81,Santa Clara,Loss 6-13,-3.43,Counts,0.0418,2023-02-05,Stanford Open 2022,0,6,13,-600,-7,1243.95,725.89,643.95,729.3199999999999,643.95,26.91711,Nevada-Reno,2
241,Cal Poly-SLO-B,Loss 7-9,-14.73,Counts,0.0384,2023-02-05,Stanford Open 2022,0,7,9,-279.34,-2,632.84,737.19,353.50000000000006,751.9200000000001,353.50000000000006,13.5744,Nevada-Reno,3
265,Cal Poly Humboldt,Win 8-7,-3.43,Counts,0.037200000000000004,2023-02-06,Stanford Open 2022,1,8,7,125,1,508.74,725.89,633.74,729.3199999999999,633.74,23.575128000000003,Nevada-Reno,4
39,Western Washington,Loss 4-11,0,Ignored,0,2023-02-06,Stanford Open 2022,0,4,11,-600,-7,1510.39,722.46,910.3900000000001,722.46,0,0,Nevada-Reno,5
241,Cal Poly-SLO-B,Loss 7-10,-19.75,Counts,0.039599999999999996,2023-02-06,Stanford Open 2022,0,7,10,-389.67,-3,632.84,742.21,243.17000000000002,761.96,243.17000000000002,9.629532,Nevada-Reno,6
176,"California State University, Chico",Win 9-5,24.27,Counts,0.0359,2023-02-06,Stanford Open 2022,1,9,5,529.06,4,844.82,698.19,1373.88,673.9200000000001,1373.88,49.322292000000004,Nevada-Reno,7
4,Brigham Young,Loss 1-11,0,Ignored,0,2023-03-12,Big Sky Brawl,0,1,11,-600,-10,2039.12,722.46,1439.12,722.46,0,0,Nevada-Reno,8
178,Montana State,Win 9-7,21.36,Counts,0.0512,2023-03-12,Big Sky Brawl,1,9,7,279.34,2,838.48,701.11,1117.82,679.75,1117.82,57.232383999999996,Nevada-Reno,9
166,Northern Arizona,Loss 8-9,2.77,Counts,0.0528,2023-03-12,Big Sky Brawl,0,8,9,-125,-1,897.05,719.7,772.05,716.9300000000001,772.05,40.76424,Nevada-Reno,10
45,Utah,Loss 3-11,0,Ignored,0,2023-03-12,Big Sky Brawl,0,3,11,-600,-8,1486.48,722.46,886.48,722.46,0,0,Nevada-Reno,11
260,Colorado Mesa,Loss 9-10,-18.45,Counts,0.0558,2023-03-13,Big Sky Brawl,0,9,10,-125,-1,535.51,740.91,410.51,759.36,410.51,22.906458,Nevada-Reno,12
178,Montana State,Win 9-7,21.36,Counts,0.0512,2023-03-13,Big Sky Brawl,1,9,7,279.34,2,838.48,701.11,1117.82,679.75,1117.82,57.232383999999996,Nevada-Reno,13
58,Stanford,Loss 4-13,0,Ignored,0,2023-04-16,NorCal D I College Mens CC 2022,0,4,13,-600,-9,1412.07,722.46,812.0699999999999,722.46,0,0,Nevada-Reno,14
321,San Jose State,Win 11-8,-11.42,Counts,0.0745,2023-04-16,NorCal D I College Mens CC 2022,1,11,8,365.61,3,215.04,733.89,580.65,745.31,580.65,43.258424999999995,Nevada-Reno,15
10,California,Loss 5-13,0,Ignored,0,2023-04-16,NorCal D I College Mens CC 2022,0,5,13,-600,-8,1849.7,722.46,1249.7,722.46,0,0,Nevada-Reno,16
293,Fresno State,Win 13-8,11.89,Counts,0.0745,2023-04-16,NorCal D I College Mens CC 2022,1,13,8,496.16,5,373.85,710.58,870.01,698.69,870.01,64.81574499999999,Nevada-Reno,17
176,"California State University, Chico",Loss 11-12,-0.21,Counts,0.0745,2023-04-17,NorCal D I College Mens CC 2022,0,11,12,-125,-1,844.82,722.67,719.82,722.88,719.82,53.62659,Nevada-Reno,18
265,Cal Poly Humboldt,Win 12-3,29.77,Counts,0.07150000000000001,2023-04-17,NorCal D I College Mens CC 2022,1,12,3,600,9,508.74,692.7,1108.74,662.9300000000001,1108.74,79.27491,Nevada-Reno,19
71,Southern California,Loss 8-13,7.1,Counts,0.08869999999999999,2023-05-07,Southwest D I College Mens Regionals 2022,0,8,13,-496.16,-5,1291.65,715.36,795.49,708.26,795.49,70.559963,Nevada-Reno,20
6,Cal Poly-SLO,Loss 1-13,0,Ignored,0,2023-05-07,Southwest D I College Mens Regionals 2022,0,1,13,-600,-12,1985.66,722.46,1385.66,722.46,0,0,Nevada-Reno,21
112,Cal State-Long Beach,Loss 8-13,-10.65,Counts,0.08869999999999999,2023-05-07,Southwest D I College Mens Regionals 2022,0,8,13,-496.16,-5,1109.09,733.12,612.9299999999998,743.77,612.9299999999998,54.366890999999974,Nevada-Reno,22
176,"California State University, Chico",Loss 6-11,-38.84,Counts,0.0839,2023-05-08,Southwest D I College Mens Regionals 2022,0,6,11,-546.69,-5,844.82,761.3,298.13,800.14,298.13,25.013107,Nevada-Reno,23
