OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
73,Delaware,Loss 3-13,-1.31,Counts,0.0655,2023-02-26,Oak Creek Challenge,0,3,13,-600,-10,1283.29,703.33,683.29,704.64,683.29,44.755494999999996,North Carolina-B,1
242,Drexel,Win 13-9,23.99,Counts,0.0655,2023-02-26,Oak Creek Challenge,1,13,9,418.57,4,625.81,678.03,1044.3799999999999,654.04,1044.3799999999999,68.40688999999999,North Carolina-B,2
118,Virginia Commonwealth,Loss 5-10,-11.97,Counts,0.0582,2023-02-26,Oak Creek Challenge,0,5,10,-573.9,-5,1082.14,714,508.2400000000001,725.97,508.2400000000001,29.57956800000001,North Carolina-B,3
229,West Chester,Win 11-9,15.36,Counts,0.0655,2023-02-26,Oak Creek Challenge,1,11,9,249.21,2,671.94,686.66,921.1500000000001,671.3,921.1500000000001,60.33532500000001,North Carolina-B,4
110,Christopher Newport,Win 12-11,37.65,Counts,0.0655,2023-02-27,Oak Creek Challenge,1,12,11,125,1,1114.15,664.38,1239.15,626.73,1239.15,81.164325,North Carolina-B,5
139,Towson,Loss 6-12,-20.11,Counts,0.0637,2023-02-27,Oak Creek Challenge,0,6,12,-579.31,-6,985.92,722.14,406.61,742.25,406.61,25.901057000000005,North Carolina-B,6
94,Princeton,Loss 2-13,-10.15,Counts,0.0825,2023-03-26,Rodeo,0,2,13,-600,-11,1189.13,712.18,589.1300000000001,722.3299999999999,589.1300000000001,48.60322500000001,North Carolina-B,7
87,Richmond,Loss 6-11,-2.34,Counts,0.0781,2023-03-26,Rodeo,0,6,11,-546.69,-5,1221.1,704.36,674.4099999999999,706.7,674.4099999999999,52.67142099999999,North Carolina-B,8
34,St. Olaf,Loss 3-12,0,Ignored,0,2023-03-26,Rodeo,0,3,12,-600,-9,NA,702.02,NA,702.02,0,NA,North Carolina-B,9
121,Tennessee-Chattanooga,Loss 4-13,-19.95,Counts,0.0825,2023-03-26,Rodeo,0,4,13,-600,-9,1080.21,721.97,480.21000000000004,741.9200000000001,480.21000000000004,39.61732500000001,North Carolina-B,10
243,Elon,Loss 9-10,-18.17,Counts,0.0825,2023-03-27,Rodeo,0,9,10,-125,-1,624.96,720.2,499.96000000000004,738.37,499.96000000000004,41.246700000000004,North Carolina-B,11
121,Tennessee-Chattanooga,Loss 7-13,-16.13,Counts,0.0825,2023-03-27,Rodeo,0,7,13,-557.53,-6,1080.21,718.15,522.6800000000001,734.28,522.6800000000001,43.121100000000006,North Carolina-B,12
127,South Carolina-B,Loss 9-15,-18.61,Counts,0.10400000000000001,2023-04-23,Southern Atlantic Coast Dev College Mens CC 2022,0,9,15,-515.48,-6,1057.1,720.63,541.6199999999999,739.24,541.6199999999999,56.32847999999999,North Carolina-B,13
268,James Madison-B,Win 13-7,41.64,Counts,0.10400000000000001,2023-04-23,Southern Atlantic Coast Dev College Mens CC 2022,1,13,7,557.53,6,503.34,660.38,1060.87,618.74,1060.87,110.33048,North Carolina-B,14
345,William & Mary-B,Win 15-6,0,Ignored,0,2023-04-23,Southern Atlantic Coast Dev College Mens CC 2022,1,15,6,600,9,46.4,702.02,646.4,702.02,0,0,North Carolina-B,15
