OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
23,Duke,Win 15-7,1.35,Counts,0.0146,2023-01-28,Carolina Kickoff 2022,1,15,7,600,8,1670.4,2177.91,2270.4,2176.56,2270.4,33.14784,North Carolina,1
51,Penn State,Win 15-6,0,Ignored,0,2023-01-29,Carolina Kickoff 2022,1,15,6,600,9,1449.51,2179.26,2049.51,2179.26,0,0,North Carolina,2
117,Appalachian State,Win 15-2,0,Ignored,0,2023-01-29,Carolina Kickoff 2022,1,15,2,600,13,1083.57,2179.26,1683.57,2179.26,0,0,North Carolina,3
59,Georgetown,Win 15-10,-4.77,Counts,0.0146,2023-01-30,Carolina Kickoff 2022,1,15,10,453.6,5,1403.18,2184.02,1856.7800000000002,2188.79,1856.7800000000002,27.108988000000004,North Carolina,4
30,North Carolina-Wilmington,Win 15-10,-1.93,Counts,0.0146,2023-01-30,Carolina Kickoff 2022,1,15,10,453.6,5,1594.83,2181.19,2048.43,2183.12,2048.43,29.907078,North Carolina,5
14,North Carolina State,Win 15-10,1.51,Counts,0.0146,2023-01-30,Carolina Kickoff 2022,1,15,10,453.6,5,1827.64,2177.75,2281.2400000000002,2176.24,2281.2400000000002,33.306104000000005,North Carolina,6
117,Appalachian State,Win 13-4,0,Ignored,0,2023-02-11,Queen City Tune Up 2022,1,13,4,600,9,1083.57,2179.26,1683.57,2179.26,0,0,North Carolina,7
25,Maryland,Win 13-10,-3.21,Counts,0.016399999999999998,2023-02-12,Queen City Tune Up 2022,1,13,10,328.14,3,1657.91,2182.47,1986.0500000000002,2185.68,1986.0500000000002,32.57122,North Carolina,8
48,Case Western Reserve,Win 13-4,0,Ignored,0,2023-02-12,Queen City Tune Up 2022,1,13,4,600,9,1464.33,2179.26,2064.33,2179.26,0,0,North Carolina,9
60,Notre Dame,Win 13-10,-7.53,Counts,0.016399999999999998,2023-02-12,Queen City Tune Up 2022,1,13,10,328.14,3,1398.11,2186.79,1726.25,2194.32,1726.25,28.310499999999998,North Carolina,10
27,William & Mary,Win 15-8,0.02,Counts,0.016399999999999998,2023-02-13,Queen City Tune Up 2022,1,15,8,564.81,7,1615.6,2179.24,2180.41,2179.22,2180.41,35.758723999999994,North Carolina,11
9,Vermont,Win 14-7,5.06,Counts,0.016399999999999998,2023-02-13,Queen City Tune Up 2022,1,14,7,582.89,7,1901.02,2174.19,2483.91,2169.13,2483.91,40.73612399999999,North Carolina,12
8,Georgia,Win 13-11,-0.34,Counts,0.016399999999999998,2023-02-13,Queen City Tune Up 2022,1,13,11,228.84,2,1930.07,2179.59,2158.91,2179.9300000000003,2158.91,35.40612399999999,North Carolina,13
7,Massachusetts,Loss 10-13,-11.33,Counts,0.0194,2023-03-05,Smoky Mountain Invite 2022,0,10,13,-328.14,-3,1936.21,2190.58,1608.0700000000002,2201.91,1608.0700000000002,31.196558000000003,North Carolina,14
