OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
315,Knox,Win 8-6,-6.27,Counts,0.054900000000000004,2023-03-26,Illinois Invite,1,8,6,300.49,2,257.91,672.65,558.4000000000001,678.92,558.4000000000001,30.656160000000007,North Park,1
340,Illinois-B,Win 8-4,-1.33,Counts,0.0508,2023-03-26,Illinois Invite,1,8,4,564.81,4,76.66,667.72,641.4699999999999,669.0500000000001,641.4699999999999,32.586676,North Park,2
286,Notre Dame-B,Win 11-5,20.47,Counts,0.0587,2023-03-26,Illinois Invite,1,11,5,600,6,394.95,645.91,994.95,625.4399999999999,994.95,58.40356500000001,North Park,3
221,Loyola-Chicago,Win 9-8,9.66,Counts,0.0605,2023-03-27,Illinois Invite,1,9,8,125,1,691.51,656.73,816.51,647.07,816.51,49.398855,North Park,4
221,Loyola-Chicago,Loss 9-13,-26.86,Counts,0.0639,2023-03-27,Illinois Invite,0,9,13,-418.57,-4,691.51,693.25,272.94,720.11,272.94,17.440866,North Park,5
334,Bradley,Win 15-1,3.9,Counts,0.0639,2023-03-27,Illinois Invite,1,15,1,600,14,123.56,662.48,723.56,658.58,723.56,46.23548399999999,North Park,6
315,Knox,Win 13-3,16.77,Counts,0.0805,2023-04-23,Illinois D III College Mens CC 2022,1,13,3,600,10,257.91,649.61,857.9100000000001,632.84,857.9100000000001,69.061755,North Park,7
334,Bradley,Win 13-7,1.29,Counts,0.0805,2023-04-23,Illinois D III College Mens CC 2022,1,13,7,557.53,6,123.56,665.1,681.0899999999999,663.8100000000001,681.0899999999999,54.82774499999999,North Park,8
141,Wheaton (Illinois),Loss 5-13,-24.64,Counts,0.0805,2023-04-23,Illinois D III College Mens CC 2022,0,5,13,-600,-8,985.02,691.03,385.02,715.67,385.02,30.99411,North Park,9
315,Knox,Win 9-6,0.78,Counts,0.0716,2023-04-24,Illinois D III College Mens CC 2022,1,9,6,418.57,3,257.91,665.61,676.48,664.83,676.48,48.435968,North Park,10
315,Knox,Win 14-6,17.86,Counts,0.08529999999999999,2023-04-30,Great Lakes D III College Mens Regionals 2022,1,14,6,600,8,257.91,648.52,857.9100000000001,630.66,857.9100000000001,73.179723,North Park,11
116,Butler,Loss 8-14,-10.9,Counts,0.08529999999999999,2023-04-30,Great Lakes D III College Mens Regionals 2022,0,8,14,-536.03,-6,1085.54,677.29,549.51,688.1899999999999,549.51,46.87320299999999,North Park,12
203,Valparaiso,Loss 7-9,-18.49,Counts,0.0783,2023-04-30,Great Lakes D III College Mens Regionals 2022,0,7,9,-279.34,-2,728.01,684.88,448.67,703.37,448.67,35.130860999999996,North Park,13
315,Knox,Win 13-4,17.86,Counts,0.08529999999999999,2023-05-01,Great Lakes D III College Mens Regionals 2022,1,13,4,600,9,257.91,648.52,857.9100000000001,630.66,857.9100000000001,73.179723,North Park,14
