OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
197,Rice,Loss 11-13,2.38,Counts,0.0635,2023-03-12,Centex Tier II,0,11,13,-228.84,-2,764.1,497.74,535.26,495.36,535.26,33.98901,North Texas,1
173,Colorado School of Mines,Win 13-12,32.68,Counts,0.0635,2023-03-12,Centex Tier II,1,13,12,125,1,856.94,467.45,981.94,434.77,981.94,62.353190000000005,North Texas,2
205,Sam Houston State,Loss 7-13,-22.48,Counts,0.0635,2023-03-12,Centex Tier II,0,7,13,-557.53,-6,726.13,522.61,168.60000000000002,545.09,168.60000000000002,10.706100000000001,North Texas,3
143,Texas-San Antonio,Loss 2-13,-8.62,Counts,0.0635,2023-03-12,Centex Tier II,0,2,13,-600,-11,973.08,508.74,373.08000000000004,517.36,373.08000000000004,23.690580000000004,North Texas,4
331,Texas Tech,Win 15-8,13.44,Counts,0.0635,2023-03-13,Centex Tier II,1,15,8,564.81,7,133.47,486.69,698.28,473.25,698.28,44.34078,North Texas,5
261,Texas-Arlington,Loss 10-13,-19.97,Counts,0.0635,2023-03-13,Centex Tier II,0,10,13,-328.14,-3,533.74,520.1,205.60000000000002,540.07,205.60000000000002,13.055600000000002,North Texas,6
308,Texas Christian,Win 12-5,33.86,Counts,0.0814,2023-04-16,North Texas D I College Mens CC 2022,1,12,5,600,7,282.45,466.26,882.45,432.4,882.45,71.83143,North Texas,7
66,Texas-Dallas,Loss 1-15,0,Ignored,0,2023-04-16,North Texas D I College Mens CC 2022,0,1,15,-600,-14,1344.32,500.12,744.3199999999999,500.12,0,0,North Texas,8
201,Baylor,Loss 7-13,-28.73,Counts,0.0848,2023-04-17,North Texas D I College Mens CC 2022,0,7,13,-557.53,-6,747.54,528.85,190.01,557.58,190.01,16.112848,North Texas,9
331,Texas Tech,Win 12-8,6.9,Counts,0.0848,2023-04-17,North Texas D I College Mens CC 2022,1,12,8,441.15,4,133.47,493.22,574.62,486.32000000000005,574.62,48.727776,North Texas,10
308,Texas Christian,Win 11-7,22.41,Counts,0.0825,2023-04-17,North Texas D I College Mens CC 2022,1,11,7,466.89,4,282.45,477.71,749.3399999999999,455.29999999999995,749.3399999999999,61.82055,North Texas,11
40,Colorado State,Loss 2-13,0,Ignored,0,2023-04-30,South Central D I College Mens Regionals 2022,0,2,13,-600,-11,1509.55,500.12,909.55,500.12,0,0,North Texas,12
135,Colorado-B,Loss 7-13,-4.44,Counts,0.09519999999999999,2023-04-30,South Central D I College Mens Regionals 2022,0,7,13,-557.53,-6,1015.4,504.57,457.87,509.01,457.87,43.589223999999994,North Texas,13
169,Kansas,Loss 9-15,-13.22,Counts,0.09519999999999999,2023-04-30,South Central D I College Mens Regionals 2022,0,9,15,-515.48,-6,889.88,513.35,374.4,526.57,374.4,35.64288,North Texas,14
250,Texas-B,Loss 9-11,-14.7,Counts,0.09519999999999999,2023-05-01,South Central D I College Mens Regionals 2022,0,9,11,-249.21,-2,609.58,514.82,360.37,529.5200000000001,360.37,34.307224,North Texas,15
