OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
271,Cedarville,Win 13-2,0,Ignored,0,2023-02-19,Commonwealth Cup Weekend 1,1,13,2,600,11,498.09,1368.8,1098.09,1368.8,0,0,Northwestern,1
207,Clemson,Win 13-8,-4.2,Counts,0.027200000000000002,2023-02-19,Commonwealth Cup Weekend 1,1,13,8,496.16,5,722.7,1372.99,1218.8600000000001,1377.19,1218.8600000000001,33.152992000000005,Northwestern,2
281,North Carolina State-B,Win 13-3,0,Ignored,0,2023-02-19,Commonwealth Cup Weekend 1,1,13,3,600,10,432.72,1368.8,1032.72,1368.8,0,0,Northwestern,3
149,SUNY-Binghamton,Win 10-9,-8.02,Counts,0.027200000000000002,2023-02-19,Commonwealth Cup Weekend 1,1,10,9,125,1,957.14,1376.82,1082.1399999999999,1384.84,1082.1399999999999,29.434207999999998,Northwestern,4
98,Pennsylvania,Win 12-11,-2.2,Counts,0.027200000000000002,2023-02-20,Commonwealth Cup Weekend 1,1,12,11,125,1,1165.17,1371,1290.17,1373.2,1290.17,35.09262400000001,Northwestern,5
179,West Virginia,Win 15-7,1.67,Counts,0.027200000000000002,2023-02-20,Commonwealth Cup Weekend 1,1,15,7,600,8,828.6,1367.12,1428.6,1365.4499999999998,1428.6,38.85792,Northwestern,6
33,Purdue,Loss 5-10,-9.88,Counts,0.027200000000000002,2023-03-05,Midwest Throwdown 2022,0,5,10,-573.9,-5,1588.79,1378.68,1014.89,1388.5600000000002,1014.89,27.605008,Northwestern,7
68,Colorado College,Loss 11-12,-4.82,Counts,0.030600000000000002,2023-03-05,Midwest Throwdown 2022,0,11,12,-125,-1,1340.93,1373.62,1215.93,1378.4399999999998,1215.93,37.207458,Northwestern,8
216,DePaul,Win 11-2,0,Ignored,0,2023-03-05,Midwest Throwdown 2022,1,11,2,600,9,701.9,1368.8,1301.9,1368.8,0,0,Northwestern,9
264,Wisconsin-B,Win 13-2,0,Ignored,0,2023-03-05,Midwest Throwdown 2022,1,13,2,600,11,524.67,1368.8,1124.67,1368.8,0,0,Northwestern,10
33,Purdue,Loss 7-13,-10.64,Counts,0.030600000000000002,2023-03-06,Midwest Throwdown 2022,0,7,13,-557.53,-6,1588.79,1379.44,1031.26,1390.0800000000002,1031.26,31.556556,Northwestern,11
90,Carleton College-CHOP,Loss 9-12,-16.2,Counts,0.030600000000000002,2023-03-06,Midwest Throwdown 2022,0,9,12,-345.37,-3,1200.18,1385,854.8100000000001,1401.2,854.8100000000001,26.157186000000003,Northwestern,12
70,Chicago,Win 13-8,14.34,Counts,0.030600000000000002,2023-03-06,Midwest Throwdown 2022,1,13,8,496.16,5,1327.52,1354.46,1823.68,1340.1200000000001,1823.68,55.80460800000001,Northwestern,13
84,Iowa,Win 13-9,9.1,Counts,0.030600000000000002,2023-03-06,Midwest Throwdown 2022,1,13,9,418.57,4,1238.75,1359.7,1657.32,1350.6000000000001,1657.32,50.713992000000005,Northwestern,14
220,Minnesota-B,Win 13-5,0,Ignored,0,2023-03-19,Missouri Loves Company MLC,1,13,5,600,8,693.75,1368.8,1293.75,1368.8,0,0,Northwestern,15
46,Cincinnati,Win 9-8,8,Counts,0.032400000000000005,2023-03-19,Missouri Loves Company MLC,1,9,8,125,1,1482.34,1360.8,1607.34,1352.8,1607.34,52.077816000000006,Northwestern,16
164,Truman State,Win 13-6,4.6,Counts,0.034300000000000004,2023-03-19,Missouri Loves Company MLC,1,13,6,600,7,898.32,1364.2,1498.3200000000002,1359.6000000000001,1498.3200000000002,51.39237600000001,Northwestern,17
109,Vanderbilt,Win 13-4,12.52,Counts,0.034300000000000004,2023-03-19,Missouri Loves Company MLC,1,13,4,600,9,1121.15,1356.28,1721.15,1343.76,1721.15,59.03544500000001,Northwestern,18
22,Carleton College,Loss 11-13,2.67,Counts,0.034300000000000004,2023-03-20,Missouri Loves Company MLC,0,11,13,-228.84,-2,1672.93,1366.12,1444.0900000000001,1363.4499999999998,1444.0900000000001,49.53228700000001,Northwestern,19
40,Colorado State,Win 14-12,12.85,Counts,0.034300000000000004,2023-03-20,Missouri Loves Company MLC,1,14,12,220.96,2,1509.55,1355.95,1730.51,1343.1000000000001,1730.51,59.35649300000001,Northwestern,20
9,Vermont,Loss 4-15,-2.41,Counts,0.034300000000000004,2023-03-20,Missouri Loves Company MLC,0,4,15,-600,-11,1901.02,1371.2,1301.02,1373.6100000000001,1301.02,44.62498600000001,Northwestern,21
78,Missouri,Win 9-6,10.73,Counts,0.0342,2023-04-02,Huck Finn 2022,1,9,6,418.57,3,1253.01,1358.07,1671.58,1347.34,1671.58,57.168036,Northwestern,22
54,Missouri S&T,Loss 6-13,-21.71,Counts,0.0385,2023-04-02,Huck Finn 2022,0,6,13,-600,-7,1426.73,1390.5,826.73,1412.21,826.73,31.829105000000002,Northwestern,23
216,DePaul,Win 14-5,0,Ignored,0,2023-04-02,Huck Finn 2022,1,14,5,600,9,701.9,1368.8,1301.9,1368.8,0,0,Northwestern,24
172,Wisconsin-Whitewater,Win 15-2,4.31,Counts,0.0385,2023-04-02,Huck Finn 2022,1,15,2,600,13,876.37,1364.49,1476.37,1360.18,1476.37,56.840244999999996,Northwestern,25
54,Missouri S&T,Loss 13-15,-6.26,Counts,0.0385,2023-04-03,Huck Finn 2022,0,13,15,-214.18,-2,1426.73,1375.05,1212.55,1381.31,1212.55,46.683175,Northwestern,26
