OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
25,Maryland,Loss 9-11,0.36,Counts,0.0333,2023-02-12,Queen City Tune Up 2022,0,9,11,-249.21,-2,1657.91,1397.75,1408.7,1397.39,1408.7,46.909710000000004,Notre Dame,1
48,Case Western Reserve,Loss 10-12,-5.91,Counts,0.0333,2023-02-12,Queen City Tune Up 2022,0,10,12,-238.12,-2,1464.33,1404.03,1226.21,1409.94,1226.21,40.832793,Notre Dame,2
2,North Carolina,Loss 10-13,15.58,Counts,0.0333,2023-02-12,Queen City Tune Up 2022,0,10,13,-328.14,-3,2179.26,1382.53,1851.1200000000003,1366.95,1851.1200000000003,61.642296000000016,Notre Dame,3
117,Appalachian State,Win 13-8,6.25,Counts,0.0333,2023-02-12,Queen City Tune Up 2022,1,13,8,496.16,5,1083.57,1391.87,1579.73,1385.62,1579.73,52.605009,Notre Dame,4
33,Purdue,Loss 6-15,-14.08,Counts,0.0333,2023-02-13,Queen City Tune Up 2022,0,6,15,-600,-9,1588.79,1412.19,988.79,1426.27,988.79,32.926707,Notre Dame,5
51,Penn State,Loss 11-12,-2.53,Counts,0.0333,2023-02-13,Queen City Tune Up 2022,0,11,12,-125,-1,1449.51,1400.65,1324.51,1403.18,1324.51,44.106183,Notre Dame,6
30,North Carolina-Wilmington,Win 11-10,11.07,Counts,0.0333,2023-02-13,Queen City Tune Up 2022,1,11,10,125,1,1594.83,1387.05,1719.83,1375.98,1719.83,57.270339,Notre Dame,7
158,South Florida,Win 13-4,5.21,Counts,0.04190000000000001,2023-03-12,Tally Classic XVI,1,13,4,600,9,917.32,1392.9,1517.3200000000002,1387.69,1517.3200000000002,63.57570800000002,Notre Dame,8
93,Harvard,Win 9-8,-3.35,Counts,0.039599999999999996,2023-03-12,Tally Classic XVI,1,9,8,125,1,1191.89,1401.47,1316.89,1404.82,1316.89,52.148844,Notre Dame,9
114,Florida State,Win 9-7,-0.85,Counts,0.0384,2023-03-12,Tally Classic XVI,1,9,7,279.34,2,1097.48,1398.97,1376.82,1399.82,1376.82,52.869887999999996,Notre Dame,10
26,Auburn,Loss 12-15,-3.53,Counts,0.04190000000000001,2023-03-13,Tally Classic XVI,0,12,15,-300.49,-3,1617.76,1401.65,1317.27,1405.18,1317.27,55.193613000000006,Notre Dame,11
44,Georgia Tech,Win 14-13,9.45,Counts,0.04190000000000001,2023-03-13,Tally Classic XVI,1,14,13,125,1,1489.18,1388.67,1614.18,1379.22,1614.18,67.63414200000001,Notre Dame,12
114,Florida State,Win 11-8,2.84,Counts,0.04190000000000001,2023-03-13,Tally Classic XVI,1,11,8,365.61,3,1097.48,1395.27,1463.0900000000001,1392.43,1463.0900000000001,61.303471000000016,Notre Dame,13
245,IUPUI,Win 15-6,0,Ignored,0,2023-04-09,East Plains D I College Mens CC 2022,1,15,6,600,9,619.21,1398.11,1219.21,1398.11,0,0,Notre Dame,14
NA,Ball State,Win 14-8,-19.51,Counts,0.0528,2023-04-09,East Plains D I College Mens CC 2022,1,14,8,536.03,6,511.99,1417.62,1048.02,1437.1299999999999,1048.02,55.335456,Notre Dame,15
52,Indiana,Loss 8-15,-29.07,Counts,0.0528,2023-04-09,East Plains D I College Mens CC 2022,0,8,15,-564.81,-7,1441.23,1427.19,876.4200000000001,1456.26,876.4200000000001,46.274976,Notre Dame,16
33,Purdue,Loss 10-15,-14.65,Counts,0.0528,2023-04-10,East Plains D I College Mens CC 2022,0,10,15,-453.6,-5,1588.79,1412.77,1135.19,1427.42,1135.19,59.938032,Notre Dame,17
91,Kentucky,Win 13-12,-4.19,Counts,0.0528,2023-04-10,East Plains D I College Mens CC 2022,1,13,12,125,1,1197.89,1402.31,1322.89,1406.5,1322.89,69.84859200000001,Notre Dame,18
108,Michigan State,Loss 12-13,-26.36,Counts,0.06280000000000001,2023-04-30,Great Lakes D I College Mens Regionals 2022,0,12,13,-125,-1,1129.58,1424.47,1004.5799999999999,1450.83,1004.5799999999999,63.087624000000005,Notre Dame,19
190,Illinois State,Win 15-5,0,Ignored,0,2023-04-30,Great Lakes D I College Mens Regionals 2022,1,15,5,600,10,796.31,1398.11,1396.31,1398.11,0,0,Notre Dame,20
52,Indiana,Win 13-10,24.86,Counts,0.06280000000000001,2023-04-30,Great Lakes D I College Mens Regionals 2022,1,13,10,328.14,3,1441.23,1373.25,1769.37,1348.39,1769.37,111.11643600000001,Notre Dame,21
16,Michigan,Loss 8-15,-10.39,Counts,0.06280000000000001,2023-05-01,Great Lakes D I College Mens Regionals 2022,0,8,15,-564.81,-7,1807.83,1408.5,1243.02,1418.89,1243.02,78.06165600000001,Notre Dame,22
33,Purdue,Win 11-6,46.54,Counts,0.0594,2023-05-01,Great Lakes D I College Mens Regionals 2022,1,11,6,546.69,5,1588.79,1351.57,2135.48,1305.03,2135.48,126.84751200000001,Notre Dame,23
49,Illinois,Win 10-9,12.27,Counts,0.06280000000000001,2023-05-01,Great Lakes D I College Mens Regionals 2022,1,10,9,125,1,1456.25,1385.85,1581.25,1373.58,1581.25,99.30250000000001,Notre Dame,24
