OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
110,Christopher Newport,Win 13-12,2.87,Counts,0.035,2023-03-05,FCS D III Tune Up,1,13,12,125,1,1114.15,1157.03,1239.15,1154.16,1239.15,43.370250000000006,Oberlin,1
50,Berry,Loss 7-13,-9.7,Counts,0.035,2023-03-05,FCS D III Tune Up,0,7,13,-557.53,-6,1449.81,1169.6,892.28,1179.3,892.28,31.2298,Oberlin,2
74,Navy,Win 13-11,12.55,Counts,0.035,2023-03-05,FCS D III Tune Up,1,13,11,228.84,2,1277.32,1147.35,1506.1599999999999,1134.8,1506.1599999999999,52.7156,Oberlin,3
181,Davidson,Win 13-12,-7.56,Counts,0.035,2023-03-05,FCS D III Tune Up,1,13,12,125,1,826.39,1167.46,951.39,1175.02,951.39,33.29865,Oberlin,4
87,Richmond,Loss 9-10,-2.31,Counts,0.035,2023-03-06,FCS D III Tune Up,0,9,10,-125,-1,1221.1,1162.21,1096.1,1164.52,1096.1,38.3635,Oberlin,5
214,Wooster,Win 12-8,-0.6,Counts,0.035,2023-03-06,FCS D III Tune Up,1,12,8,441.15,4,702.25,1160.5,1143.4,1161.1,1143.4,40.019000000000005,Oberlin,6
115,Miami (Ohio),Loss 0-13,-25.68,Counts,0.0371,2023-03-12,Boogienights,0,0,13,-600,-13,1092.5,1185.58,492.5,1211.26,492.5,18.27175,Oberlin,7
251,Wright State,Loss 7-11,-38.19,Counts,0.0361,2023-03-12,Boogienights,0,7,11,-466.89,-4,606.03,1198.09,139.14,1236.28,139.14,5.0229539999999995,Oberlin,8
206,Kenyon,Win 12-10,-10.21,Counts,0.0495,2023-04-16,Ohio D III College Mens CC 2022,1,12,10,238.12,2,725.52,1170.11,963.64,1180.32,963.64,47.70018,Oberlin,9
324,Xavier,Win 13-5,0,Ignored,0,2023-04-16,Ohio D III College Mens CC 2022,1,13,5,600,8,189.69,1159.9,789.69,1159.9,0,0,Oberlin,10
211,Franciscan,Win 13-9,-1.47,Counts,0.0495,2023-04-17,Ohio D III College Mens CC 2022,1,13,9,418.57,4,713.07,1161.37,1131.64,1162.84,1131.64,56.016180000000006,Oberlin,11
206,Kenyon,Win 14-11,-7.11,Counts,0.0555,2023-04-30,Ohio Valley D III College Mens Regionals 2022,1,14,11,313.34,3,725.52,1167.02,1038.86,1174.1299999999999,1038.86,57.656729999999996,Oberlin,12
211,Franciscan,Win 14-11,-7.85,Counts,0.0555,2023-04-30,Ohio Valley D III College Mens Regionals 2022,1,14,11,313.34,3,713.07,1167.75,1026.41,1175.6,1026.41,56.96575500000001,Oberlin,13
219,Swarthmore,Win 15-9,2.92,Counts,0.0555,2023-04-30,Ohio Valley D III College Mens Regionals 2022,1,15,9,515.48,6,694.16,1156.98,1209.6399999999999,1154.06,1209.6399999999999,67.13502,Oberlin,14
128,Scranton,Win 15-11,16.14,Counts,0.0555,2023-05-01,Ohio Valley D III College Mens Regionals 2022,1,15,11,381.16,4,1053.29,1143.76,1434.45,1127.62,1434.45,79.611975,Oberlin,15
34,St. Olaf,Loss 13-15,11.39,Counts,0.066,2023-05-21,2022 D III College Championships,0,13,15,-214.18,-2,NA,1148.51,NA,1137.12,NA,NA,Oberlin,16
146,Brandeis,Win 15-9,22.42,Counts,0.066,2023-05-21,2022 D III College Championships,1,15,9,515.48,6,961.68,1137.48,1477.1599999999999,1115.06,1477.1599999999999,97.49256,Oberlin,17
147,Grace,Win 15-9,22.42,Counts,0.066,2023-05-21,2022 D III College Championships,1,15,9,515.48,6,961.54,1137.49,1477.02,1115.07,1477.02,97.48332,Oberlin,18
35,Middlebury,Loss 5-15,-16.21,Counts,0.066,2023-05-22,2022 D III College Championships,0,5,15,-600,-10,1530.51,1176.11,930.51,1192.32,930.51,61.41366,Oberlin,19
123,Williams,Win 13-11,10.1,Counts,0.066,2023-05-22,2022 D III College Championships,1,13,11,228.84,2,1073.97,1149.8,1302.81,1139.7,1302.81,85.98546,Oberlin,20
68,Colorado College,Win 14-12,28.41,Counts,0.066,2023-05-23,2022 D III College Championships,1,14,12,220.96,2,1340.93,1131.49,1561.89,1103.08,1561.89,103.08474000000001,Oberlin,21
