OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
336,Slippery Rock,Win 13-6,-10.69,Counts,0.062,2023-03-05,Huckin in the Hills,1,13,6,600,7,117.58,889.91,717.58,900.6,717.58,44.48996,Ohio,1
179,West Virginia,Win 10-9,4.92,Counts,0.062,2023-03-05,Huckin in the Hills,1,10,9,125,1,828.6,874.3,953.6,869.38,953.6,59.123200000000004,Ohio,2
145,SUNY-Buffalo,Loss 4-13,-33.77,Counts,0.062,2023-03-06,Huckin in the Hills,0,4,13,-600,-9,968.61,912.99,368.61,946.76,368.61,22.85382,Ohio,3
179,West Virginia,Loss 6-11,-37.23,Counts,0.0587,2023-03-06,Huckin in the Hills,0,6,11,-546.69,-5,828.6,916.45,281.90999999999997,953.6800000000001,281.90999999999997,16.548116999999998,Ohio,4
46,Cincinnati,Loss 5-10,2.63,Counts,0.08259999999999999,2023-04-23,Ohio D I College Mens CC 2022,0,5,10,-573.9,-5,1482.34,876.58,908.4399999999999,873.95,908.4399999999999,75.03714399999998,Ohio,5
24,Ohio State,Loss 2-13,0,Ignored,0,2023-04-23,Ohio D I College Mens CC 2022,0,2,13,-600,-11,1662.49,879.22,1062.49,879.22,0,0,Ohio,6
285,Akron,Win 9-6,-5.55,Counts,0.08259999999999999,2023-04-23,Ohio D I College Mens CC 2022,1,9,6,418.57,3,398.95,884.77,817.52,890.3199999999999,817.52,67.52715199999999,Ohio,7
115,Miami (Ohio),Win 8-6,44.55,Counts,0.07980000000000001,2023-04-24,Ohio D I College Mens CC 2022,1,8,6,300.49,2,1092.5,834.67,1392.99,790.12,1392.99,111.16060200000001,Ohio,8
353,Cleveland State,Win 13-2,0,Ignored,0,2023-04-24,Ohio D I College Mens CC 2022,1,13,2,600,11,68.06,879.22,668.06,879.22,0,0,Ohio,9
251,Wright State,Win 13-5,33.49,Counts,0.0929,2023-04-24,Ohio D I College Mens CC 2022,1,13,5,600,8,606.03,845.73,1206.03,812.24,1206.03,112.04018699999999,Ohio,10
5,Pittsburgh,Loss 1-13,0,Ignored,0,2023-05-07,Ohio Valley D I College Mens Regionals 2022,0,1,13,-600,-12,1999.22,879.22,1399.22,879.22,0,0,Ohio,11
100,Lehigh,Loss 5-13,-37.85,Counts,0.1043,2023-05-07,Ohio Valley D I College Mens Regionals 2022,0,5,13,-600,-8,1154.27,917.07,554.27,954.9200000000001,554.27,57.810361,Ohio,12
98,Pennsylvania,Loss 6-13,-36.58,Counts,0.1043,2023-05-07,Ohio Valley D I College Mens Regionals 2022,0,6,13,-600,-7,1165.17,915.8,565.1700000000001,952.38,565.1700000000001,58.94723100000001,Ohio,13
242,Drexel,Win 13-7,35.43,Counts,0.1043,2023-05-08,Ohio Valley D I College Mens Regionals 2022,1,13,7,557.53,6,625.81,843.79,1183.34,808.36,1183.34,123.42236199999999,Ohio,14
179,West Virginia,Win 13-9,42.86,Counts,0.1043,2023-05-08,Ohio Valley D I College Mens Regionals 2022,1,13,9,418.57,4,828.6,836.36,1247.17,793.5,1247.17,130.079831,Ohio,15
