OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
19,Oregon,Loss 7-13,-36.43,Counts,0.09140000000000001,2023-04-16,Cascadia D I College Mens CC 2022,0,7,13,-557.53,-6,1709,1550.22,1151.47,1586.65,1151.47,105.24435800000002,Oregon State,1
107,Washington-B,Win 12-9,-3.31,Counts,0.09140000000000001,2023-04-16,Cascadia D I College Mens CC 2022,1,12,9,345.37,3,1135.5,1517.1,1480.87,1520.4099999999999,1480.87,135.351518,Oregon State,2
39,Western Washington,Loss 10-13,-33.33,Counts,0.09140000000000001,2023-04-16,Cascadia D I College Mens CC 2022,0,10,13,-328.14,-3,1510.39,1547.13,1182.25,1580.46,1182.25,108.05765000000001,Oregon State,3
150,Portland State,Win 13-6,4.32,Counts,0.09140000000000001,2023-04-16,Cascadia D I College Mens CC 2022,1,13,6,600,7,956.75,1509.48,1556.75,1505.16,1556.75,142.28695000000002,Oregon State,4
212,Oregon State-B,Win 13-1,0,Ignored,0,2023-04-17,Cascadia D I College Mens CC 2022,1,13,1,600,12,708.48,1513.79,1308.48,1513.79,0,0,Oregon State,5
28,British Columbia,Loss 11-12,-2.66,Counts,0.09140000000000001,2023-04-17,Cascadia D I College Mens CC 2022,0,11,12,-125,-1,1612.3,1516.46,1487.3,1519.1200000000001,1487.3,135.93922,Oregon State,6
177,Washington State,Win 13-6,-8.74,Counts,0.10859999999999999,2023-05-07,Northwest D I College Mens Regionals 2022,1,13,6,600,7,842.1,1522.53,1442.1,1531.27,1442.1,156.61205999999999,Oregon State,7
11,Washington,Win 13-9,91.75,Counts,0.10859999999999999,2023-05-07,Northwest D I College Mens Regionals 2022,1,13,9,418.57,4,1847.95,1422.05,2266.52,1330.3,2266.52,246.14407199999997,Oregon State,8
43,Victoria,Win 12-9,39.71,Counts,0.10859999999999999,2023-05-07,Northwest D I College Mens Regionals 2022,1,12,9,345.37,3,1494.23,1474.08,1839.6,1434.37,1839.6,199.78055999999998,Oregon State,9
15,Utah State,Loss 8-13,-22.69,Counts,0.10859999999999999,2023-05-08,Northwest D I College Mens Regionals 2022,0,8,13,-496.16,-5,1823.82,1536.48,1327.6599999999999,1559.17,1327.6599999999999,144.18387599999997,Oregon State,10
11,Washington,Loss 7-13,-27.23,Counts,0.10859999999999999,2023-05-08,Northwest D I College Mens Regionals 2022,0,7,13,-557.53,-6,1847.95,1541.02,1290.42,1568.25,1290.42,140.139612,Oregon State,11
