OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
113,California-Davis,Win 11-7,-4.15,Counts,0.0296,2023-02-19,Presidents Day Invite 2022,1,11,7,466.89,4,1106.24,1713.16,1573.13,1717.3100000000002,1573.13,46.564648000000005,Oregon,1
88,Arizona,Win 13-5,3.27,Counts,0.0305,2023-02-19,Presidents Day Invite 2022,1,13,5,600,8,1213.12,1705.73,1813.12,1702.46,1813.12,55.30016,Oregon,2
10,California,Loss 5-9,-10.43,Counts,0.026099999999999998,2023-02-19,Presidents Day Invite 2022,0,5,9,-529.06,-4,1849.7,1719.43,1320.64,1729.8600000000001,1320.64,34.468704,Oregon,3
6,Cal Poly-SLO,Loss 6-12,-9.25,Counts,0.0296,2023-02-19,Presidents Day Invite 2022,0,6,12,-579.31,-6,1985.66,1718.25,1406.3500000000001,1727.5,1406.3500000000001,41.62796000000001,Oregon,4
85,Cornell,Win 14-9,-0.09,Counts,0.0305,2023-02-20,Presidents Day Invite 2022,1,14,9,473.87,5,1232.33,1709.09,1706.1999999999998,1709.1799999999998,1706.1999999999998,52.03909999999999,Oregon,5
29,UCLA,Win 10-7,8.25,Counts,0.0288,2023-02-20,Presidents Day Invite 2022,1,10,7,389.67,3,1597.35,1700.76,1987.02,1692.51,1987.02,57.226175999999995,Oregon,6
3,Colorado,Loss 9-15,-2.5,Counts,0.0305,2023-02-21,Presidents Day Invite 2022,0,9,15,-515.48,-6,2144.95,1711.5,1629.4699999999998,1714,1629.4699999999998,49.698834999999995,Oregon,7
63,California-Santa Barbara,Win 12-11,-6.54,Counts,0.0305,2023-02-21,Presidents Day Invite 2022,1,12,11,125,1,1375.9,1715.54,1500.9,1722.08,1500.9,45.77745,Oregon,8
10,California,Loss 8-12,-9.44,Counts,0.0305,2023-02-21,Presidents Day Invite 2022,0,8,12,-441.15,-4,1849.7,1718.44,1408.5500000000002,1727.88,1408.5500000000002,42.960775000000005,Oregon,9
36,California-Santa Cruz,Win 13-5,14.7,Counts,0.0342,2023-03-05,Stanford Invite 2022,1,13,5,600,8,1524.13,1694.31,2124.13,1679.61,2124.13,72.645246,Oregon,10
47,Florida,Win 13-7,11.52,Counts,0.0342,2023-03-05,Stanford Invite 2022,1,13,7,557.53,6,1476.89,1697.48,2034.42,1685.96,2034.42,69.57716400000001,Oregon,11
11,Washington,Loss 9-13,-9.9,Counts,0.0342,2023-03-05,Stanford Invite 2022,0,9,13,-418.57,-4,1847.95,1718.9,1429.38,1728.8000000000002,1429.38,48.88479600000001,Oregon,12
82,Whitman,Win 13-4,4.74,Counts,0.0342,2023-03-05,Stanford Invite 2022,1,13,4,600,9,1242.91,1704.26,1842.91,1699.52,1842.91,63.027522000000005,Oregon,13
18,Tufts,Loss 10-11,-4.19,Counts,0.0342,2023-03-06,Stanford Invite 2022,0,10,11,-125,-1,1715.78,1713.19,1590.78,1717.38,1590.78,54.404676,Oregon,14
150,Portland State,Win 13-2,0,Ignored,0,2023-04-16,Cascadia D I College Mens CC 2022,1,13,2,600,11,956.75,1709,1556.75,1709,0,0,Oregon,15
39,Western Washington,Loss 11-13,-21.72,Counts,0.0484,2023-04-16,Cascadia D I College Mens CC 2022,0,11,13,-228.84,-2,1510.39,1730.72,1281.5500000000002,1752.44,1281.5500000000002,62.02702000000001,Oregon,16
107,Washington-B,Win 13-2,1.35,Counts,0.0484,2023-04-16,Cascadia D I College Mens CC 2022,1,13,2,600,11,1135.5,1707.66,1735.5,1706.3100000000002,1735.5,83.9982,Oregon,17
38,Oregon State,Win 13-7,18.41,Counts,0.0484,2023-04-16,Cascadia D I College Mens CC 2022,1,13,7,557.53,6,1513.79,1690.59,2071.3199999999997,1672.1799999999998,2071.3199999999997,100.25188799999998,Oregon,18
11,Washington,Loss 8-9,0.67,Counts,0.045700000000000005,2023-04-17,Cascadia D I College Mens CC 2022,0,8,9,-125,-1,1847.95,1708.34,1722.95,1707.6699999999998,1722.95,78.73881500000002,Oregon,19
43,Victoria,Win 11-6,15.91,Counts,0.045700000000000005,2023-04-17,Cascadia D I College Mens CC 2022,1,11,6,546.69,5,1494.23,1693.1,2040.92,1677.1899999999998,2040.92,93.27004400000001,Oregon,20
39,Western Washington,Win 7-5,5.18,Counts,0.0384,2023-04-17,Cascadia D I College Mens CC 2022,1,7,5,328.14,2,1510.39,1703.83,1838.5300000000002,1698.6499999999999,1838.5300000000002,70.599552,Oregon,21
302,Idaho,Win 13-1,0,Ignored,0,2023-05-07,Northwest D I College Mens Regionals 2022,1,13,1,600,12,313.39,1709,913.39,1709,0,0,Oregon,22
28,British Columbia,Loss 9-10,-13.53,Counts,0.0575,2023-05-07,Northwest D I College Mens Regionals 2022,0,9,10,-125,-1,1612.3,1722.53,1487.3,1736.06,1487.3,85.51975,Oregon,23
178,Montana State,Win 13-6,-16.51,Counts,0.0575,2023-05-07,Northwest D I College Mens Regionals 2022,1,13,6,600,7,838.48,1725.51,1438.48,1742.02,1438.48,82.71260000000001,Oregon,24
45,Utah,Win 13-10,6.44,Counts,0.0575,2023-05-07,Northwest D I College Mens Regionals 2022,1,13,10,328.14,3,1486.48,1702.56,1814.62,1696.12,1814.62,104.34065,Oregon,25
43,Victoria,Win 13-8,17.17,Counts,0.0575,2023-05-08,Northwest D I College Mens Regionals 2022,1,13,8,496.16,5,1494.23,1691.84,1990.39,1674.6699999999998,1990.39,114.44742500000001,Oregon,26
11,Washington,Loss 10-11,0.85,Counts,0.0575,2023-05-08,Northwest D I College Mens Regionals 2022,0,10,11,-125,-1,1847.95,1708.15,1722.95,1707.3000000000002,1722.95,99.069625,Oregon,27
