OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
157,Liberty,Loss 5-8,-26.22,Counts,0.0366,2023-02-19,Commonwealth Cup Weekend 1,0,5,8,-453.6,-3,929.3,1191.39,475.69999999999993,1217.6100000000001,475.69999999999993,17.410619999999998,Pennsylvania,1
188,Mary Washington,Loss 6-7,-18.7,Counts,0.0366,2023-02-19,Commonwealth Cup Weekend 1,0,6,7,-125,-1,798.38,1183.87,673.38,1202.57,673.38,24.645708,Pennsylvania,2
318,Virginia-B,Win 10-2,0,Ignored,0,2023-02-19,Commonwealth Cup Weekend 1,1,10,2,600,8,242.62,1165.17,842.62,1165.17,0,0,Pennsylvania,3
87,Richmond,Loss 11-13,-8.01,Counts,0.0443,2023-02-20,Commonwealth Cup Weekend 1,0,11,13,-228.84,-2,1221.1,1173.18,992.2599999999999,1181.19,992.2599999999999,43.957117999999994,Pennsylvania,4
157,Liberty,Win 10-6,11.03,Counts,0.0406,2023-02-20,Commonwealth Cup Weekend 1,1,10,6,496.16,4,929.3,1154.14,1425.46,1143.1100000000001,1425.46,57.873675999999996,Pennsylvania,5
64,Northwestern,Loss 11-12,3.64,Counts,0.0443,2023-02-20,Commonwealth Cup Weekend 1,0,11,12,-125,-1,1368.8,1161.52,1243.8,1157.8799999999999,1243.8,55.100339999999996,Pennsylvania,6
129,Boston University,Loss 7-9,-22.62,Counts,0.054299999999999994,2023-03-26,Hucktastic 2022,0,7,9,-279.34,-2,1050.21,1187.79,770.8700000000001,1210.4099999999999,770.8700000000001,41.858241,Pennsylvania,7
277,Villanova,Win 12-1,0,Ignored,0,2023-03-26,Hucktastic 2022,1,12,1,600,11,447.31,1165.17,1047.31,1165.17,0,0,Pennsylvania,8
341,Temple-B,Win 10-0,0,Ignored,0,2023-03-26,Hucktastic 2022,1,10,0,600,10,69.83,1165.17,669.83,1165.17,0,0,Pennsylvania,9
366,Jefferson,Win 13-1,0,Ignored,0,2023-03-26,Hucktastic 2022,1,13,1,600,12,341.43,1165.17,941.4300000000001,1165.17,0,0,Pennsylvania,10
154,NYU,Loss 9-10,-21.34,Counts,0.0591,2023-03-26,Hucktastic 2022,0,9,10,-125,-1,950.57,1186.51,825.57,1207.85,825.57,48.791187,Pennsylvania,11
366,Jefferson,Win 13-3,0,Ignored,0,2023-03-26,Hucktastic 2022,1,13,3,600,10,341.43,1165.17,941.4300000000001,1165.17,0,0,Pennsylvania,12
100,Lehigh,Win 11-8,26.83,Counts,0.0703,2023-04-16,East Penn D I College Mens CC 2022,1,11,8,365.61,3,1154.27,1138.34,1519.88,1111.51,1519.88,106.847564,Pennsylvania,13
65,Temple,Loss 9-11,-4.13,Counts,0.0703,2023-04-16,East Penn D I College Mens CC 2022,0,9,11,-249.21,-2,1359.72,1169.3,1110.51,1173.43,1110.51,78.068853,Pennsylvania,14
229,West Chester,Win 10-9,-27.85,Counts,0.0703,2023-04-16,East Penn D I College Mens CC 2022,1,10,9,125,1,671.94,1193.01,796.94,1220.86,796.94,56.024882000000005,Pennsylvania,15
242,Drexel,Win 11-7,-5.32,Counts,0.0684,2023-04-16,East Penn D I College Mens CC 2022,1,11,7,466.89,4,625.81,1170.49,1092.6999999999998,1175.81,1092.6999999999998,74.74067999999998,Pennsylvania,16
100,Lehigh,Win 14-7,43.26,Counts,0.0703,2023-04-17,East Penn D I College Mens CC 2022,1,14,7,582.89,7,1154.27,1121.91,1737.1599999999999,1078.65,1737.1599999999999,122.12234799999999,Pennsylvania,17
170,Ohio,Win 13-6,28.65,Counts,0.0836,2023-05-07,Ohio Valley D I College Mens Regionals 2022,1,13,6,600,7,879.22,1136.51,1479.22,1107.86,1479.22,123.662792,Pennsylvania,18
24,Ohio State,Loss 8-12,5.12,Counts,0.0836,2023-05-07,Ohio Valley D I College Mens Regionals 2022,0,8,12,-441.15,-4,1662.49,1160.04,1221.3400000000001,1154.92,1221.3400000000001,102.10402400000001,Pennsylvania,19
179,West Virginia,Win 13-1,24.04,Counts,0.0836,2023-05-07,Ohio Valley D I College Mens Regionals 2022,1,13,1,600,12,828.6,1141.13,1428.6,1117.0900000000001,1428.6,119.43095999999998,Pennsylvania,20
51,Penn State,Loss 9-12,-5.57,Counts,0.0836,2023-05-08,Ohio Valley D I College Mens Regionals 2022,0,9,12,-345.37,-3,1449.51,1170.73,1104.1399999999999,1176.3,1104.1399999999999,92.30610399999998,Pennsylvania,21
