OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
4,Brigham Young,Loss 7-13,-11.63,Counts,0.022000000000000002,2023-02-05,Warm Up 2022,0,7,13,-557.53,-6,2039.12,2010.85,1481.59,2022.48,1481.59,32.59498,Pittsburgh,1
47,Florida,Win 13-11,-6.59,Counts,0.022000000000000002,2023-02-05,Warm Up 2022,1,13,11,228.84,2,1476.89,2005.81,1705.73,2012.3999999999999,1705.73,37.52606,Pittsburgh,2
158,South Florida,Win 13-5,0,Ignored,0,2023-02-05,Warm Up 2022,1,13,5,600,8,917.32,1999.22,1517.3200000000002,1999.22,0,0,Pittsburgh,3
26,Auburn,Win 13-4,4.91,Counts,0.022000000000000002,2023-02-05,Warm Up 2022,1,13,4,600,9,1617.76,1994.31,2217.76,1989.3999999999999,2217.76,48.79072000000001,Pittsburgh,4
13,Minnesota,Win 11-10,-0.89,Counts,0.022000000000000002,2023-02-05,Warm Up 2022,1,11,10,125,1,1834.48,2000.12,1959.48,2001.01,1959.48,43.108560000000004,Pittsburgh,5
7,Massachusetts,Loss 10-12,-6.76,Counts,0.022000000000000002,2023-02-05,Warm Up 2022,0,10,12,-238.12,-2,1936.21,2005.99,1698.0900000000001,2012.75,1698.0900000000001,37.357980000000005,Pittsburgh,6
47,Florida,Win 14-12,-6.77,Counts,0.022000000000000002,2023-02-05,Warm Up 2022,1,14,12,220.96,2,1476.89,2005.99,1697.8500000000001,2012.76,1697.8500000000001,37.352700000000006,Pittsburgh,7
1,Brown,Loss 12-14,-0.23,Counts,0.022000000000000002,2023-02-05,Warm Up 2022,0,12,14,-220.96,-2,2209.79,1999.46,1988.83,1999.69,1988.83,43.75426,Pittsburgh,8
25,Maryland,Win 11-7,3.48,Counts,0.0269,2023-03-05,Smoky Mountain Invite 2022,1,11,7,466.89,4,1657.91,1995.75,2124.8,1992.27,2124.8,57.157120000000006,Pittsburgh,9
29,UCLA,Win 13-7,4.43,Counts,0.0277,2023-03-05,Smoky Mountain Invite 2022,1,13,7,557.53,6,1597.35,1994.79,2154.88,1990.36,2154.88,59.690176,Pittsburgh,10
8,Georgia,Win 9-6,8.81,Counts,0.0246,2023-03-05,Smoky Mountain Invite 2022,1,9,6,418.57,3,1930.07,1990.41,2348.64,1981.6000000000001,2348.64,57.776543999999994,Pittsburgh,11
52,Indiana,Win 15-6,1.2,Counts,0.0277,2023-03-05,Smoky Mountain Invite 2022,1,15,6,600,9,1441.23,1998.03,2041.23,1996.83,2041.23,56.542071,Pittsburgh,12
7,Massachusetts,Loss 11-14,-10.71,Counts,0.0277,2023-03-06,Smoky Mountain Invite 2022,0,11,14,-313.34,-3,1936.21,2009.94,1622.8700000000001,2020.65,1622.8700000000001,44.953499,Pittsburgh,13
2,North Carolina,Loss 11-15,-5.73,Counts,0.0277,2023-03-06,Smoky Mountain Invite 2022,0,11,15,-381.16,-4,2179.26,2004.95,1798.1000000000001,2010.68,1798.1000000000001,49.80737,Pittsburgh,14
14,North Carolina State,Win 13-12,-1.33,Counts,0.0277,2023-03-06,Smoky Mountain Invite 2022,1,13,12,125,1,1827.64,2000.55,1952.64,2001.8799999999999,1952.64,54.088128,Pittsburgh,15
8,Georgia,Win 11-9,6.51,Counts,0.0349,2023-04-01,Easterns 2022,1,11,9,249.21,2,1930.07,1992.72,2179.2799999999997,1986.21,2179.2799999999997,76.056872,Pittsburgh,16
49,Illinois,Win 15-7,2.06,Counts,0.0349,2023-04-01,Easterns 2022,1,15,7,600,8,1456.25,1997.16,2056.25,1995.1000000000001,2056.25,71.763125,Pittsburgh,17
10,California,Win 13-10,6.45,Counts,0.0349,2023-04-01,Easterns 2022,1,13,10,328.14,3,1849.7,1992.77,2177.84,1986.32,2177.84,76.00661600000001,Pittsburgh,18
22,Carleton College,Win 15-6,9.89,Counts,0.0349,2023-04-03,Easterns 2022,1,15,6,600,9,1672.93,1989.33,2272.9300000000003,1979.4399999999998,2272.9300000000003,79.32525700000001,Pittsburgh,19
1,Brown,Loss 10-15,-8.78,Counts,0.0349,2023-04-03,Easterns 2022,0,10,15,-453.6,-5,2209.79,2008,1756.19,2016.78,1756.19,61.291031000000004,Pittsburgh,20
2,North Carolina,Loss 10-11,1.99,Counts,0.0349,2023-04-03,Easterns 2022,0,10,11,-125,-1,2179.26,1997.23,2054.26,1995.24,2054.26,71.69367400000002,Pittsburgh,21
62,Carnegie Mellon,Win 11-7,-5.84,Counts,0.0381,2023-04-16,West Penn D I College Mens CC 2022,1,11,7,466.89,4,1384.97,2005.06,1851.8600000000001,2010.8999999999999,1851.8600000000001,70.55586600000001,Pittsburgh,22
51,Penn State,Win 12-7,-1.19,Counts,0.0391,2023-04-16,West Penn D I College Mens CC 2022,1,12,7,520.51,5,1449.51,2000.41,1970.02,2001.6000000000001,1970.02,77.027782,Pittsburgh,23
179,West Virginia,Win 13-4,0,Ignored,0,2023-04-16,West Penn D I College Mens CC 2022,1,13,4,600,9,828.6,1999.22,1428.6,1999.22,0,0,Pittsburgh,24
