OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
8,Georgia,Loss 9-11,4.02,Counts,0.0418,2023-02-12,Queen City Tune Up 2022,0,9,11,-249.21,-2,1930.07,1584.77,1680.86,1580.75,1680.86,70.259948,Purdue,1
27,William & Mary,Win 10-9,6.62,Counts,0.0418,2023-02-12,Queen City Tune Up 2022,1,10,9,125,1,1615.6,1582.16,1740.6,1575.5400000000002,1740.6,72.75707999999999,Purdue,2
41,North Carolina-Charlotte,Loss 7-9,-14.35,Counts,0.0384,2023-02-12,Queen City Tune Up 2022,0,7,9,-279.34,-2,1508.52,1603.14,1229.18,1617.49,1229.18,47.200511999999996,Purdue,3
30,North Carolina-Wilmington,Win 10-6,20.04,Counts,0.0384,2023-02-13,Queen City Tune Up 2022,1,10,6,496.16,4,1594.83,1568.75,2090.99,1548.71,2090.99,80.29401599999998,Purdue,4
60,Notre Dame,Win 15-6,17.86,Counts,0.0418,2023-02-13,Queen City Tune Up 2022,1,15,6,600,9,1398.11,1570.93,1998.11,1553.0700000000002,1998.11,83.52099799999999,Purdue,5
216,DePaul,Win 13-1,0,Ignored,0,2023-03-05,Midwest Throwdown 2022,1,13,1,600,12,701.9,1588.79,1301.9,1588.79,0,0,Purdue,6
64,Northwestern,Win 10-5,16.36,Counts,0.044199999999999996,2023-03-05,Midwest Throwdown 2022,1,10,5,573.9,5,1368.8,1572.43,1942.6999999999998,1556.0700000000002,1942.6999999999998,85.86733999999998,Purdue,7
68,Colorado College,Win 8-7,-5.68,Counts,0.044199999999999996,2023-03-05,Midwest Throwdown 2022,1,8,7,125,1,1340.93,1594.47,1465.93,1600.15,1465.93,64.794106,Purdue,8
133,Wisconsin-Milwaukee,Win 13-9,-7.68,Counts,0.049699999999999994,2023-03-06,Midwest Throwdown 2022,1,13,9,418.57,4,1023.38,1596.47,1441.95,1604.15,1441.95,71.664915,Purdue,9
64,Northwestern,Win 13-7,17.66,Counts,0.049699999999999994,2023-03-06,Midwest Throwdown 2022,1,13,7,557.53,6,1368.8,1571.13,1926.33,1553.47,1926.33,95.73860099999999,Purdue,10
95,Iowa State,Win 13-7,7.95,Counts,0.049699999999999994,2023-03-06,Midwest Throwdown 2022,1,13,7,557.53,6,1183.14,1580.84,1740.67,1572.8899999999999,1740.67,86.511299,Purdue,11
68,Colorado College,Win 12-7,14.27,Counts,0.049699999999999994,2023-03-06,Midwest Throwdown 2022,1,12,7,520.51,5,1340.93,1574.52,1861.44,1560.25,1861.44,92.51356799999999,Purdue,12
245,IUPUI,Win 15-4,0,Ignored,0,2023-04-09,East Plains D I College Mens CC 2022,1,15,4,600,11,619.21,1588.79,1219.21,1588.79,0,0,Purdue,13
91,Kentucky,Win 11-8,-1.8,Counts,0.0664,2023-04-09,East Plains D I College Mens CC 2022,1,11,8,365.61,3,1197.89,1590.59,1563.5,1592.3899999999999,1563.5,103.8164,Purdue,14
60,Notre Dame,Win 15-10,18.69,Counts,0.0664,2023-04-10,East Plains D I College Mens CC 2022,1,15,10,453.6,5,1398.11,1570.1,1851.71,1551.4099999999999,1851.71,122.95354400000001,Purdue,15
52,Indiana,Win 15-10,21.76,Counts,0.0664,2023-04-10,East Plains D I College Mens CC 2022,1,15,10,453.6,5,1441.23,1567.03,1894.83,1545.27,1894.83,125.816712,Purdue,16
190,Illinois State,Win 15-3,0,Ignored,0,2023-04-30,Great Lakes D I College Mens Regionals 2022,1,15,3,600,12,796.31,1588.79,1396.31,1588.79,0,0,Purdue,17
70,Chicago,Win 13-12,-11.68,Counts,0.0789,2023-04-30,Great Lakes D I College Mens Regionals 2022,1,13,12,125,1,1327.52,1600.47,1452.52,1612.15,1452.52,114.603828,Purdue,18
91,Kentucky,Win 13-10,-5.38,Counts,0.0789,2023-05-01,Great Lakes D I College Mens Regionals 2022,1,13,10,328.14,3,1197.89,1594.17,1526.0300000000002,1599.5500000000002,1526.0300000000002,120.40376700000002,Purdue,19
52,Indiana,Loss 9-12,-42.24,Counts,0.0789,2023-05-01,Great Lakes D I College Mens Regionals 2022,0,9,12,-345.37,-3,1441.23,1631.03,1095.8600000000001,1673.27,1095.8600000000001,86.46335400000001,Purdue,20
60,Notre Dame,Loss 6-11,-59.49,Counts,0.0747,2023-05-01,Great Lakes D I College Mens Regionals 2022,0,6,11,-546.69,-5,1398.11,1648.28,851.4199999999998,1707.77,851.4199999999998,63.60107399999999,Purdue,21
