OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
79,Charleston,Loss 3-13,0,Ignored,0,2023-02-26,Cutlass Classic 2022,0,3,13,-600,-10,1252.6,639.15,652.5999999999999,639.15,0,0,Radford,1
304,Embry-Riddle,Win 13-3,18.49,Counts,0.0667,2023-02-26,Cutlass Classic 2022,1,13,3,600,10,297.97,620.67,897.97,602.18,897.97,59.894599,Radford,2
168,Kennesaw State,Win 12-6,57.66,Counts,0.0649,2023-02-26,Cutlass Classic 2022,1,12,6,579.31,6,890.93,581.49,1470.2399999999998,523.83,1470.2399999999998,95.41857599999999,Radford,3
198,George Washington,Loss 9-11,-8.97,Counts,0.0667,2023-02-26,Cutlass Classic 2022,0,9,11,-249.21,-2,762.77,648.12,513.56,657.09,513.56,34.25445199999999,Radford,4
168,Kennesaw State,Win 15-9,54.8,Counts,0.0667,2023-02-27,Cutlass Classic 2022,1,15,9,515.48,6,890.93,584.35,1406.4099999999999,529.5500000000001,1406.4099999999999,93.80754699999999,Radford,5
297,Miami,Win 11-7,16.23,Counts,0.0817,2023-03-26,Riddle Rumble,1,11,7,466.89,4,354.54,622.92,821.4300000000001,606.6899999999999,821.4300000000001,67.110831,Radford,6
361,South Florida-B,Win 13-1,0,Ignored,0,2023-03-26,Riddle Rumble,1,13,1,600,12,198.81,639.15,798.81,639.15,0,0,Radford,7
325,Central Florida-B,Win 13-3,13.36,Counts,0.084,2023-03-26,Riddle Rumble,1,13,3,600,10,184.87,625.79,784.87,612.43,784.87,65.92908,Radford,8
266,East Carolina,Loss 9-11,-35.23,Counts,0.084,2023-03-27,Riddle Rumble,0,9,11,-249.21,-2,504.16,674.38,254.95000000000002,709.61,254.95000000000002,21.415800000000004,Radford,9
140,Florida Tech,Loss 7-12,-15.96,Counts,0.084,2023-03-27,Riddle Rumble,0,7,12,-520.51,-5,985.58,655.11,465.07000000000005,671.07,465.07000000000005,39.06588000000001,Radford,10
304,Embry-Riddle,Win 14-13,-19.82,Counts,0.084,2023-03-27,Riddle Rumble,1,14,13,125,1,297.97,658.97,422.97,678.7900000000001,422.97,35.52948000000001,Radford,11
69,Virginia Tech,Loss 4-13,0,Ignored,0,2023-04-23,Virginia D I College Mens CC 2022,0,4,13,-600,-9,1329.97,639.15,729.97,639.15,0,0,Radford,12
37,Virginia,Loss 5-13,0,Ignored,0,2023-04-23,Virginia D I College Mens CC 2022,0,5,13,-600,-8,1514.83,639.15,914.8299999999999,639.15,0,0,Radford,13
118,Virginia Commonwealth,Loss 7-13,-13.56,Counts,0.1058,2023-04-23,Virginia D I College Mens CC 2022,0,7,13,-557.53,-6,1082.14,652.71,524.6100000000001,666.27,524.6100000000001,55.50373800000001,Radford,14
27,William & Mary,Loss 5-13,0,Ignored,0,2023-04-23,Virginia D I College Mens CC 2022,0,5,13,-600,-8,1615.6,639.15,1015.5999999999999,639.15,0,0,Radford,15
157,Liberty,Loss 7-15,-36.67,Counts,0.1058,2023-04-24,Virginia D I College Mens CC 2022,0,7,15,-600,-8,929.3,675.82,329.29999999999995,712.49,329.29999999999995,34.83994,Radford,16
238,George Mason,Loss 12-15,-34.82,Counts,0.1058,2023-04-24,Virginia D I College Mens CC 2022,0,12,15,-300.49,-3,645.39,673.97,344.9,708.7900000000001,344.9,36.49042,Radford,17
