OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
234,Amherst,Loss 11-15,2.99,Counts,0.0611,2023-03-26,New York Invite,0,11,15,-381.16,-4,655.72,225.65,274.56,222.66,274.56,16.775616,Rensselaer Polytechnic Institute,1
175,SUNY Cortland,Loss 7-15,1.35,Counts,0.0611,2023-03-26,New York Invite,0,7,15,-600,-8,849.35,227.29,249.35000000000002,225.94,249.35000000000002,15.235285000000001,Rensselaer Polytechnic Institute,2
174,Rochester,Loss 6-13,1.38,Counts,0.0611,2023-03-26,New York Invite,0,6,13,-600,-7,849.91,227.25,249.90999999999997,225.87,249.90999999999997,15.269500999999998,Rensselaer Polytechnic Institute,3
184,Massachusetts-C,Loss 8-13,6.06,Counts,0.0647,2023-04-02,Northeast Classic,0,8,13,-496.16,-5,812.41,222.58,316.24999999999994,216.52,316.24999999999994,20.461374999999993,Rensselaer Polytechnic Institute,4
369,SUNY-Albany-B,Win 13-0,0,Ignored,0,2023-04-02,Northeast Classic,1,13,0,600,13,388.05,228.64,988.05,228.64,0,0,Rensselaer Polytechnic Institute,5
309,SUNY-Binghamton-B,Win 11-9,20.91,Counts,0.0647,2023-04-02,Northeast Classic,1,11,9,249.21,2,281.65,207.73,530.86,186.82,530.86,34.346641999999996,Rensselaer Polytechnic Institute,6
338,SUNY-Oneonta,Win 12-9,14.7,Counts,0.0647,2023-04-02,Northeast Classic,1,12,9,345.37,3,95.79,213.93,441.16,199.23000000000002,441.16,28.543052,Rensselaer Polytechnic Institute,7
364,New Haven,Win 12-7,-1.8,Counts,0.07690000000000001,2023-04-23,Hudson Valley D III College Mens CC 2022,1,12,7,520.51,5,313.53,230.44,834.04,232.24,834.04,64.137676,Rensselaer Polytechnic Institute,8
183,Wesleyan,Loss 7-13,2.48,Counts,0.07690000000000001,2023-04-23,Hudson Valley D III College Mens CC 2022,0,7,13,-557.53,-6,815.88,226.16,258.35,223.68,258.35,19.867115000000005,Rensselaer Polytechnic Institute,9
337,Siena,Win 10-8,11.86,Counts,0.07490000000000001,2023-04-23,Hudson Valley D III College Mens CC 2022,1,10,8,262.67,2,112.49,216.77,375.16,204.91000000000003,375.16,28.099484000000004,Rensselaer Polytechnic Institute,10
300,Union,Loss 8-13,-33.48,Counts,0.07690000000000001,2023-04-23,Hudson Valley D III College Mens CC 2022,0,8,13,-496.16,-5,323.19,262.12,-172.97000000000003,295.6,-172.97000000000003,-13.301393000000004,Rensselaer Polytechnic Institute,11
210,Vassar,Loss 8-15,-6.49,Counts,0.07690000000000001,2023-04-24,Hudson Valley D III College Mens CC 2022,0,8,15,-564.81,-7,715.56,235.13,150.75,241.62,150.75,11.592675000000002,Rensselaer Polytechnic Institute,12
303,Skidmore College,Loss 10-11,-4.62,Counts,0.07690000000000001,2023-04-24,Hudson Valley D III College Mens CC 2022,0,10,11,-125,-1,298.24,233.25,173.24,237.87,173.24,13.322156000000003,Rensselaer Polytechnic Institute,13
183,Wesleyan,Loss 3-13,-1.13,Counts,0.0815,2023-04-30,Metro East D III College Mens Regionals 2022,0,3,13,-600,-10,815.88,229.77,215.88,230.9,215.88,17.59422,Rensselaer Polytechnic Institute,14
174,Rochester,Loss 3-13,0,Ignored,0,2023-04-30,Metro East D III College Mens Regionals 2022,0,3,13,-600,-10,849.91,228.64,249.90999999999997,228.64,0,0,Rensselaer Polytechnic Institute,15
303,Skidmore College,Loss 10-12,-14.96,Counts,0.0815,2023-04-30,Metro East D III College Mens Regionals 2022,0,10,12,-238.12,-2,298.24,243.59,60.120000000000005,258.55,60.120000000000005,4.899780000000001,Rensselaer Polytechnic Institute,16
