OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
256,Penn State-B,Win 12-7,13.59,Counts,0.0412,2023-03-05,Philly Special,1,12,7,520.51,5,583.9,774.43,1104.4099999999999,760.8399999999999,1104.4099999999999,45.50169199999999,Rowan,1
275,College of New Jersey,Loss 7-10,-29.13,Counts,0.039,2023-03-05,Philly Special,0,7,10,-389.67,-3,459.33,817.15,69.65999999999997,846.28,69.65999999999997,2.716739999999999,Rowan,2
256,Penn State-B,Win 13-11,1.06,Counts,0.0412,2023-03-06,Philly Special,1,13,11,228.84,2,583.9,786.96,812.74,785.9000000000001,812.74,33.484888,Rowan,3
289,Salisbury,Win 13-5,10.07,Counts,0.049,2023-03-26,Garden State 2022,1,13,5,600,8,383.54,777.95,983.54,767.88,983.54,48.19346,Rowan,4
229,West Chester,Win 13-4,24.93,Counts,0.049,2023-03-26,Garden State 2022,1,13,4,600,9,671.94,763.1,1271.94,738.1700000000001,1271.94,62.32506000000001,Rowan,5
275,College of New Jersey,Win 10-1,12.13,Counts,0.042800000000000005,2023-03-26,Garden State 2022,1,10,1,600,9,459.33,775.89,1059.33,763.76,1059.33,45.339324000000005,Rowan,6
247,SUNY-Albany,Win 6-5,-1.94,Counts,0.0373,2023-03-26,Garden State 2022,1,6,5,125,1,612.9,789.97,737.9,791.9100000000001,737.9,27.52367,Rowan,7
350,New Jersey Tech,Win 10-2,0,Ignored,0,2023-03-27,Garden State 2022,1,10,2,600,8,16.08,788.03,616.08,788.03,0,0,Rowan,8
289,Salisbury,Win 12-8,1.89,Counts,0.049,2023-03-27,Garden State 2022,1,12,8,441.15,4,383.54,786.14,824.69,784.25,824.69,40.40981000000001,Rowan,9
247,SUNY-Albany,Win 11-9,3.82,Counts,0.049,2023-03-27,Garden State 2022,1,11,9,249.21,2,612.9,784.21,862.11,780.39,862.11,42.243390000000005,Rowan,10
183,Wesleyan,Win 12-8,25.68,Counts,0.0519,2023-04-02,Northeast Classic,1,12,8,441.15,4,815.88,762.35,1257.03,736.6700000000001,1257.03,65.239857,Rowan,11
193,Vermont-C,Win 13-7,30.45,Counts,0.0519,2023-04-02,Northeast Classic,1,13,7,557.53,6,786.67,757.58,1344.1999999999998,727.13,1344.1999999999998,69.76397999999999,Rowan,12
138,Bowdoin,Loss 10-13,-7.13,Counts,0.0519,2023-04-02,Northeast Classic,0,10,13,-328.14,-3,986.01,795.15,657.87,802.28,657.87,34.143453,Rowan,13
162,Massachusetts-Lowell,Loss 11-12,-0.61,Counts,0.0519,2023-04-03,Northeast Classic,0,11,12,-125,-1,901.86,788.64,776.86,789.25,776.86,40.319034,Rowan,14
234,Amherst,Loss 9-10,-14.09,Counts,0.0519,2023-04-03,Northeast Classic,0,9,10,-125,-1,655.72,802.11,530.72,816.2,530.72,27.544368000000002,Rowan,15
94,Princeton,Loss 4-15,-12.3,Counts,0.0583,2023-04-16,Metro NY D I College Mens CC 2022,0,4,15,-600,-11,1189.13,800.33,589.1300000000001,812.63,589.1300000000001,34.346279,Rowan,16
119,Connecticut,Loss 8-13,-12.6,Counts,0.0583,2023-04-16,Metro NY D I College Mens CC 2022,0,8,13,-496.16,-5,1080.53,800.62,584.3699999999999,813.22,584.3699999999999,34.06877099999999,Rowan,17
76,Columbia,Loss 8-13,-1.23,Counts,0.0583,2023-04-16,Metro NY D I College Mens CC 2022,0,8,13,-496.16,-5,1264.23,789.26,768.0699999999999,790.49,768.0699999999999,44.77848099999999,Rowan,18
209,SUNY-Stony Brook,Loss 8-11,-27.08,Counts,0.0583,2023-04-16,Metro NY D I College Mens CC 2022,0,8,11,-365.61,-3,715.85,815.11,350.24,842.19,350.24,20.418992,Rowan,19
154,NYU,Loss 7-12,-22.15,Counts,0.0583,2023-04-17,Metro NY D I College Mens CC 2022,0,7,12,-520.51,-5,950.57,810.17,430.06000000000006,832.3199999999999,430.06000000000006,25.072498000000003,Rowan,20
279,Hofstra,Win 9-6,4.16,Counts,0.0518,2023-04-17,Metro NY D I College Mens CC 2022,1,9,6,418.57,3,445.61,783.87,864.1800000000001,779.71,864.1800000000001,44.764524,Rowan,21
