OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
94,Princeton,Loss 10-11,-7.51,Counts,0.08789999999999999,2023-04-16,Metro NY D I College Mens CC 2022,0,10,11,-125,-1,1189.13,1149.62,1064.13,1157.1299999999999,1064.13,93.537027,Rutgers,1
279,Hofstra,Win 13-2,0,Ignored,0,2023-04-16,Metro NY D I College Mens CC 2022,1,13,2,600,11,445.61,1142.11,1045.6100000000001,1142.11,0,0,Rutgers,2
154,NYU,Win 12-6,36.26,Counts,0.0855,2023-04-16,Metro NY D I College Mens CC 2022,1,12,6,579.31,6,950.57,1105.85,1529.88,1069.59,1529.88,130.80474,Rutgers,3
209,SUNY-Stony Brook,Win 13-7,12.64,Counts,0.08789999999999999,2023-04-16,Metro NY D I College Mens CC 2022,1,13,7,557.53,6,715.85,1129.47,1273.38,1116.83,1273.38,111.930102,Rutgers,4
76,Columbia,Loss 7-8,-0.24,Counts,0.0781,2023-04-17,Metro NY D I College Mens CC 2022,0,7,8,-125,-1,1264.23,1142.35,1139.23,1142.59,1139.23,88.97386300000001,Rutgers,5
154,NYU,Loss 11-12,-30.49,Counts,0.08789999999999999,2023-04-17,Metro NY D I College Mens CC 2022,0,11,12,-125,-1,950.57,1172.6,825.57,1203.09,825.57,72.56760299999999,Rutgers,6
209,SUNY-Stony Brook,Win 12-8,1.43,Counts,0.08789999999999999,2023-04-17,Metro NY D I College Mens CC 2022,1,12,8,441.15,4,715.85,1140.67,1157,1139.24,1157,101.70029999999998,Rutgers,7
247,SUNY-Albany,Win 15-5,7.74,Counts,0.0986,2023-04-30,Metro East D I College Mens Regionals 2022,1,15,5,600,10,612.9,1134.36,1212.9,1126.62,1212.9,119.59194,Rutgers,8
85,Cornell,Loss 7-13,-51.13,Counts,0.0986,2023-04-30,Metro East D I College Mens Regionals 2022,0,7,13,-557.53,-6,1232.33,1193.24,674.8,1244.3700000000001,674.8,66.53527999999999,Rutgers,9
145,SUNY-Buffalo,Win 15-10,30.65,Counts,0.0986,2023-04-30,Metro East D I College Mens Regionals 2022,1,15,10,453.6,5,968.61,1111.46,1422.21,1080.81,1422.21,140.229906,Rutgers,10
125,Yale,Win 9-7,20.63,Counts,0.09050000000000001,2023-05-01,Metro East D I College Mens Regionals 2022,1,9,7,279.34,2,1070.13,1121.48,1349.47,1100.85,1349.47,122.12703500000002,Rutgers,11
119,Connecticut,Loss 13-14,-20.41,Counts,0.0986,2023-05-01,Metro East D I College Mens Regionals 2022,0,13,14,-125,-1,1080.53,1162.52,955.53,1182.93,955.53,94.21525799999999,Rutgers,12
