OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
162,Massachusetts-Lowell,Win 10-9,5.17,Counts,0.028300000000000002,2023-02-26,Bring The Huckus 12,1,10,9,125,1,901.86,844.18,1026.8600000000001,839.01,1026.8600000000001,29.060138000000006,SUNY Cortland,1
295,Haverford,Win 10-4,2.99,Counts,0.024700000000000003,2023-02-26,Bring The Huckus 12,1,10,4,600,6,367.14,846.36,967.14,843.37,967.14,23.888358000000004,SUNY Cortland,2
289,Salisbury,Win 13-4,3.91,Counts,0.028300000000000002,2023-02-26,Bring The Huckus 12,1,13,4,600,9,383.54,845.44,983.54,841.5300000000001,983.54,27.834182000000002,SUNY Cortland,3
247,SUNY-Albany,Win 9-8,-3.07,Counts,0.0268,2023-02-26,Bring The Huckus 12,1,9,8,125,1,612.9,852.42,737.9,855.49,737.9,19.77572,SUNY Cortland,4
290,Stockton University -Upper,Win 10-7,-2.23,Counts,0.0268,2023-02-27,Bring The Huckus 12,1,10,7,389.67,3,378.52,851.58,768.19,853.8100000000001,768.19,20.587492,SUNY Cortland,5
132,Ithaca,Loss 7-8,1.27,Counts,0.025099999999999997,2023-02-27,Bring The Huckus 12,0,7,8,-125,-1,1023.44,848.08,898.44,846.8100000000001,898.44,22.550843999999998,SUNY Cortland,6
183,Wesleyan,Loss 8-9,-4.36,Counts,0.0268,2023-02-27,Bring The Huckus 12,0,8,9,-125,-1,815.88,853.71,690.88,858.07,690.88,18.515584,SUNY Cortland,7
156,Rhode Island,Win 7-5,10.71,Counts,0.0252,2023-03-12,Mash Up,1,7,5,328.14,2,934.93,838.63,1263.07,827.92,1263.07,31.829363999999998,SUNY Cortland,8
282,High Point,Win 10-4,4.97,Counts,0.0277,2023-03-12,Mash Up,1,10,4,600,6,423.59,844.38,1023.5899999999999,839.41,1023.5899999999999,28.353442999999995,SUNY Cortland,9
204,Georgia Tech-B,Win 8-3,12.1,Counts,0.024700000000000003,2023-03-12,Mash Up,1,8,3,600,5,726.99,837.25,1326.99,825.15,1326.99,32.776653,SUNY Cortland,10
86,Maine,Loss 9-12,1.16,Counts,0.0318,2023-03-13,Mash Up,0,9,12,-345.37,-3,1230.11,848.19,884.7399999999999,847.0300000000001,884.7399999999999,28.134732,SUNY Cortland,11
281,North Carolina State-B,Win 13-6,6.02,Counts,0.0318,2023-03-13,Mash Up,1,13,6,600,7,432.72,843.33,1032.72,837.3100000000001,1032.72,32.840496,SUNY Cortland,12
217,SUNY-Geneseo,Win 12-8,9.56,Counts,0.0318,2023-03-13,Mash Up,1,12,8,441.15,4,699.49,839.79,1140.6399999999999,830.23,1140.6399999999999,36.272352,SUNY Cortland,13
320,Rensselaer Polytechnic Institute,Win 15-7,-0.77,Counts,0.035699999999999996,2023-03-26,New York Invite,1,15,7,600,8,228.64,850.12,828.64,850.89,828.64,29.582447999999996,SUNY Cortland,14
174,Rochester,Loss 8-15,-20.86,Counts,0.035699999999999996,2023-03-26,New York Invite,0,8,15,-564.81,-7,849.91,870.21,285.1,891.07,285.1,10.17807,SUNY Cortland,15
234,Amherst,Loss 7-15,-29.34,Counts,0.035699999999999996,2023-03-26,New York Invite,0,7,15,-600,-8,655.72,878.69,55.72000000000003,908.0300000000001,55.72000000000003,1.9892040000000006,SUNY Cortland,16
276,Connecticut-B,Loss 7-10,-27.27,Counts,0.0337,2023-03-27,New York Invite,0,7,10,-389.67,-3,457.84,876.62,68.16999999999996,903.89,68.16999999999996,2.2973289999999986,SUNY Cortland,17
367,SUNY-Fredonia,Win 13-1,0,Ignored,0,2023-04-02,Strong Island,1,13,1,600,12,345.92,849.35,945.9200000000001,849.35,0,0,SUNY Cortland,18
209,SUNY-Stony Brook,Win 9-7,5.24,Counts,0.0347,2023-04-02,Strong Island,1,9,7,279.34,2,715.85,844.11,995.19,838.87,995.19,34.533093,SUNY Cortland,19
279,Hofstra,Win 12-2,7.38,Counts,0.0363,2023-04-02,Strong Island,1,12,2,600,10,445.61,841.97,1045.6100000000001,834.59,1045.6100000000001,37.955643,SUNY Cortland,20
342,SUNY-Stony Brook-B,Win 13-3,0,Ignored,0,2023-04-02,Strong Island,1,13,3,600,10,67.57,849.35,667.5699999999999,849.35,0,0,SUNY Cortland,21
209,SUNY-Stony Brook,Win 13-6,18.31,Counts,0.0378,2023-04-03,Strong Island,1,13,6,600,7,715.85,831.04,1315.85,812.73,1315.85,49.739129999999996,SUNY Cortland,22
174,Rochester,Loss 6-13,-24.99,Counts,0.04,2023-04-09,Western NY D III College Mens CC 2022,0,6,13,-600,-7,849.91,874.34,249.90999999999997,899.33,249.90999999999997,9.9964,SUNY Cortland,23
367,SUNY-Fredonia,Win 13-0,0,Ignored,0,2023-04-09,Western NY D III College Mens CC 2022,1,13,0,600,13,345.92,849.35,945.9200000000001,849.35,0,0,SUNY Cortland,24
327,Hamilton,Win 13-1,0,Ignored,0,2023-04-09,Western NY D III College Mens CC 2022,1,13,1,600,12,178.29,849.35,778.29,849.35,0,0,SUNY Cortland,25
298,Colgate,Win 10-3,3.55,Counts,0.035,2023-04-09,Western NY D III College Mens CC 2022,1,10,3,600,7,347.3,845.8,947.3,842.25,947.3,33.1555,SUNY Cortland,26
217,SUNY-Geneseo,Win 9-8,-0.98,Counts,0.0379,2023-04-10,Western NY D III College Mens CC 2022,1,9,8,125,1,699.49,850.33,824.49,851.3100000000001,824.49,31.248171000000003,SUNY Cortland,27
132,Ithaca,Win 11-8,22.5,Counts,0.04,2023-04-10,Western NY D III College Mens CC 2022,1,11,8,365.61,3,1023.44,826.85,1389.0500000000002,804.35,1389.0500000000002,55.56200000000001,SUNY Cortland,28
303,Skidmore College,Win 13-3,2.44,Counts,0.047599999999999996,2023-04-30,Metro East D III College Mens Regionals 2022,1,13,3,600,10,298.24,846.91,898.24,844.4699999999999,898.24,42.756223999999996,SUNY Cortland,29
180,Connecticut College,Loss 13-14,-7.3,Counts,0.047599999999999996,2023-04-30,Metro East D III College Mens Regionals 2022,0,13,14,-125,-1,828.33,856.65,703.33,863.9499999999999,703.33,33.478508,SUNY Cortland,30
174,Rochester,Win 15-5,30.01,Counts,0.047599999999999996,2023-05-01,Metro East D III College Mens Regionals 2022,1,15,5,600,10,849.91,819.34,1449.9099999999999,789.33,1449.9099999999999,69.01571599999998,SUNY Cortland,31
183,Wesleyan,Win 13-12,4.57,Counts,0.047599999999999996,2023-05-01,Metro East D III College Mens Regionals 2022,1,13,12,125,1,815.88,844.78,940.88,840.2099999999999,940.88,44.785888,SUNY Cortland,32
180,Connecticut College,Loss 5-15,-31.03,Counts,0.047599999999999996,2023-05-01,Metro East D III College Mens Regionals 2022,0,5,15,-600,-10,828.33,880.38,228.33000000000004,911.41,228.33000000000004,10.868508,SUNY Cortland,33
