OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
165,MIT,Loss 3-13,0,Ignored,0,2023-03-05,No Sleep Till Brooklyn 2022,0,3,13,-600,-10,898.08,281.65,298.08000000000004,281.65,0,0,SUNY-Binghamton-B,1
154,NYU,Loss 7-13,6.19,Counts,0.0527,2023-03-05,No Sleep Till Brooklyn 2022,0,7,13,-557.53,-6,950.57,275.45,393.0400000000001,269.26,393.0400000000001,20.713208,SUNY-Binghamton-B,2
123,Williams,Loss 5-13,0,Ignored,0,2023-03-05,No Sleep Till Brooklyn 2022,0,5,13,-600,-8,1073.97,281.65,473.97,281.65,0,0,SUNY-Binghamton-B,3
209,SUNY-Stony Brook,Loss 7-10,2.33,Counts,0.049800000000000004,2023-03-05,No Sleep Till Brooklyn 2022,0,7,10,-389.67,-3,715.85,279.31,326.18,276.98,326.18,16.243764000000002,SUNY-Binghamton-B,4
279,Hofstra,Loss 6-12,-22.44,Counts,0.0513,2023-03-06,No Sleep Till Brooklyn 2022,0,6,12,-579.31,-6,445.61,304.09,-133.69999999999993,326.53,-133.69999999999993,-6.8588099999999965,SUNY-Binghamton-B,5
119,Connecticut,Loss 6-13,11.05,Counts,0.0527,2023-03-06,No Sleep Till Brooklyn 2022,0,6,13,-600,-7,1080.53,270.59,480.53,259.53999999999996,480.53,25.323930999999998,SUNY-Binghamton-B,6
337,Siena,Win 10-8,6.07,Counts,0.061,2023-03-26,New York Invite,1,10,8,262.67,2,112.49,275.58,375.16,269.51,375.16,22.88476,SUNY-Binghamton-B,7
132,Ithaca,Loss 5-13,0,Ignored,0,2023-03-26,New York Invite,0,5,13,-600,-8,1023.44,281.65,423.44000000000005,281.65,0,0,SUNY-Binghamton-B,8
248,Worcester Polytechnic Institute,Loss 7-8,12.04,Counts,0.0556,2023-03-26,New York Invite,0,7,8,-125,-1,611.08,269.6,486.08000000000004,257.56,486.08000000000004,27.026048,SUNY-Binghamton-B,9
174,Rochester,Loss 3-11,-1.93,Counts,0.0575,2023-03-27,New York Invite,0,3,11,-600,-8,849.91,283.58,249.90999999999997,285.51,249.90999999999997,14.369824999999999,SUNY-Binghamton-B,10
339,SUNY Binghamton-B,Win 12-7,21.97,Counts,0.0626,2023-03-27,New York Invite,1,12,7,520.51,5,90,259.68,610.51,237.71,610.51,38.217926,SUNY-Binghamton-B,11
320,Rensselaer Polytechnic Institute,Loss 9-11,-21.48,Counts,0.0663,2023-04-02,Northeast Classic,0,9,11,-249.21,-2,228.64,303.12,-20.57000000000002,324.6,-20.57000000000002,-1.3637910000000013,SUNY-Binghamton-B,12
184,Massachusetts-C,Loss 1-13,-4.92,Counts,0.0663,2023-04-02,Northeast Classic,0,1,13,-600,-12,812.41,286.57,212.40999999999997,291.49,212.40999999999997,14.082782999999997,SUNY-Binghamton-B,13
338,SUNY-Oneonta,Win 10-9,-4.32,Counts,0.0663,2023-04-02,Northeast Classic,1,10,9,125,1,95.79,285.97,220.79000000000002,290.29,220.79000000000002,14.638377,SUNY-Binghamton-B,14
247,SUNY-Albany,Loss 6-13,-19.1,Counts,0.0663,2023-04-03,Northeast Classic,0,6,13,-600,-7,612.9,300.74,12.899999999999977,319.84000000000003,12.899999999999977,0.8552699999999984,SUNY-Binghamton-B,15
119,Connecticut,Loss 5-13,0,Ignored,0,2023-04-03,Northeast Classic,0,5,13,-600,-8,1080.53,281.65,480.53,281.65,0,0,SUNY-Binghamton-B,16
276,Connecticut-B,Loss 8-10,-7.19,Counts,0.0768,2023-04-23,Metro East Dev College Mens CC 2022,0,8,10,-262.67,-2,457.84,288.84,195.16999999999996,296.03,195.16999999999996,14.989055999999996,SUNY-Binghamton-B,17
355,Syracuse-B,Win 11-4,14.54,Counts,0.0724,2023-04-23,Metro East Dev College Mens CC 2022,1,11,4,600,7,132.07,267.11,732.0699999999999,252.57000000000002,732.0699999999999,53.001868,SUNY-Binghamton-B,18
342,SUNY-Stony Brook-B,Win 9-8,-7.18,Counts,0.0746,2023-04-23,Metro East Dev College Mens CC 2022,1,9,8,125,1,67.57,288.83,192.57,296.01,192.57,14.365722,SUNY-Binghamton-B,19
351,Cornell-B,Win 9-5,14.16,Counts,0.0677,2023-04-24,Metro East Dev College Mens CC 2022,1,9,5,529.06,4,52.51,267.49,581.5699999999999,253.33,581.5699999999999,39.372288999999995,SUNY-Binghamton-B,20
369,SUNY-Albany-B,Win 12-3,0,Ignored,0,2023-04-24,Metro East Dev College Mens CC 2022,1,12,3,600,9,388.05,281.65,988.05,281.65,0,0,SUNY-Binghamton-B,21
