OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
285,Akron,Win 13-4,2.02,Counts,0.062400000000000004,2023-03-05,Huckin in the Hills,1,13,4,600,9,398.95,966.59,998.95,964.57,998.95,62.334480000000006,SUNY-Buffalo,1
NA,Dayton-B,Win 13-5,0,Ignored,0,2023-03-05,Huckin in the Hills,1,13,5,600,8,272.08,968.61,872.0799999999999,968.61,0,0,SUNY-Buffalo,2
179,West Virginia,Win 13-9,18.55,Counts,0.062400000000000004,2023-03-05,Huckin in the Hills,1,13,9,418.57,4,828.6,950.07,1247.17,931.5200000000001,1247.17,77.82340800000001,SUNY-Buffalo,3
115,Miami (Ohio),Loss 6-15,-31.7,Counts,0.062400000000000004,2023-03-06,Huckin in the Hills,0,6,15,-600,-9,1092.5,1000.32,492.5,1032.02,492.5,30.732000000000003,SUNY-Buffalo,4
336,Slippery Rock,Win 15-2,0,Ignored,0,2023-03-06,Huckin in the Hills,1,15,2,600,13,117.58,968.61,717.58,968.61,0,0,SUNY-Buffalo,5
170,Ohio,Win 13-4,34,Counts,0.062400000000000004,2023-03-06,Huckin in the Hills,1,13,4,600,9,879.22,934.61,1479.22,900.61,1479.22,92.30332800000001,SUNY-Buffalo,6
96,RIT,Win 10-7,51.07,Counts,0.0788,2023-04-09,Western NY D I College Mens CC 2022,1,10,7,389.67,3,1175.71,917.55,1565.38,866.4799999999999,1565.38,123.351944,SUNY-Buffalo,7
85,Cornell,Loss 6-8,-2.83,Counts,0.07150000000000001,2023-04-09,Western NY D I College Mens CC 2022,0,6,8,-300.49,-2,1232.33,971.45,931.8399999999999,974.2800000000001,931.8399999999999,66.62656,SUNY-Buffalo,8
149,SUNY-Binghamton,Loss 5-8,-34.43,Counts,0.0689,2023-04-09,Western NY D I College Mens CC 2022,0,5,8,-453.6,-3,957.14,1003.04,503.53999999999996,1037.47,503.53999999999996,34.693906,SUNY-Buffalo,9
246,Syracuse,Win 9-5,13.43,Counts,0.07150000000000001,2023-04-09,Western NY D I College Mens CC 2022,1,9,5,529.06,4,613.87,955.18,1142.9299999999998,941.75,1142.9299999999998,81.719495,SUNY-Buffalo,10
96,RIT,Win 11-10,30.19,Counts,0.0833,2023-04-10,Western NY D I College Mens CC 2022,1,11,10,125,1,1175.71,938.42,1300.71,908.2299999999999,1300.71,108.349143,SUNY-Buffalo,11
149,SUNY-Binghamton,Loss 8-9,-11.68,Counts,0.0788,2023-04-10,Western NY D I College Mens CC 2022,0,8,9,-125,-1,957.14,980.29,832.14,991.9699999999999,832.14,65.572632,SUNY-Buffalo,12
94,Princeton,Loss 10-11,10.51,Counts,0.09910000000000001,2023-04-30,Metro East D I College Mens Regionals 2022,0,10,11,-125,-1,1189.13,958.11,1064.13,947.6,1064.13,105.45528300000002,SUNY-Buffalo,13
105,Rutgers,Loss 10-15,-30.81,Counts,0.09910000000000001,2023-04-30,Metro East D I College Mens Regionals 2022,0,10,15,-453.6,-5,1142.11,999.43,688.5099999999999,1030.24,688.5099999999999,68.23134099999999,SUNY-Buffalo,14
119,Connecticut,Loss 8-15,-49.82,Counts,0.09910000000000001,2023-04-30,Metro East D I College Mens Regionals 2022,0,8,15,-564.81,-7,1080.53,1018.43,515.72,1068.25,515.72,51.10785200000001,SUNY-Buffalo,15
