OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
175,SUNY Cortland,Loss 1-13,0,Ignored,0,2023-04-02,Strong Island,0,1,13,-600,-12,849.35,345.92,249.35000000000002,345.92,0,0,SUNY-Fredonia,1
279,Hofstra,Loss 7-12,96.37,Counts,0.2623,2023-04-02,Strong Island,0,7,12,-520.51,-5,445.61,442.3,-74.89999999999998,345.93,-74.89999999999998,-19.646269999999994,SUNY-Fredonia,2
342,SUNY-Stony Brook-B,Loss 5-8,-11.11,Counts,0.217,2023-04-02,Strong Island,0,5,8,-453.6,-3,67.57,334.81,-386.03000000000003,345.92,-386.03000000000003,-83.76851,SUNY-Fredonia,3
209,SUNY-Stony Brook,Loss 0-13,0,Ignored,0,2023-04-02,Strong Island,0,0,13,-600,-13,715.85,345.92,115.85000000000002,345.92,0,0,SUNY-Fredonia,4
174,Rochester,Loss 1-13,0,Ignored,0,2023-04-09,Western NY D III College Mens CC 2022,0,1,13,-600,-12,849.91,345.92,249.90999999999997,345.92,0,0,SUNY-Fredonia,5
175,SUNY Cortland,Loss 0-13,0,Ignored,0,2023-04-09,Western NY D III College Mens CC 2022,0,0,13,-600,-13,849.35,345.92,249.35000000000002,345.92,0,0,SUNY-Fredonia,6
327,Hamilton,Loss 0-10,-24.3,Counts,0.24280000000000002,2023-04-09,Western NY D III College Mens CC 2022,0,0,10,-600,-10,178.29,321.62,-421.71000000000004,345.92,-421.71000000000004,-102.39118800000001,SUNY-Fredonia,7
217,SUNY-Geneseo,Loss 2-15,0,Ignored,0,2023-04-09,Western NY D III College Mens CC 2022,0,2,15,-600,-13,699.49,345.92,99.49000000000001,345.92,0,0,SUNY-Fredonia,8
298,Colgate,Loss 0-15,0,Ignored,0,2023-04-10,Western NY D III College Mens CC 2022,0,0,15,-600,-15,347.3,345.92,-252.7,345.92,0,-0,SUNY-Fredonia,9
338,SUNY-Oneonta,Loss 2-15,-60.92,Counts,0.2779,2023-04-10,Western NY D III College Mens CC 2022,0,2,15,-600,-13,95.79,285,-504.21,345.92,-504.21,-140.119959,SUNY-Fredonia,10
