OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
119,Connecticut,Loss 7-9,3.97,Counts,0.044500000000000005,2023-03-05,No Sleep Till Brooklyn 2022,0,7,9,-279.34,-2,1080.53,711.87,801.19,707.9,801.19,35.652955000000006,SUNY-Stony Brook,1
154,NYU,Loss 8-13,-13.32,Counts,0.048499999999999995,2023-03-05,No Sleep Till Brooklyn 2022,0,8,13,-496.16,-5,950.57,729.17,454.41,742.49,454.41,22.038884999999997,SUNY-Stony Brook,2
309,SUNY-Binghamton-B,Win 10-7,-2.14,Counts,0.045899999999999996,2023-03-05,No Sleep Till Brooklyn 2022,1,10,7,389.67,3,281.65,717.99,671.3199999999999,720.13,671.3199999999999,30.813587999999996,SUNY-Stony Brook,3
123,Williams,Loss 8-11,-0.38,Counts,0.048499999999999995,2023-03-05,No Sleep Till Brooklyn 2022,0,8,11,-365.61,-3,1073.97,716.23,708.36,716.61,708.36,34.355459999999994,SUNY-Stony Brook,4
267,Colby,Win 12-10,1.34,Counts,0.048499999999999995,2023-03-06,No Sleep Till Brooklyn 2022,1,12,10,238.12,2,503.92,714.51,742.04,713.17,742.04,35.98893999999999,SUNY-Stony Brook,5
165,MIT,Loss 9-10,2.92,Counts,0.048499999999999995,2023-03-06,No Sleep Till Brooklyn 2022,0,9,10,-125,-1,898.08,712.93,773.08,710.01,773.08,37.49438,SUNY-Stony Brook,6
175,SUNY Cortland,Loss 7-9,-8.66,Counts,0.056100000000000004,2023-04-02,Strong Island,0,7,9,-279.34,-2,849.35,724.51,570.01,733.17,570.01,31.977561,SUNY-Stony Brook,7
279,Hofstra,Win 13-3,21.46,Counts,0.0611,2023-04-02,Strong Island,1,13,3,600,10,445.61,694.39,1045.6100000000001,672.93,1045.6100000000001,63.88677100000001,SUNY-Stony Brook,8
367,SUNY-Fredonia,Win 13-0,0,Ignored,0,2023-04-02,Strong Island,1,13,0,600,13,345.92,715.85,945.9200000000001,715.85,0,0,SUNY-Stony Brook,9
342,SUNY-Stony Brook-B,Win 13-1,0,Ignored,0,2023-04-02,Strong Island,1,13,1,600,12,67.57,715.85,667.5699999999999,715.85,0,0,SUNY-Stony Brook,10
175,SUNY Cortland,Loss 6-13,-30.35,Counts,0.0611,2023-04-03,Strong Island,0,6,13,-600,-7,849.35,746.2,249.35000000000002,776.5500000000001,249.35000000000002,15.235285000000001,SUNY-Stony Brook,11
279,Hofstra,Win 15-6,21.46,Counts,0.0611,2023-04-03,Strong Island,1,15,6,600,9,445.61,694.39,1045.6100000000001,672.93,1045.6100000000001,63.88677100000001,SUNY-Stony Brook,12
192,Rowan,Win 11-8,32.23,Counts,0.06860000000000001,2023-04-16,Metro NY D I College Mens CC 2022,1,11,8,365.61,3,788.03,683.62,1153.6399999999999,651.39,1153.6399999999999,79.139704,SUNY-Stony Brook,13
105,Rutgers,Loss 7-13,-9.66,Counts,0.06860000000000001,2023-04-16,Metro NY D I College Mens CC 2022,0,7,13,-557.53,-6,1142.11,725.51,584.5799999999999,735.17,584.5799999999999,40.102188,SUNY-Stony Brook,14
76,Columbia,Loss 5-13,-3.8,Counts,0.06860000000000001,2023-04-16,Metro NY D I College Mens CC 2022,0,5,13,-600,-8,1264.23,719.65,664.23,723.4499999999999,664.23,45.56617800000001,SUNY-Stony Brook,15
119,Connecticut,Loss 7-13,-14.2,Counts,0.06860000000000001,2023-04-16,Metro NY D I College Mens CC 2022,0,7,13,-557.53,-6,1080.53,730.05,523,744.25,523,35.87780000000001,SUNY-Stony Brook,16
94,Princeton,Loss 6-11,-5.09,Counts,0.0649,2023-04-17,Metro NY D I College Mens CC 2022,0,6,11,-546.69,-5,1189.13,720.94,642.44,726.0300000000001,642.44,41.694356000000006,SUNY-Stony Brook,17
105,Rutgers,Loss 8-12,-1.1,Counts,0.06860000000000001,2023-04-17,Metro NY D I College Mens CC 2022,0,8,12,-441.15,-4,1142.11,716.94,700.9599999999999,718.0400000000001,700.9599999999999,48.085856,SUNY-Stony Brook,18
279,Hofstra,Win 12-9,5.53,Counts,0.06860000000000001,2023-04-17,Metro NY D I College Mens CC 2022,1,12,9,345.37,3,445.61,710.32,790.98,704.7900000000001,790.98,54.26122800000001,SUNY-Stony Brook,19
