OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
142,Nebraska,Win 9-8,6.26,Counts,0.095,2023-03-26,Old Capital Open 2022,1,9,8,125,1,979.53,1038.59,1104.53,1032.33,1104.53,104.93035,Saint Louis,1
194,Western Michigan,Win 10-9,-15.87,Counts,0.10039999999999999,2023-03-26,Old Capital Open 2022,1,10,9,125,1,777.6,1060.72,902.6,1076.59,902.6,90.62104,Saint Louis,2
84,Iowa,Loss 8-9,7.23,Counts,0.095,2023-03-26,Old Capital Open 2022,0,8,9,-125,-1,1238.75,1037.62,1113.75,1030.3899999999999,1113.75,105.80625,Saint Louis,3
259,Minnesota-Duluth,Win 11-6,4.24,Counts,0.095,2023-03-27,Old Capital Open 2022,1,11,6,546.69,5,538.52,1040.62,1085.21,1036.3799999999999,1085.21,103.09495000000001,Saint Louis,4
147,Grace,Win 8-6,20.48,Counts,0.0862,2023-03-27,Old Capital Open 2022,1,8,6,300.49,2,961.54,1024.37,1262.03,1003.8899999999999,1262.03,108.786986,Saint Louis,5
84,Iowa,Loss 8-9,7.23,Counts,0.095,2023-03-27,Old Capital Open 2022,0,8,9,-125,-1,1238.75,1037.62,1113.75,1030.3899999999999,1113.75,105.80625,Saint Louis,6
312,Washington University-B,Win 15-6,0,Ignored,0,2023-04-10,Ozarks D I College Mens CC 2022,1,15,6,600,9,265.15,1044.85,865.15,1044.85,0,0,Saint Louis,7
232,Oklahoma,Win 10-6,12.89,Counts,0.10339999999999999,2023-04-10,Ozarks D I College Mens CC 2022,1,10,6,496.16,4,660.44,1031.96,1156.6000000000001,1019.07,1156.6000000000001,119.59244000000001,Saint Louis,8
78,Missouri,Loss 3-11,-48.21,Counts,0.1096,2023-04-16,Ozarks D I College Mens CC 2022,0,3,11,-600,-8,1253.01,1093.06,653.01,1141.27,653.01,71.569896,Saint Louis,9
77,Arkansas,Loss 6-9,-24.4,Counts,0.1061,2023-04-16,Ozarks D I College Mens CC 2022,0,6,9,-418.57,-3,1257.75,1069.26,839.1800000000001,1093.66,839.1800000000001,89.03699800000001,Saint Louis,10
NA,Wichita State University,Win 12-5,29.55,Counts,0.11460000000000001,2023-04-16,Ozarks D I College Mens CC 2022,1,12,5,600,7,673.25,1015.3,1273.25,985.75,1273.25,145.91445000000002,Saint Louis,11
