OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
162,Massachusetts-Lowell,Loss 4-13,-4.79,Counts,0.0554,2023-02-26,Bring The Huckus 12,0,4,13,-600,-9,901.86,388.33,301.86,393.12,301.86,16.723044,Salisbury,1
175,SUNY Cortland,Loss 4-13,-7.87,Counts,0.0554,2023-02-26,Bring The Huckus 12,0,4,13,-600,-9,849.35,391.41,249.35000000000002,399.28000000000003,249.35000000000002,13.81399,Salisbury,2
247,SUNY-Albany,Loss 5-11,-19.86,Counts,0.0509,2023-02-26,Bring The Huckus 12,0,5,11,-600,-6,612.9,403.4,12.899999999999977,423.26,12.899999999999977,0.6566099999999988,Salisbury,3
295,Haverford,Loss 5-7,-15.87,Counts,0.044000000000000004,2023-02-26,Bring The Huckus 12,0,5,7,-328.14,-2,367.14,399.41,39,415.28000000000003,39,1.7160000000000002,Salisbury,4
283,Stevens Tech,Win 7-6,7.24,Counts,0.0458,2023-02-27,Bring The Huckus 12,1,7,6,125,1,409.26,376.3,534.26,369.06,534.26,24.469108,Salisbury,5
290,Stockton University -Upper,Win 7-6,5.76,Counts,0.0458,2023-02-27,Bring The Huckus 12,1,7,6,125,1,378.52,377.78,503.52,372.02,503.52,23.061215999999998,Salisbury,6
183,Wesleyan,Loss 5-13,-9.84,Counts,0.0554,2023-02-27,Bring The Huckus 12,0,5,13,-600,-8,815.88,393.38,215.88,403.21999999999997,215.88,11.959752,Salisbury,7
192,Rowan,Loss 5-13,-14.68,Counts,0.0698,2023-03-26,Garden State 2022,0,5,13,-600,-8,788.03,398.22,188.02999999999997,412.90000000000003,188.02999999999997,13.124493999999999,Salisbury,8
247,SUNY-Albany,Loss 6-9,-12.51,Counts,0.062,2023-03-26,Garden State 2022,0,6,9,-418.57,-3,612.9,396.05,194.32999999999998,408.56,194.32999999999998,12.048459999999999,Salisbury,9
275,College of New Jersey,Win 9-8,14.2,Counts,0.066,2023-03-26,Garden State 2022,1,9,8,125,1,459.33,369.34,584.3299999999999,355.14,584.3299999999999,38.56578,Salisbury,10
229,West Chester,Loss 5-8,-10.13,Counts,0.057800000000000004,2023-03-26,Garden State 2022,0,5,8,-453.6,-3,671.94,393.67,218.34000000000003,403.8,218.34000000000003,12.620052000000003,Salisbury,11
192,Rowan,Loss 8-12,-2.75,Counts,0.0698,2023-03-27,Garden State 2022,0,8,12,-441.15,-4,788.03,386.29,346.88,389.04,346.88,24.212224,Salisbury,12
275,College of New Jersey,Win 9-4,41.42,Counts,0.057800000000000004,2023-03-27,Garden State 2022,1,9,4,600,5,459.33,342.12,1059.33,300.7,1059.33,61.229274,Salisbury,13
287,Maryland-Baltimore County,Win 13-6,58.53,Counts,0.08800000000000001,2023-04-23,Colonial D I College Mens CC 2022,1,13,6,600,7,390.29,325.01,990.29,266.48,990.29,87.14552,Salisbury,14
59,Georgetown,Loss 1-13,0,Ignored,0,2023-04-23,Colonial D I College Mens CC 2022,0,1,13,-600,-12,1403.18,383.54,803.1800000000001,383.54,0,0,Salisbury,15
73,Delaware,Loss 1-13,0,Ignored,0,2023-04-23,Colonial D I College Mens CC 2022,0,1,13,-600,-12,1283.29,383.54,683.29,383.54,0,0,Salisbury,16
153,Johns Hopkins,Loss 10-13,23.31,Counts,0.08800000000000001,2023-04-23,Colonial D I College Mens CC 2022,0,10,13,-328.14,-3,953.29,360.23,625.15,336.92,625.15,55.013200000000005,Salisbury,17
287,Maryland-Baltimore County,Loss 8-14,-51.05,Counts,0.08800000000000001,2023-04-24,Colonial D I College Mens CC 2022,0,8,14,-536.03,-6,390.29,434.59,-145.73999999999995,485.64,-145.73999999999995,-12.825119999999997,Salisbury,18
136,American,Loss 2-15,0,Ignored,0,2023-04-24,Colonial D I College Mens CC 2022,0,2,15,-600,-13,1012.78,383.54,412.78,383.54,0,0,Salisbury,19
