OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
70,Chicago,Loss 9-11,-4.79,Counts,0.0281,2023-01-29,Santa Barbara Invite 2022,0,9,11,-249.21,-2,1327.52,1248.74,1078.31,1253.53,1078.31,30.300511,Santa Clara,1
4,Brigham Young,Loss 2-15,0,Ignored,0,2023-01-29,Santa Barbara Invite 2022,0,2,15,-600,-13,2039.12,1243.95,1439.12,1243.95,0,0,Santa Clara,2
29,UCLA,Loss 5-15,-7.13,Counts,0.0281,2023-01-29,Santa Barbara Invite 2022,0,5,15,-600,-10,1597.35,1251.08,997.3499999999999,1258.21,997.3499999999999,28.025534999999998,Santa Clara,3
40,Colorado State,Loss 8-11,-2.89,Counts,0.0281,2023-01-30,Santa Barbara Invite 2022,0,8,11,-365.61,-3,1509.55,1246.84,1143.94,1249.73,1143.94,32.144714,Santa Clara,4
169,Kansas,Loss 10-11,-13.85,Counts,0.0281,2023-01-30,Santa Barbara Invite 2022,0,10,11,-125,-1,889.88,1257.79,764.88,1271.6399999999999,764.88,21.493128,Santa Clara,5
321,San Jose State,Win 13-2,0,Ignored,0,2023-02-05,Stanford Open 2022,1,13,2,600,11,215.04,1243.95,815.04,1243.95,0,0,Santa Clara,6
241,Cal Poly-SLO-B,Win 13-3,0,Ignored,0,2023-02-05,Stanford Open 2022,1,13,3,600,10,632.84,1243.95,1232.8400000000001,1243.95,0,0,Santa Clara,7
208,Nevada-Reno,Win 13-6,2.41,Counts,0.0298,2023-02-05,Stanford Open 2022,1,13,6,600,7,722.46,1241.54,1322.46,1239.1299999999999,1322.46,39.409308,Santa Clara,8
167,Loyola Marymount,Win 11-10,-6.82,Counts,0.0298,2023-02-06,Stanford Open 2022,1,11,10,125,1,896.64,1250.77,1021.64,1257.59,1021.64,30.444872,Santa Clara,9
36,California-Santa Cruz,Loss 4-9,-8.07,Counts,0.0246,2023-02-06,Stanford Open 2022,0,4,9,-600,-5,1524.13,1252.02,924.1300000000001,1260.09,924.1300000000001,22.733598000000004,Santa Clara,10
39,Western Washington,Loss 5-8,-5.99,Counts,0.031,2023-03-05,Stanford Invite 2022,0,5,8,-453.6,-3,1510.39,1249.94,1056.79,1255.93,1056.79,32.76049,Santa Clara,11
53,Tulane,Win 10-9,12.51,Counts,0.0375,2023-03-05,Stanford Invite 2022,1,10,9,125,1,1440.12,1231.44,1565.12,1218.93,1565.12,58.69199999999999,Santa Clara,12
10,California,Loss 3-13,0,Ignored,0,2023-03-05,Stanford Invite 2022,0,3,13,-600,-10,1849.7,1243.95,1249.7,1243.95,0,0,Santa Clara,13
66,Texas-Dallas,Win 9-8,8.29,Counts,0.0355,2023-03-05,Stanford Invite 2022,1,9,8,125,1,1344.32,1235.66,1469.32,1227.3700000000001,1469.32,52.16085999999999,Santa Clara,14
71,Southern California,Win 12-10,11.13,Counts,0.0375,2023-03-06,Stanford Invite 2022,1,12,10,238.12,2,1291.65,1232.81,1529.77,1221.6799999999998,1529.77,57.366375,Santa Clara,15
58,Stanford,Loss 9-12,-6.9,Counts,0.0375,2023-03-06,Stanford Invite 2022,0,9,12,-345.37,-3,1412.07,1250.85,1066.6999999999998,1257.75,1066.6999999999998,40.00124999999999,Santa Clara,16
63,California-Santa Barbara,Loss 9-10,0.27,Counts,0.0375,2023-03-06,Stanford Invite 2022,0,9,10,-125,-1,1375.9,1243.68,1250.9,1243.41,1250.9,46.908750000000005,Santa Clara,17
36,California-Santa Cruz,Loss 5-13,-17.91,Counts,0.053,2023-04-16,NorCal D I College Mens CC 2022,0,5,13,-600,-8,1524.13,1261.86,924.1300000000001,1279.77,924.1300000000001,48.97889000000001,Santa Clara,18
176,"California State University, Chico",Win 13-1,11.25,Counts,0.053,2023-04-16,NorCal D I College Mens CC 2022,1,13,1,600,12,844.82,1232.7,1444.8200000000002,1221.45,1444.8200000000002,76.57546,Santa Clara,19
113,California-Davis,Loss 9-10,-14.71,Counts,0.053,2023-04-16,NorCal D I College Mens CC 2022,0,9,10,-125,-1,1106.24,1258.66,981.24,1273.3700000000001,981.24,52.00572,Santa Clara,20
265,Cal Poly Humboldt,Win 13-2,0,Ignored,0,2023-04-16,NorCal D I College Mens CC 2022,1,13,2,600,11,508.74,1243.95,1108.74,1243.95,0,0,Santa Clara,21
265,Cal Poly Humboldt,Win 13-1,0,Ignored,0,2023-04-17,NorCal D I College Mens CC 2022,1,13,1,600,12,508.74,1243.95,1108.74,1243.95,0,0,Santa Clara,22
176,"California State University, Chico",Win 13-3,11.25,Counts,0.053,2023-04-17,NorCal D I College Mens CC 2022,1,13,3,600,10,844.82,1232.7,1444.8200000000002,1221.45,1444.8200000000002,76.57546,Santa Clara,23
61,California-San Diego,Win 12-11,18.69,Counts,0.06309999999999999,2023-05-07,Southwest D I College Mens Regionals 2022,1,12,11,125,1,1396.69,1225.26,1521.69,1206.57,1521.69,96.018639,Santa Clara,24
29,UCLA,Loss 7-13,-13.74,Counts,0.06309999999999999,2023-05-07,Southwest D I College Mens Regionals 2022,0,7,13,-557.53,-6,1597.35,1257.69,1039.82,1271.43,1039.82,65.61264199999998,Santa Clara,25
88,Arizona,Win 13-9,26.1,Counts,0.06309999999999999,2023-05-07,Southwest D I College Mens Regionals 2022,1,13,9,418.57,4,1213.12,1217.85,1631.6899999999998,1191.75,1631.6899999999998,102.95963899999997,Santa Clara,26
55,Grand Canyon,Win 9-8,19.2,Counts,0.0596,2023-05-07,Southwest D I College Mens Regionals 2022,1,9,8,125,1,1421.57,1224.75,1546.57,1205.55,1546.57,92.175572,Santa Clara,27
36,California-Santa Cruz,Loss 9-13,-9.31,Counts,0.06309999999999999,2023-05-08,Southwest D I College Mens Regionals 2022,0,9,13,-418.57,-4,1524.13,1253.26,1105.5600000000002,1262.57,1105.5600000000002,69.760836,Santa Clara,28
63,California-Santa Barbara,Loss 9-11,-7.89,Counts,0.06309999999999999,2023-05-08,Southwest D I College Mens Regionals 2022,0,9,11,-249.21,-2,1375.9,1251.84,1126.69,1259.73,1126.69,71.094139,Santa Clara,29
