OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
309,SUNY-Binghamton-B,Loss 8-10,-6.98,Counts,0.0695,2023-03-26,New York Invite,0,8,10,-262.67,-2,281.65,119.48,18.97999999999996,126.46000000000001,18.97999999999996,1.3191099999999973,Siena,1
248,Worcester Polytechnic Institute,Loss 6-10,0.17,Counts,0.0655,2023-03-26,New York Invite,0,6,10,-496.16,-4,611.08,112.32,114.92000000000002,112.14999999999999,114.92000000000002,7.527260000000001,Siena,2
303,Skidmore College,Win 8-5,40.11,Counts,0.059000000000000004,2023-03-26,New York Invite,1,8,5,453.6,3,298.24,72.38,751.84,32.269999999999996,751.84,44.358560000000004,Siena,3
132,Ithaca,Loss 2-13,0,Ignored,0,2023-03-26,New York Invite,0,2,13,-600,-11,1023.44,112.49,423.44000000000005,112.49,0,0,Siena,4
256,Penn State-B,Loss 8-13,-2.02,Counts,0.0756,2023-04-02,Northeast Classic,0,8,13,-496.16,-5,583.9,114.52,87.73999999999995,116.53999999999999,87.73999999999995,6.633143999999996,Siena,5
314,Edinboro,Loss 6-10,-26.13,Counts,0.0694,2023-04-02,Northeast Classic,0,6,10,-496.16,-4,258.18,138.63,-237.98000000000002,164.76,-237.98000000000002,-16.515812,Siena,6
246,Syracuse,Loss 2-13,-8.07,Counts,0.0756,2023-04-02,Northeast Classic,0,2,13,-600,-11,613.87,120.56,13.870000000000005,128.63,13.870000000000005,1.0485720000000003,Siena,7
162,Massachusetts-Lowell,Loss 6-13,15.49,Counts,0.0756,2023-04-03,Northeast Classic,0,6,13,-600,-7,901.86,97,301.86,81.51,301.86,22.820616,Siena,8
314,Edinboro,Win 9-4,49.75,Counts,0.0625,2023-04-03,Northeast Classic,1,9,4,600,5,258.18,62.74,858.1800000000001,12.990000000000002,858.1800000000001,53.636250000000004,Siena,9
320,Rensselaer Polytechnic Institute,Loss 8-10,-14.05,Counts,0.0875,2023-04-23,Hudson Valley D III College Mens CC 2022,0,8,10,-262.67,-2,228.64,126.55,-34.03000000000003,140.6,-34.03000000000003,-2.9776250000000024,Siena,10
364,New Haven,Win 13-1,17.19,Counts,0.08990000000000001,2023-04-23,Hudson Valley D III College Mens CC 2022,1,13,1,600,12,313.53,95.3,913.53,78.11,913.53,82.12634700000001,Siena,11
183,Wesleyan,Loss 3-13,0,Ignored,0,2023-04-23,Hudson Valley D III College Mens CC 2022,0,3,13,-600,-10,815.88,112.49,215.88,112.49,0,0,Siena,12
300,Union,Loss 7-13,-34.27,Counts,0.08990000000000001,2023-04-23,Hudson Valley D III College Mens CC 2022,0,7,13,-557.53,-6,323.19,146.76,-234.33999999999997,181.03,-234.33999999999997,-21.067166,Siena,13
344,Hartford,Win 12-11,5.89,Counts,0.08990000000000001,2023-04-24,Hudson Valley D III College Mens CC 2022,1,12,11,125,1,47.12,106.6,172.12,100.71,172.12,15.473588000000001,Siena,14
303,Skidmore College,Loss 7-14,-39.24,Counts,0.08990000000000001,2023-04-24,Hudson Valley D III College Mens CC 2022,0,7,14,-582.89,-7,298.24,151.73,-284.65,190.97,-284.65,-25.590035,Siena,15
