OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
337,Siena,Loss 5-8,-26.55,Counts,0.039900000000000005,2023-03-26,New York Invite,0,5,8,-453.6,-3,112.49,324.8,-341.11,351.35,-341.11,-13.610289000000002,Skidmore College,1
132,Ithaca,Loss 9-13,15.53,Counts,0.0482,2023-03-26,New York Invite,0,9,13,-418.57,-4,1023.44,282.71,604.8700000000001,267.18,604.8700000000001,29.154734000000005,Skidmore College,2
248,Worcester Polytechnic Institute,Loss 4-12,-13.93,Counts,0.0463,2023-03-26,New York Invite,0,4,12,-600,-8,611.08,312.17,11.080000000000041,326.1,11.080000000000041,0.5130040000000019,Skidmore College,3
132,Ithaca,Loss 4-13,0,Ignored,0,2023-03-27,New York Invite,0,4,13,-600,-9,1023.44,298.24,423.44000000000005,298.24,0,0,Skidmore College,4
234,Amherst,Loss 5-13,-12.28,Counts,0.0482,2023-03-27,New York Invite,0,5,13,-600,-8,655.72,310.53,55.72000000000003,322.80999999999995,55.72000000000003,2.685704000000001,Skidmore College,5
162,Massachusetts-Lowell,Loss 4-13,0,Ignored,0,2023-04-02,Northeast Classic,0,4,13,-600,-9,901.86,298.24,301.86,298.24,0,0,Skidmore College,6
247,SUNY-Albany,Loss 6-8,0.65,Counts,0.0438,2023-04-02,Northeast Classic,0,6,8,-300.49,-2,612.9,297.59,312.40999999999997,296.94,312.40999999999997,13.683557999999998,Skidmore College,7
235,Vermont-B,Loss 3-13,-13.16,Counts,0.051100000000000007,2023-04-02,Northeast Classic,0,3,13,-600,-10,653.78,311.4,53.77999999999997,324.56,53.77999999999997,2.7481579999999988,Skidmore College,8
217,SUNY-Geneseo,Loss 6-11,-7.38,Counts,0.0483,2023-04-03,Northeast Classic,0,6,11,-546.69,-5,699.49,305.63,152.79999999999995,313.01,152.79999999999995,7.380239999999998,Skidmore College,9
344,Hartford,Win 12-8,12.29,Counts,0.060700000000000004,2023-04-23,Hudson Valley D III College Mens CC 2022,1,12,8,441.15,4,47.12,285.96,488.27,273.66999999999996,488.27,29.637989,Skidmore College,10
180,Connecticut College,Loss 6-10,2,Counts,0.0557,2023-04-23,Hudson Valley D III College Mens CC 2022,0,6,10,-496.16,-4,828.33,296.24,332.17,294.24,332.17,18.501869,Skidmore College,11
224,Army,Loss 8-11,1.41,Counts,0.060700000000000004,2023-04-23,Hudson Valley D III College Mens CC 2022,0,8,11,-365.61,-3,685.65,296.83,320.03999999999996,295.41999999999996,320.03999999999996,19.426427999999998,Skidmore College,12
210,Vassar,Loss 6-12,-10.18,Counts,0.0591,2023-04-23,Hudson Valley D III College Mens CC 2022,0,6,12,-579.31,-6,715.56,308.42,136.25,318.6,136.25,8.052375,Skidmore College,13
320,Rensselaer Polytechnic Institute,Win 11-10,3.58,Counts,0.060700000000000004,2023-04-24,Hudson Valley D III College Mens CC 2022,1,11,10,125,1,228.64,294.66,353.64,291.08000000000004,353.64,21.465948,Skidmore College,14
337,Siena,Win 14-7,25.68,Counts,0.060700000000000004,2023-04-24,Hudson Valley D III College Mens CC 2022,1,14,7,582.89,7,112.49,272.56,695.38,246.88,695.38,42.209566,Skidmore College,15
364,New Haven,Win 13-8,-7.48,Counts,0.060700000000000004,2023-04-24,Hudson Valley D III College Mens CC 2022,1,13,8,496.16,5,313.53,305.72,809.69,313.20000000000005,809.69,49.148183,Skidmore College,16
320,Rensselaer Polytechnic Institute,Win 12-10,11.59,Counts,0.0643,2023-04-30,Metro East D III College Mens Regionals 2022,1,12,10,238.12,2,228.64,286.65,466.76,275.06,466.76,30.012667999999998,Skidmore College,17
175,SUNY Cortland,Loss 3-13,-3.36,Counts,0.0643,2023-04-30,Metro East D III College Mens Regionals 2022,0,3,13,-600,-10,849.35,301.61,249.35000000000002,304.97,249.35000000000002,16.033205,Skidmore College,18
275,College of New Jersey,Win 10-8,28.31,Counts,0.0626,2023-05-01,Metro East D III College Mens Regionals 2022,1,10,8,262.67,2,459.33,269.93,722,241.62,722,45.1972,Skidmore College,19
183,Wesleyan,Loss 2-15,-5.66,Counts,0.0643,2023-05-01,Metro East D III College Mens Regionals 2022,0,2,15,-600,-13,815.88,303.91,215.88,309.57000000000005,215.88,13.881084,Skidmore College,20
