OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
4,Brigham Young,Loss 6-13,19.7,Counts,0.0364,2023-02-05,Warm Up 2022,0,6,13,-600,-7,2039.12,897.62,1439.12,877.92,1439.12,52.383967999999996,South Florida,1
7,Massachusetts,Loss 6-13,15.81,Counts,0.0364,2023-02-05,Warm Up 2022,0,6,13,-600,-7,1936.21,901.51,1336.21,885.7,1336.21,48.638044,South Florida,2
26,Auburn,Loss 6-13,3.79,Counts,0.0364,2023-02-05,Warm Up 2022,0,6,13,-600,-7,1617.76,913.53,1017.76,909.74,1017.76,37.046464,South Florida,3
5,Pittsburgh,Loss 5-13,0,Ignored,0,2023-02-05,Warm Up 2022,0,5,13,-600,-8,1999.22,917.32,1399.22,917.32,0,0,South Florida,4
111,Georgia State,Loss 10-12,-1.69,Counts,0.0364,2023-02-05,Warm Up 2022,0,10,12,-238.12,-2,1110.77,919.01,872.65,920.7,872.65,31.76446,South Florida,5
65,Temple,Win 10-8,25.88,Counts,0.0354,2023-02-05,Warm Up 2022,1,10,8,262.67,2,1359.72,891.44,1622.39,865.5600000000001,1622.39,57.43260600000001,South Florida,6
69,Virginia Tech,Loss 8-13,-3.15,Counts,0.0364,2023-02-05,Warm Up 2022,0,8,13,-496.16,-5,1329.97,920.47,833.81,923.62,833.81,30.350684,South Florida,7
72,Texas A&M,Loss 7-13,-7.01,Counts,0.0364,2023-02-05,Warm Up 2022,0,7,13,-557.53,-6,1289.26,924.33,731.73,931.34,731.73,26.634972,South Florida,8
60,Notre Dame,Loss 4-13,-6.08,Counts,0.048600000000000004,2023-03-12,Tally Classic XVI,0,4,13,-600,-9,1398.11,923.4,798.1099999999999,929.48,798.1099999999999,38.788146,South Florida,9
93,Harvard,Loss 3-11,-15.18,Counts,0.0446,2023-03-12,Tally Classic XVI,0,3,11,-600,-8,1191.89,932.5,591.8900000000001,947.68,591.8900000000001,26.398294000000003,South Florida,10
114,Florida State,Loss 8-12,-13.32,Counts,0.048600000000000004,2023-03-12,Tally Classic XVI,0,8,12,-441.15,-4,1097.48,930.64,656.33,943.96,656.33,31.897638000000004,South Florida,11
111,Georgia State,Loss 7-15,-20.75,Counts,0.048600000000000004,2023-03-13,Tally Classic XVI,0,7,15,-600,-8,1110.77,938.07,510.77,958.82,510.77,24.823422,South Florida,12
274,Georgia Southern,Win 15-8,6.49,Counts,0.048600000000000004,2023-03-13,Tally Classic XVI,1,15,8,564.81,7,479.62,910.83,1044.4299999999998,904.34,1044.4299999999998,50.759297999999994,South Florida,13
297,Miami,Win 12-6,1.05,Counts,0.059500000000000004,2023-04-09,Florida D I College Mens CC 2022,1,12,6,579.31,6,354.54,916.27,933.8499999999999,915.22,933.8499999999999,55.564074999999995,South Florida,14
47,Florida,Loss 4-13,-2.63,Counts,0.061200000000000004,2023-04-09,Florida D I College Mens CC 2022,0,4,13,-600,-9,1476.89,919.95,876.8900000000001,922.58,876.8900000000001,53.66566800000001,South Florida,15
222,Florida Gulf Coast,Loss 4-8,-40.47,Counts,0.048600000000000004,2023-04-09,Florida D I College Mens CC 2022,0,4,8,-564.81,-4,690.23,957.79,125.42000000000007,998.26,125.42000000000007,6.095412000000004,South Florida,16
89,Central Florida,Loss 5-13,-20.17,Counts,0.061200000000000004,2023-04-10,Florida D I College Mens CC 2022,0,5,13,-600,-8,1207.83,937.49,607.8299999999999,957.66,607.8299999999999,37.199196,South Florida,17
299,North Florida,Win 12-2,0.71,Counts,0.0587,2023-04-10,Florida D I College Mens CC 2022,1,12,2,600,10,328.78,916.6,928.78,915.89,928.78,54.519386,South Florida,18
106,LSU,Win 13-4,64.69,Counts,0.0728,2023-04-30,Southeast D I College Mens Regionals 2022,1,13,4,600,9,1141.7,852.63,1741.7,787.94,1741.7,126.79576000000002,South Florida,19
8,Georgia,Loss 5-13,0,Ignored,0,2023-04-30,Southeast D I College Mens Regionals 2022,0,5,13,-600,-8,1930.07,917.32,1330.07,917.32,0,0,South Florida,20
109,Vanderbilt,Loss 11-13,-1.96,Counts,0.0728,2023-04-30,Southeast D I College Mens Regionals 2022,0,11,13,-228.84,-2,1121.15,919.28,892.3100000000001,921.24,892.3100000000001,64.96016800000001,South Florida,21
121,Tennessee-Chattanooga,Loss 11-13,-5.17,Counts,0.0728,2023-04-30,Southeast D I College Mens Regionals 2022,0,11,13,-228.84,-2,1080.21,922.49,851.37,927.66,851.37,61.979736,South Florida,22
