OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
167,Loyola Marymount,Loss 7-10,3.03,Counts,0.047,2023-02-05,Stanford Open 2022,0,7,10,-389.67,-3,896.64,442.38,506.96999999999997,439.35,506.96999999999997,23.827589999999997,Southern California-B,1
176,"California State University, Chico",Loss 5-9,-5.77,Counts,0.0426,2023-02-05,Stanford Open 2022,0,5,9,-529.06,-4,844.82,451.19,315.7600000000001,456.96,315.7600000000001,13.451376000000003,Southern California-B,2
39,Western Washington,Loss 2-13,0,Ignored,0,2023-02-05,Stanford Open 2022,0,2,13,-600,-11,1510.39,445.42,910.3900000000001,445.42,0,0,Southern California-B,3
321,San Jose State,Win 11-5,17.65,Counts,0.045599999999999995,2023-02-06,Stanford Open 2022,1,11,5,600,6,215.04,427.77,815.04,410.12,815.04,37.16582399999999,Southern California-B,4
186,Occidental,Loss 6-11,-8.99,Counts,0.047,2023-02-06,Stanford Open 2022,0,6,11,-546.69,-5,809.64,454.41,262.94999999999993,463.40000000000003,262.94999999999993,12.358649999999997,Southern California-B,5
113,California-Davis,Loss 2-13,0,Ignored,0,2023-02-06,Stanford Open 2022,0,2,13,-600,-11,1106.24,445.42,506.24,445.42,0,0,Southern California-B,6
288,California-San Diego-B,Win 9-7,12.79,Counts,0.0542,2023-02-26,Magic Mountain Melee,1,9,7,279.34,2,389.37,432.63,668.71,419.84,668.71,36.244082,Southern California-B,7
347,California-Santa Barbara-B,Win 13-4,11.9,Counts,0.059000000000000004,2023-02-26,Magic Mountain Melee,1,13,4,600,9,35.04,433.52,635.04,421.62,635.04,37.46736,Southern California-B,8
377,California-San Diego-C,Win 13-3,0,Ignored,0,2023-02-26,Magic Mountain Melee,1,13,3,600,10,1014.95,445.42,1614.95,445.42,0,0,Southern California-B,9
371,Arizona State-B,Win 13-1,0,Ignored,0,2023-02-26,Magic Mountain Melee,1,13,1,600,12,414.95,445.42,1014.95,445.42,0,0,Southern California-B,10
333,UCLA-B,Win 13-2,17.69,Counts,0.059000000000000004,2023-02-27,Magic Mountain Melee,1,13,2,600,11,127.38,427.72,727.38,410.03000000000003,727.38,42.915420000000005,Southern California-B,11
244,California-Irvine,Loss 10-13,-9.5,Counts,0.059000000000000004,2023-02-27,Magic Mountain Melee,0,10,13,-328.14,-3,622.19,454.92,294.05000000000007,464.42,294.05000000000007,17.348950000000006,Southern California-B,12
288,California-San Diego-B,Win 11-9,18.75,Counts,0.0885,2023-04-16,Southwest Dev College Mens CC 2022,1,11,9,249.21,2,389.37,426.67,638.58,407.92,638.58,56.51433,Southern California-B,13
241,Cal Poly-SLO-B,Loss 9-10,6.06,Counts,0.0885,2023-04-16,Southwest Dev College Mens CC 2022,0,9,10,-125,-1,632.84,439.36,507.84000000000003,433.3,507.84000000000003,44.94384,Southern California-B,14
258,California-B,Loss 5-11,-44.46,Counts,0.0812,2023-04-16,Southwest Dev College Mens CC 2022,0,5,11,-600,-6,542.24,489.88,-57.75999999999999,534.34,-57.75999999999999,-4.690111999999999,Southern California-B,15
347,California-Santa Barbara-B,Win 11-5,16.75,Counts,0.0812,2023-04-16,Southwest Dev College Mens CC 2022,1,11,5,600,6,35.04,428.66,635.04,411.91,635.04,51.565248,Southern California-B,16
333,UCLA-B,Win 13-7,23.24,Counts,0.0885,2023-04-17,Southwest Dev College Mens CC 2022,1,13,7,557.53,6,127.38,422.17,684.91,398.93,684.91,60.614535,Southern California-B,17
333,UCLA-B,Loss 10-12,-53.98,Counts,0.0885,2023-04-17,Southwest Dev College Mens CC 2022,0,10,12,-238.12,-2,127.38,499.4,-110.74000000000001,553.38,-110.74000000000001,-9.80049,Southern California-B,18
347,California-Santa Barbara-B,Win 7-5,-6.22,Counts,0.0703,2023-04-17,Southwest Dev College Mens CC 2022,1,7,5,328.14,2,35.04,451.64,363.18,457.86,363.18,25.531554,Southern California-B,19
