OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
94,Princeton,Win 13-10,-0.9,Counts,0.047400000000000005,2023-03-26,Rodeo,1,13,10,328.14,3,1189.13,1536.17,1517.27,1537.0700000000002,1517.27,71.918598,St. Olaf,1
87,Richmond,Win 9-8,-8.88,Counts,0.044800000000000006,2023-03-26,Rodeo,1,9,8,125,1,1221.1,1544.16,1346.1,1553.0400000000002,1346.1,60.30528,St. Olaf,2
121,Tennessee-Chattanooga,Win 13-8,2.05,Counts,0.047400000000000005,2023-03-26,Rodeo,1,13,8,496.16,5,1080.21,1533.23,1576.3700000000001,1531.18,1576.3700000000001,74.71993800000001,St. Olaf,3
215,North Carolina-B,Win 12-3,0,Ignored,0,2023-03-26,Rodeo,1,12,3,600,9,702.02,1535.28,1302.02,1535.28,0,0,St. Olaf,4
35,Middlebury,Win 13-12,5.98,Counts,0.047400000000000005,2023-03-27,Rodeo,1,13,12,125,1,1530.51,1529.29,1655.51,1523.31,1655.51,78.471174,St. Olaf,5
94,Princeton,Win 12-9,-0.04,Counts,0.047400000000000005,2023-03-27,Rodeo,1,12,9,345.37,3,1189.13,1535.32,1534.5,1535.36,1534.5,72.73530000000001,St. Olaf,6
272,Winona State,Win 13-8,-33.28,Counts,0.0564,2023-04-16,Northwoods D III College Mens CC 2022,1,13,8,496.16,5,482.21,1568.55,978.37,1601.83,978.37,55.180068,St. Olaf,7
253,St. Thomas,Win 13-4,0,Ignored,0,2023-04-16,Northwoods D III College Mens CC 2022,1,13,4,600,9,NA,1535.28,NA,1535.28,0,NA,St. Olaf,8
90,Carleton College-CHOP,Win 13-6,15.83,Counts,0.0564,2023-04-16,Northwoods D III College Mens CC 2022,1,13,6,600,7,1200.18,1519.45,1800.18,1503.6200000000001,1800.18,101.530152,St. Olaf,9
163,Michigan Tech,Win 13-3,0,Ignored,0,2023-05-07,North Central D III College Mens Regionals 2022,1,13,3,600,10,899.82,1535.28,1499.8200000000002,1535.28,0,0,St. Olaf,10
253,St. Thomas,Win 13-3,0,Ignored,0,2023-05-07,North Central D III College Mens Regionals 2022,1,13,3,600,10,NA,1535.28,NA,1535.28,0,NA,St. Olaf,11
155,Grinnell,Win 13-4,1.02,Counts,0.06709999999999999,2023-05-07,North Central D III College Mens Regionals 2022,1,13,4,600,9,949.42,1534.26,1549.42,1533.24,1549.42,103.966082,St. Olaf,12
90,Carleton College-CHOP,Win 13-3,19.04,Counts,0.06709999999999999,2023-05-07,North Central D III College Mens Regionals 2022,1,13,3,600,10,1200.18,1516.24,1800.18,1497.2,1800.18,120.79207799999999,St. Olaf,13
155,Grinnell,Win 15-4,1.02,Counts,0.06709999999999999,2023-05-08,North Central D III College Mens Regionals 2022,1,15,4,600,11,949.42,1534.26,1549.42,1533.24,1549.42,103.966082,St. Olaf,14
146,Brandeis,Win 15-4,2.15,Counts,0.0753,2023-05-21,2022 D III College Championships,1,15,4,600,11,961.68,1533.13,1561.6799999999998,1530.98,1561.6799999999998,117.594504,St. Olaf,15
147,Grace,Win 15-7,2.14,Counts,0.0753,2023-05-21,2022 D III College Championships,1,15,7,600,8,961.54,1533.14,1561.54,1531,1561.54,117.583962,St. Olaf,16
99,Oberlin,Win 15-13,-13.12,Counts,0.0753,2023-05-21,2022 D III College Championships,1,15,13,214.18,2,1159.9,1548.4,1374.0800000000002,1561.52,1374.0800000000002,103.46822400000002,St. Olaf,17
128,Scranton,Win 15-4,9.6,Counts,0.0753,2023-05-22,2022 D III College Championships,1,15,4,600,11,1053.29,1525.67,1653.29,1516.0700000000002,1653.29,124.492737,St. Olaf,18
50,Berry,Win 15-11,24.07,Counts,0.0753,2023-05-22,2022 D III College Championships,1,15,11,381.16,4,1449.81,1511.21,1830.97,1487.14,1830.97,137.87204100000002,St. Olaf,19
31,Oklahoma Christian,Loss 11-15,-26.43,Counts,0.0753,2023-05-23,2022 D III College Championships,0,11,15,-381.16,-4,1591.76,1561.7,1210.6,1588.13,1210.6,91.15818,St. Olaf,20
