OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
71,Southern California,Win 11-8,8.54,Counts,0.0337,2023-02-19,Presidents Day Invite 2022,1,11,8,365.61,3,1291.65,1403.53,1657.2600000000002,1394.99,1657.2600000000002,55.84966200000001,Stanford,1
85,Cornell,Loss 8-10,-14.99,Counts,0.032799999999999996,2023-02-19,Presidents Day Invite 2022,0,8,10,-262.67,-2,1232.33,1427.06,969.6599999999999,1442.05,969.6599999999999,31.804847999999993,Stanford,2
61,California-San Diego,Win 11-10,3.82,Counts,0.0337,2023-02-19,Presidents Day Invite 2022,1,11,10,125,1,1396.69,1408.25,1521.69,1404.43,1521.69,51.280953000000004,Stanford,3
3,Colorado,Loss 5-15,0,Ignored,0,2023-02-19,Presidents Day Invite 2022,0,5,15,-600,-10,2144.95,1412.07,1544.9499999999998,1412.07,0,0,Stanford,4
71,Southern California,Loss 9-10,-8.55,Counts,0.0337,2023-02-20,Presidents Day Invite 2022,0,9,10,-125,-1,1291.65,1420.62,1166.65,1429.1699999999998,1166.65,39.31610500000001,Stanford,5
10,California,Loss 5-10,-4.2,Counts,0.029900000000000003,2023-02-20,Presidents Day Invite 2022,0,5,10,-573.9,-5,1849.7,1416.27,1275.8000000000002,1420.47,1275.8000000000002,38.146420000000006,Stanford,6
63,California-Santa Barbara,Loss 8-9,-5.3,Counts,0.0319,2023-02-20,Presidents Day Invite 2022,0,8,9,-125,-1,1375.9,1417.37,1250.9,1422.6699999999998,1250.9,39.90371,Stanford,7
61,California-San Diego,Win 10-8,8.38,Counts,0.032799999999999996,2023-02-21,Presidents Day Invite 2022,1,10,8,262.67,2,1396.69,1403.69,1659.3600000000001,1395.31,1659.3600000000001,54.427008,Stanford,8
29,UCLA,Win 10-8,15.18,Counts,0.032799999999999996,2023-02-21,Presidents Day Invite 2022,1,10,8,262.67,2,1597.35,1396.89,1860.02,1381.71,1860.02,61.008655999999995,Stanford,9
47,Florida,Loss 6-9,-12.29,Counts,0.0336,2023-03-05,Stanford Invite 2022,0,6,9,-418.57,-3,1476.89,1424.36,1058.3200000000002,1436.6499999999999,1058.3200000000002,35.559552000000004,Stanford,10
18,Tufts,Loss 7-11,-6.23,Counts,0.0368,2023-03-05,Stanford Invite 2022,0,7,11,-466.89,-4,1715.78,1418.3,1248.8899999999999,1424.53,1248.8899999999999,45.959151999999996,Stanford,11
39,Western Washington,Loss 7-8,-0.93,Counts,0.0336,2023-03-05,Stanford Invite 2022,0,7,8,-125,-1,1510.39,1413,1385.39,1413.93,1385.39,46.549104,Stanford,12
63,California-Santa Barbara,Win 13-8,18.07,Counts,0.0378,2023-03-06,Stanford Invite 2022,1,13,8,496.16,5,1375.9,1394,1872.0600000000002,1375.93,1872.0600000000002,70.763868,Stanford,13
81,Santa Clara,Win 12-9,6.96,Counts,0.0378,2023-03-06,Stanford Invite 2022,1,12,9,345.37,3,1243.95,1405.11,1589.3200000000002,1398.1499999999999,1589.3200000000002,60.076296000000006,Stanford,14
53,Tulane,Loss 9-10,-3.81,Counts,0.0378,2023-03-06,Stanford Invite 2022,0,9,10,-125,-1,1440.12,1415.88,1315.12,1419.69,1315.12,49.711535999999995,Stanford,15
321,San Jose State,Win 13-1,0,Ignored,0,2023-04-16,NorCal D I College Mens CC 2022,1,13,1,600,12,215.04,1412.07,815.04,1412.07,0,0,Stanford,16
208,Nevada-Reno,Win 13-4,0,Ignored,0,2023-04-16,NorCal D I College Mens CC 2022,1,13,4,600,9,722.46,1412.07,1322.46,1412.07,0,0,Stanford,17
293,Fresno State,Win 13-4,0,Ignored,0,2023-04-16,NorCal D I College Mens CC 2022,1,13,4,600,9,373.85,1412.07,973.85,1412.07,0,0,Stanford,18
10,California,Loss 8-12,-0.2,Counts,0.0535,2023-04-16,NorCal D I College Mens CC 2022,0,8,12,-441.15,-4,1849.7,1412.27,1408.5500000000002,1412.47,1408.5500000000002,75.357425,Stanford,19
36,California-Santa Cruz,Loss 4-11,-25.17,Counts,0.049100000000000005,2023-04-17,NorCal D I College Mens CC 2022,0,4,11,-600,-7,1524.13,1437.24,924.1300000000001,1462.41,924.1300000000001,45.37478300000001,Stanford,20
113,California-Davis,Win 11-6,12.83,Counts,0.0506,2023-04-17,NorCal D I College Mens CC 2022,1,11,6,546.69,5,1106.24,1399.24,1652.93,1386.41,1652.93,83.63825800000001,Stanford,21
36,California-Santa Cruz,Win 10-7,26.72,Counts,0.0506,2023-04-17,NorCal D I College Mens CC 2022,1,10,7,389.67,3,1524.13,1385.35,1913.8000000000002,1358.6299999999999,1913.8000000000002,96.83828000000001,Stanford,22
112,Cal State-Long Beach,Win 13-8,13.11,Counts,0.0636,2023-05-07,Southwest D I College Mens Regionals 2022,1,13,8,496.16,5,1109.09,1398.96,1605.25,1385.8500000000001,1605.25,102.0939,Stanford,23
36,California-Santa Cruz,Loss 10-13,-14.67,Counts,0.0636,2023-05-07,Southwest D I College Mens Regionals 2022,0,10,13,-328.14,-3,1524.13,1426.74,1195.9900000000002,1441.41,1195.9900000000002,76.06496400000002,Stanford,24
61,California-San Diego,Win 13-10,21.23,Counts,0.0636,2023-05-07,Southwest D I College Mens Regionals 2022,1,13,10,328.14,3,1396.69,1390.84,1724.83,1369.61,1724.83,109.699188,Stanford,25
63,California-Santa Barbara,Loss 12-13,-10.94,Counts,0.0636,2023-05-07,Southwest D I College Mens Regionals 2022,0,12,13,-125,-1,1375.9,1423.01,1250.9,1433.95,1250.9,79.55724000000001,Stanford,26
55,Grand Canyon,Loss 9-13,-27.77,Counts,0.0636,2023-05-08,Southwest D I College Mens Regionals 2022,0,9,13,-418.57,-4,1421.57,1439.84,1003,1467.61,1003,63.790800000000004,Stanford,27
