OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
129,Boston University,Loss 1-13,0,Ignored,0,2023-03-26,Hucktastic 2022,0,1,13,-600,-12,1050.21,69.83,450.21000000000004,69.83,0,0,Temple-B,1
277,Villanova,Loss 4-13,-24.17,Counts,0.098,2023-03-26,Hucktastic 2022,0,4,13,-600,-9,447.31,94,-152.69,118.17,-152.69,-14.96362,Temple-B,2
98,Pennsylvania,Loss 0-10,0,Ignored,0,2023-03-26,Hucktastic 2022,0,0,10,-600,-10,1165.17,69.83,565.1700000000001,69.83,0,0,Temple-B,3
366,Jefferson,Win 13-0,20.5,Counts,0.098,2023-03-26,Hucktastic 2022,1,13,0,600,13,341.43,49.33,941.4300000000001,28.83,941.4300000000001,92.26014,Temple-B,4
154,NYU,Loss 1-13,0,Ignored,0,2023-03-26,Hucktastic 2022,0,1,13,-600,-12,950.57,69.83,350.57000000000005,69.83,0,0,Temple-B,5
277,Villanova,Loss 5-8,-6.71,Counts,0.081,2023-03-26,Hucktastic 2022,0,5,8,-453.6,-3,447.31,76.54,-6.2900000000000205,83.25,-6.2900000000000205,-0.5094900000000017,Temple-B,6
343,Case Western Reserve-B,Loss 6-8,-36.56,Counts,0.1059,2023-04-23,Ohio Valley Dev College Mens CC 2022,0,6,8,-300.49,-2,61.83,106.39,-238.66000000000003,142.95,-238.66000000000003,-25.274094,Temple-B,7
256,Penn State-B,Loss 5-13,-12.1,Counts,0.1234,2023-04-23,Ohio Valley Dev College Mens CC 2022,0,5,13,-600,-8,583.9,81.93,-16.100000000000023,94.03,-16.100000000000023,-1.9867400000000028,Temple-B,8
363,Pennsylvania-B,Win 13-4,33.78,Counts,0.1234,2023-04-23,Ohio Valley Dev College Mens CC 2022,1,13,4,600,9,290.28,36.06,890.28,2.280000000000001,890.28,109.860552,Temple-B,9
262,Pittsburgh-B,Loss 4-13,-19.29,Counts,0.1234,2023-04-23,Ohio Valley Dev College Mens CC 2022,0,4,13,-600,-9,532.82,89.12,-67.17999999999995,108.41,-67.17999999999995,-8.290011999999994,Temple-B,10
343,Case Western Reserve-B,Win 13-9,57.81,Counts,0.1234,2023-04-24,Ohio Valley Dev College Mens CC 2022,1,13,9,418.57,4,61.83,12.02,480.4,-45.790000000000006,480.4,59.28135999999999,Temple-B,11
256,Penn State-B,Loss 3-15,-12.1,Counts,0.1234,2023-04-24,Ohio Valley Dev College Mens CC 2022,0,3,15,-600,-12,583.9,81.93,-16.100000000000023,94.03,-16.100000000000023,-1.9867400000000028,Temple-B,12
