OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
75,Boston College,Win 8-6,31.25,Counts,0.0584,2023-03-19,Mens College Centex,1,8,6,300.49,2,1276.09,1041.68,1576.58,1010.4300000000001,1576.58,92.072272,Texas State,1
84,Iowa,Loss 9-13,-18.46,Counts,0.0681,2023-03-19,Mens College Centex,0,9,13,-418.57,-4,1238.75,1091.39,820.1800000000001,1109.8500000000001,820.1800000000001,55.854258,Texas State,2
77,Arkansas,Loss 5-10,-25.04,Counts,0.0605,2023-03-19,Mens College Centex,0,5,10,-573.9,-5,1257.75,1097.97,683.85,1123.01,683.85,41.372925,Texas State,3
53,Tulane,Loss 6-11,-12.35,Counts,0.0644,2023-03-19,Mens College Centex,0,6,11,-546.69,-5,1440.12,1085.28,893.4299999999998,1097.6299999999999,893.4299999999998,57.53689199999999,Texas State,4
89,Central Florida,Loss 7-9,-9.62,Counts,0.0625,2023-03-20,Mens College Centex,0,7,9,-279.34,-2,1207.83,1082.55,928.49,1092.1699999999998,928.49,58.030625,Texas State,5
95,Iowa State,Win 10-7,34.4,Counts,0.0644,2023-03-20,Mens College Centex,1,10,7,389.67,3,1183.14,1038.53,1572.8100000000002,1004.13,1572.8100000000002,101.28896400000001,Texas State,6
72,Texas A&M,Loss 5-12,-26.81,Counts,0.0653,2023-03-20,Mens College Centex,0,5,12,-600,-7,1289.26,1099.74,689.26,1126.55,689.26,45.008677999999996,Texas State,7
301,Houston,Win 15-5,0,Ignored,0,2023-04-16,South Texas D I College Mens CC 2022,1,15,5,600,10,316.49,1072.93,916.49,1072.93,0,0,Texas State,8
72,Texas A&M,Win 14-10,57.69,Counts,0.0858,2023-04-16,South Texas D I College Mens CC 2022,1,14,10,398.7,4,1289.26,1015.24,1687.96,957.55,1687.96,144.826968,Texas State,9
17,Texas,Loss 1-15,0,Ignored,0,2023-04-17,South Texas D I College Mens CC 2022,0,1,15,-600,-14,1769.66,1072.93,1169.66,1072.93,0,0,Texas State,10
250,Texas-B,Win 14-8,6.82,Counts,0.0858,2023-04-17,South Texas D I College Mens CC 2022,1,14,8,536.03,6,609.58,1066.11,1145.6100000000001,1059.29,1145.6100000000001,98.293338,Texas State,11
169,Kansas,Win 13-11,4.88,Counts,0.09630000000000001,2023-04-30,South Central D I College Mens Regionals 2022,1,13,11,228.84,2,889.88,1068.05,1118.72,1063.1699999999998,1118.72,107.73273600000002,Texas State,12
17,Texas,Loss 3-13,0,Ignored,0,2023-04-30,South Central D I College Mens Regionals 2022,0,3,13,-600,-10,1769.66,1072.93,1169.66,1072.93,0,0,Texas State,13
66,Texas-Dallas,Loss 8-13,-23.94,Counts,0.09630000000000001,2023-04-30,South Central D I College Mens Regionals 2022,0,8,13,-496.16,-5,1344.32,1096.87,848.1599999999999,1120.81,848.1599999999999,81.677808,Texas State,14
201,Baylor,Win 15-9,20.25,Counts,0.09630000000000001,2023-05-01,South Central D I College Mens Regionals 2022,1,15,9,515.48,6,747.54,1052.68,1263.02,1032.43,1263.02,121.62882600000002,Texas State,15
72,Texas A&M,Loss 7-14,-39.04,Counts,0.09630000000000001,2023-05-01,South Central D I College Mens Regionals 2022,0,7,14,-582.89,-7,1289.26,1111.97,706.37,1151.01,706.37,68.023431,Texas State,16
