OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
22,Carleton College,Win 13-7,12.1,Counts,0.0256,2023-03-05,Smoky Mountain Invite 2022,1,13,7,557.53,6,1672.93,1757.55,2230.46,1745.45,2230.46,57.099776000000006,Texas,1
24,Ohio State,Win 13-6,12.94,Counts,0.0256,2023-03-05,Smoky Mountain Invite 2022,1,13,6,600,7,1662.49,1756.71,2262.49,1743.77,2262.49,57.919743999999994,Texas,2
1,Brown,Loss 9-10,8.28,Counts,0.0256,2023-03-05,Smoky Mountain Invite 2022,0,9,10,-125,-1,2209.79,1761.38,2084.79,1753.1000000000001,2084.79,53.370624,Texas,3
134,Tennessee,Win 13-3,0,Ignored,0,2023-03-05,Smoky Mountain Invite 2022,1,13,3,600,10,1017.86,1769.66,1617.8600000000001,1769.66,0,0,Texas,4
7,Massachusetts,Loss 10-13,-4.24,Counts,0.0256,2023-03-06,Smoky Mountain Invite 2022,0,10,13,-328.14,-3,1936.21,1773.9,1608.0700000000002,1778.14,1608.0700000000002,41.16659200000001,Texas,5
3,Colorado,Loss 12-15,1.96,Counts,0.0256,2023-03-06,Smoky Mountain Invite 2022,0,12,15,-300.49,-3,2144.95,1767.69,1844.4599999999998,1765.73,1844.4599999999998,47.218176,Texas,6
14,North Carolina State,Loss 8-11,-8.08,Counts,0.0256,2023-03-06,Smoky Mountain Invite 2022,0,8,11,-365.61,-3,1827.64,1777.74,1462.0300000000002,1785.82,1462.0300000000002,37.42796800000001,Texas,7
106,LSU,Win 13-6,-0.83,Counts,0.0287,2023-03-19,Mens College Centex,1,13,6,600,7,1141.7,1770.48,1741.7,1771.31,1741.7,49.98679,Texas,8
20,McGill,Win 13-9,9.91,Counts,0.0287,2023-03-19,Mens College Centex,1,13,9,418.57,4,1686.18,1759.75,2104.75,1749.84,2104.75,60.406325,Texas,9
70,Chicago,Win 13-7,3.41,Counts,0.0287,2023-03-19,Mens College Centex,1,13,7,557.53,6,1327.52,1766.24,1885.05,1762.83,1885.05,54.100935,Texas,10
31,Oklahoma Christian,Win 13-6,12.48,Counts,0.0287,2023-03-19,Mens College Centex,1,13,6,600,7,1591.76,1757.17,2191.76,1744.69,2191.76,62.903512000000006,Texas,11
20,McGill,Win 12-10,4.57,Counts,0.0287,2023-03-20,Mens College Centex,1,12,10,238.12,2,1686.18,1765.08,1924.3000000000002,1760.51,1924.3000000000002,55.227410000000006,Texas,12
63,California-Santa Barbara,Win 14-5,6.1,Counts,0.0287,2023-03-20,Mens College Centex,1,14,5,600,9,1375.9,1763.56,1975.9,1757.46,1975.9,56.708330000000004,Texas,13
53,Tulane,Win 15-7,8,Counts,0.0287,2023-03-20,Mens College Centex,1,15,7,600,8,1440.12,1761.66,2040.12,1753.66,2040.12,58.551444,Texas,14
25,Maryland,Loss 11-12,-7.89,Counts,0.0322,2023-04-02,Easterns 2022,0,11,12,-125,-1,1657.91,1777.54,1532.91,1785.43,1532.91,49.359702,Texas,15
