OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
96,RIT,Loss 7-11,-14.68,Counts,0.050300000000000004,2023-02-26,Oak Creek Challenge,0,7,11,-466.89,-4,1175.71,1000.6,708.82,1015.28,708.82,35.65364600000001,Towson,1
110,Christopher Newport,Loss 10-13,-10.9,Counts,0.051699999999999996,2023-02-26,Oak Creek Challenge,0,10,13,-328.14,-3,1114.15,996.82,786.0100000000001,1007.72,786.0100000000001,40.636717000000004,Towson,2
100,Lehigh,Loss 9-11,-4.41,Counts,0.051699999999999996,2023-02-26,Oak Creek Challenge,0,9,11,-249.21,-2,1154.27,990.33,905.06,994.74,905.06,46.79160199999999,Towson,3
229,West Chester,Win 13-7,13.28,Counts,0.051699999999999996,2023-02-26,Oak Creek Challenge,1,13,7,557.53,6,671.94,972.64,1229.47,959.36,1229.47,63.563598999999996,Towson,4
215,North Carolina-B,Win 12-6,15.65,Counts,0.050300000000000004,2023-02-27,Oak Creek Challenge,1,12,6,579.31,6,702.02,970.26,1281.33,954.61,1281.33,64.450899,Towson,5
118,Virginia Commonwealth,Win 10-6,29.51,Counts,0.047400000000000005,2023-02-27,Oak Creek Challenge,1,10,6,496.16,4,1082.14,956.41,1578.3000000000002,926.9,1578.3000000000002,74.81142000000001,Towson,6
25,Maryland,Loss 5-15,0,Ignored,0,2023-04-23,Colonial D I College Mens CC 2022,0,5,15,-600,-10,1657.91,985.92,1057.91,985.92,0,0,Towson,7
136,American,Win 15-14,13.58,Counts,0.0821,2023-04-23,Colonial D I College Mens CC 2022,1,15,14,125,1,1012.78,972.34,1137.78,958.76,1137.78,93.411738,Towson,8
198,George Washington,Win 15-12,6.92,Counts,0.0821,2023-04-23,Colonial D I College Mens CC 2022,1,15,12,300.49,3,762.77,979,1063.26,972.08,1063.26,87.29364600000001,Towson,9
153,Johns Hopkins,Win 14-13,8.26,Counts,0.0821,2023-04-24,Colonial D I College Mens CC 2022,1,14,13,125,1,953.29,977.66,1078.29,969.4,1078.29,88.527609,Towson,10
59,Georgetown,Loss 2-15,-16.34,Counts,0.0821,2023-04-24,Colonial D I College Mens CC 2022,0,2,15,-600,-13,1403.18,1002.26,803.1800000000001,1018.6,803.1800000000001,65.941078,Towson,11
14,North Carolina State,Loss 6-13,24.53,Counts,0.09210000000000002,2023-05-07,Atlantic Coast D I College Mens Regionals 2022,0,6,13,-600,-7,1827.64,961.39,1227.64,936.86,1227.64,113.06564400000003,Towson,12
59,Georgetown,Loss 3-13,-18.54,Counts,0.09210000000000002,2023-05-07,Atlantic Coast D I College Mens Regionals 2022,0,3,13,-600,-10,1403.18,1004.46,803.1800000000001,1023,803.1800000000001,73.97287800000002,Towson,13
118,Virginia Commonwealth,Loss 10-13,-23.53,Counts,0.09210000000000002,2023-05-07,Atlantic Coast D I College Mens Regionals 2022,0,10,13,-328.14,-3,1082.14,1009.45,754.0000000000001,1032.98,754.0000000000001,69.44340000000003,Towson,14
67,James Madison,Loss 5-15,-24.85,Counts,0.09210000000000002,2023-05-08,Atlantic Coast D I College Mens Regionals 2022,0,5,15,-600,-10,1340.98,1010.77,740.98,1035.62,740.98,68.24425800000002,Towson,15
