OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
202,Spring Hill College,Loss 6-11,17.01,Counts,0.0758,2023-02-19,Mardi Gras XXXIV,0,6,11,-546.69,-5,746.71,24.44,200.01999999999998,7.43,200.01999999999998,15.161516,Trinity University,1
301,Houston,Loss 9-12,-1.87,Counts,0.0801,2023-02-19,Mardi Gras XXXIV,0,9,12,-345.37,-3,316.49,5.57,-28.879999999999995,7.44,-28.879999999999995,-2.3132879999999996,Trinity University,2
190,Illinois State,Loss 6-13,17.74,Counts,0.0801,2023-02-19,Mardi Gras XXXIV,0,6,13,-600,-7,796.31,25.18,196.30999999999995,7.440000000000001,196.30999999999995,15.724430999999997,Trinity University,3
102,Emory,Loss 4-13,0,Ignored,0,2023-02-19,Mardi Gras XXXIV,0,4,13,-600,-9,1150.1,7.44,550.0999999999999,7.44,0,0,Trinity University,4
365,LSU-B,Win 8-5,8.87,Counts,0.0663,2023-02-20,Mardi Gras XXXIV,1,8,5,453.6,3,336.11,16.3,789.71,7.4300000000000015,789.71,52.357773,Trinity University,5
190,Illinois State,Loss 5-7,32.34,Counts,0.0637,2023-02-20,Mardi Gras XXXIV,0,5,7,-328.14,-2,796.31,39.77,468.16999999999996,7.43,468.16999999999996,29.822429,Trinity University,6
331,Texas Tech,Loss 6-13,-48.34,Counts,0.0953,2023-03-12,Centex Tier II,0,6,13,-600,-7,133.47,40.91,-466.53,89.25,-466.53,-44.460308999999995,Trinity University,7
250,Texas-B,Loss 6-13,1.79,Counts,0.0953,2023-03-12,Centex Tier II,0,6,13,-600,-7,609.58,9.23,9.580000000000041,7.44,9.580000000000041,0.9129740000000038,Trinity University,8
331,Texas Tech,Loss 6-7,1.36,Counts,0.0788,2023-03-13,Centex Tier II,0,6,7,-125,-1,133.47,8.8,8.469999999999999,7.44,8.469999999999999,0.6674359999999999,Trinity University,9
261,Texas-Arlington,Loss 11-15,16.85,Counts,0.0953,2023-03-13,Centex Tier II,0,11,15,-381.16,-4,533.74,24.29,152.57999999999998,7.439999999999998,152.57999999999998,14.540873999999997,Trinity University,10
197,Rice,Loss 3-13,0,Ignored,0,2023-04-23,Texas D III College Mens CC 2022,0,3,13,-600,-10,764.1,7.44,164.10000000000002,7.44,0,0,Trinity University,11
131,Sul Ross State,Loss 0-13,0,Ignored,0,2023-04-23,Texas D III College Mens CC 2022,0,0,13,-600,-13,1027.4,7.44,427.4000000000001,7.44,0,0,Trinity University,12
NA,LeTourneau University,Loss 4-13,-37.38,Counts,0.13470000000000001,2023-04-23,Texas D III College Mens CC 2022,0,4,13,-600,-9,352.48,29.95,-247.51999999999998,67.33,-247.51999999999998,-33.340944,Trinity University,13
NA,Dallas,Loss 1-13,-12.62,Counts,0.13470000000000001,2023-04-23,Texas D III College Mens CC 2022,0,1,13,-600,-12,511.53,5.18,-88.47000000000003,17.799999999999997,-88.47000000000003,-11.916909000000006,Trinity University,14
