OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
58,Stanford,Win 11-7,6.46,Counts,0.0381,2023-03-05,Stanford Invite 2022,1,11,7,466.89,4,1412.07,1709.33,1878.96,1702.87,1878.96,71.58837600000001,Tufts,1
36,California-Santa Cruz,Win 10-9,-2.71,Counts,0.0391,2023-03-05,Stanford Invite 2022,1,10,9,125,1,1524.13,1718.49,1649.13,1721.2,1649.13,64.48098300000001,Tufts,2
10,California,Loss 7-10,-9.82,Counts,0.037000000000000005,2023-03-05,Stanford Invite 2022,0,7,10,-389.67,-3,1849.7,1725.6,1460.03,1735.4199999999998,1460.03,54.02111000000001,Tufts,3
47,Florida,Win 12-11,-4.63,Counts,0.0391,2023-03-05,Stanford Invite 2022,1,12,11,125,1,1476.89,1720.42,1601.89,1725.0500000000002,1601.89,62.63389900000001,Tufts,4
39,Western Washington,Win 12-6,14.79,Counts,0.0381,2023-03-05,Stanford Invite 2022,1,12,6,579.31,6,1510.39,1700.99,2089.7,1686.2,2089.7,79.61757,Tufts,5
19,Oregon,Win 11-10,4.81,Counts,0.0391,2023-03-06,Stanford Invite 2022,1,11,10,125,1,1709,1710.97,1834,1706.16,1834,71.7094,Tufts,6
25,Maryland,Loss 11-12,-9.47,Counts,0.0493,2023-04-02,Easterns 2022,0,11,12,-125,-1,1657.91,1725.26,1532.91,1734.73,1532.91,75.572463,Tufts,7
2,North Carolina,Loss 7-13,-4.87,Counts,0.0493,2023-04-02,Easterns 2022,0,7,13,-557.53,-6,2179.26,1720.65,1621.7300000000002,1725.52,1621.7300000000002,79.951289,Tufts,8
65,Temple,Win 13-9,3.24,Counts,0.0493,2023-04-02,Easterns 2022,1,13,9,418.57,4,1359.72,1712.54,1778.29,1709.3,1778.29,87.66969699999999,Tufts,9
17,Texas,Win 10-6,26.04,Counts,0.0452,2023-04-02,Easterns 2022,1,10,6,496.16,4,1769.66,1689.74,2265.82,1663.7,2265.82,102.415064,Tufts,10
49,Illinois,Win 15-7,17.64,Counts,0.0493,2023-04-03,Easterns 2022,1,15,7,600,8,1456.25,1698.14,2056.25,1680.5,2056.25,101.37312499999999,Tufts,11
6,Cal Poly-SLO,Loss 9-14,-10.57,Counts,0.0493,2023-04-03,Easterns 2022,0,9,14,-473.87,-5,1985.66,1726.35,1511.79,1736.9199999999998,1511.79,74.531247,Tufts,12
30,North Carolina-Wilmington,Win 14-10,14.39,Counts,0.0493,2023-04-03,Easterns 2022,1,14,10,398.7,4,1594.83,1701.39,1993.53,1687,1993.53,98.28102899999999,Tufts,13
162,Massachusetts-Lowell,Win 13-3,0,Ignored,0,2023-04-16,Metro Boston D I College Mens CC 2022,1,13,3,600,10,901.86,1715.78,1501.8600000000001,1715.78,0,0,Tufts,14
93,Harvard,Win 13-7,1.97,Counts,0.0553,2023-04-16,Metro Boston D I College Mens CC 2022,1,13,7,557.53,6,1191.89,1713.81,1749.42,1711.84,1749.42,96.74292600000001,Tufts,15
165,MIT,Win 13-5,0,Ignored,0,2023-04-16,Metro Boston D I College Mens CC 2022,1,13,5,600,8,898.08,1715.78,1498.08,1715.78,0,0,Tufts,16
75,Boston College,Win 11-9,-11.15,Counts,0.0553,2023-04-17,Metro Boston D I College Mens CC 2022,1,11,9,249.21,2,1276.09,1726.93,1525.3,1738.0800000000002,1525.3,84.34909,Tufts,17
129,Boston University,Win 13-3,0,Ignored,0,2023-04-17,Metro Boston D I College Mens CC 2022,1,13,3,600,10,1050.21,1715.78,1650.21,1715.78,0,0,Tufts,18
12,Northeastern,Win 12-7,37.71,Counts,0.0553,2023-04-17,Metro Boston D I College Mens CC 2022,1,12,7,520.51,5,1839.64,1678.07,2360.15,1640.36,2360.15,130.516295,Tufts,19
7,Massachusetts,Loss 6-13,-26.71,Counts,0.0658,2023-05-07,New England D I College Mens Regionals 2022,0,6,13,-600,-7,1936.21,1742.5,1336.21,1769.21,1336.21,87.922618,Tufts,20
75,Boston College,Win 13-5,11.28,Counts,0.0658,2023-05-07,New England D I College Mens Regionals 2022,1,13,5,600,8,1276.09,1704.5,1876.09,1693.22,1876.09,123.446722,Tufts,21
185,Northeastern-B,Win 13-1,0,Ignored,0,2023-05-07,New England D I College Mens Regionals 2022,1,13,1,600,12,810.14,1715.78,1410.1399999999999,1715.78,0,0,Tufts,22
9,Vermont,Loss 7-13,-26.2,Counts,0.0658,2023-05-07,New England D I College Mens Regionals 2022,0,7,13,-557.53,-6,1901.02,1741.98,1343.49,1768.18,1343.49,88.401642,Tufts,23
12,Northeastern,Loss 5-15,-33.51,Counts,0.0658,2023-05-08,New England D I College Mens Regionals 2022,0,5,15,-600,-10,1839.64,1749.29,1239.64,1782.8,1239.64,81.568312,Tufts,24
