OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
81,Santa Clara,Loss 9-10,-10.46,Counts,0.0316,2023-03-05,Stanford Invite 2022,0,9,10,-125,-1,1243.95,1450.58,1118.95,1461.04,1118.95,35.35882,Tulane,1
10,California,Loss 8-13,-2.82,Counts,0.0316,2023-03-05,Stanford Invite 2022,0,8,13,-496.16,-5,1849.7,1442.94,1353.54,1445.76,1353.54,42.771864,Tulane,2
66,Texas-Dallas,Loss 6-8,-11.03,Counts,0.0271,2023-03-05,Stanford Invite 2022,0,6,8,-300.49,-2,1344.32,1451.15,1043.83,1462.18,1043.83,28.287792999999997,Tulane,3
71,Southern California,Win 10-8,3.62,Counts,0.030699999999999998,2023-03-06,Stanford Invite 2022,1,10,8,262.67,2,1291.65,1436.5,1554.3200000000002,1432.88,1554.3200000000002,47.717624,Tulane,4
58,Stanford,Win 10-9,3.16,Counts,0.0316,2023-03-06,Stanford Invite 2022,1,10,9,125,1,1412.07,1436.96,1537.07,1433.8,1537.07,48.571412,Tulane,5
55,Grand Canyon,Win 11-10,3.47,Counts,0.0316,2023-03-06,Stanford Invite 2022,1,11,10,125,1,1421.57,1436.65,1546.57,1433.18,1546.57,48.871612000000006,Tulane,6
75,Boston College,Win 10-9,-1.43,Counts,0.0354,2023-03-19,Mens College Centex,1,10,9,125,1,1276.09,1441.55,1401.09,1442.98,1401.09,49.598586,Tulane,7
84,Iowa,Win 11-7,9.48,Counts,0.0345,2023-03-19,Mens College Centex,1,11,7,466.89,4,1238.75,1430.64,1705.6399999999999,1421.16,1705.6399999999999,58.84458,Tulane,8
56,Dartmouth,Win 12-8,15.44,Counts,0.0354,2023-03-19,Mens College Centex,1,12,8,441.15,4,1419.57,1424.67,1860.7199999999998,1409.23,1860.7199999999998,65.86948799999999,Tulane,9
124,Texas State,Win 11-6,6.22,Counts,0.0335,2023-03-19,Mens College Centex,1,11,6,546.69,5,1072.93,1433.9,1619.6200000000001,1427.68,1619.6200000000001,54.257270000000005,Tulane,10
56,Dartmouth,Loss 8-11,-14.18,Counts,0.0354,2023-03-20,Mens College Centex,0,8,11,-365.61,-3,1419.57,1454.3,1053.96,1468.48,1053.96,37.310184,Tulane,11
47,Florida,Win 12-11,5.94,Counts,0.0354,2023-03-20,Mens College Centex,1,12,11,125,1,1476.89,1434.18,1601.89,1428.24,1601.89,56.706906000000004,Tulane,12
17,Texas,Loss 7-15,-9.93,Counts,0.0354,2023-03-20,Mens College Centex,0,7,15,-600,-8,1769.66,1450.05,1169.66,1459.98,1169.66,41.405964000000004,Tulane,13
106,LSU,Win 11-7,8.13,Counts,0.046,2023-04-23,Gulf Coast D I College Mens CC 2022,1,11,7,466.89,4,1141.7,1431.99,1608.5900000000001,1423.86,1608.5900000000001,73.99514,Tulane,14
152,Jacksonville State,Win 13-3,5.67,Counts,0.0473,2023-04-23,Gulf Coast D I College Mens CC 2022,1,13,3,600,10,954.29,1434.45,1554.29,1428.78,1554.29,73.517917,Tulane,15
144,Alabama-Birmingham,Win 11-6,3.61,Counts,0.0447,2023-04-23,Gulf Coast D I College Mens CC 2022,1,11,6,546.69,5,970.46,1436.51,1517.15,1432.9,1517.15,67.816605,Tulane,16
109,Vanderbilt,Win 12-10,-4.01,Counts,0.0473,2023-04-23,Gulf Coast D I College Mens CC 2022,1,12,10,238.12,2,1121.15,1444.13,1359.27,1448.14,1359.27,64.293471,Tulane,17
57,Alabama,Win 11-10,4.91,Counts,0.0473,2023-04-24,Gulf Coast D I College Mens CC 2022,1,11,10,125,1,1414,1435.21,1539,1430.3,1539,72.7947,Tulane,18
26,Auburn,Loss 7-8,2.31,Counts,0.042,2023-04-24,Gulf Coast D I College Mens CC 2022,0,7,8,-125,-1,1617.76,1437.81,1492.76,1435.5,1492.76,62.69592,Tulane,19
109,Vanderbilt,Win 13-8,8.79,Counts,0.0473,2023-04-24,Gulf Coast D I College Mens CC 2022,1,13,8,496.16,5,1121.15,1431.32,1617.3100000000002,1422.53,1617.3100000000002,76.49876300000001,Tulane,20
57,Alabama,Win 11-10,5.21,Counts,0.0501,2023-04-30,Southeast D I College Mens Regionals 2022,1,11,10,125,1,1414,1434.9,1539,1429.69,1539,77.1039,Tulane,21
26,Auburn,Loss 5-13,-22.27,Counts,0.0501,2023-04-30,Southeast D I College Mens Regionals 2022,0,5,13,-600,-8,1617.76,1462.39,1017.76,1484.66,1017.76,50.989776,Tulane,22
121,Tennessee-Chattanooga,Win 13-10,-1.67,Counts,0.0501,2023-04-30,Southeast D I College Mens Regionals 2022,1,13,10,328.14,3,1080.21,1441.79,1408.35,1443.46,1408.35,70.558335,Tulane,23
92,Alabama-Huntsville,Win 13-8,13.31,Counts,0.0501,2023-05-01,Southeast D I College Mens Regionals 2022,1,13,8,496.16,5,1196.4,1426.81,1692.5600000000002,1413.5,1692.5600000000002,84.797256,Tulane,24
44,Georgia Tech,Loss 7-11,-21.41,Counts,0.048799999999999996,2023-05-01,Southeast D I College Mens Regionals 2022,0,7,11,-466.89,-4,1489.18,1461.53,1022.2900000000001,1482.94,1022.2900000000001,49.887752,Tulane,25
