OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
161,Mississippi State,Win 11-6,19.86,Counts,0.0868,2023-04-02,Magic City Invite,1,11,6,546.69,5,903.76,1221.82,1450.45,1201.96,1450.45,125.89906,Union (Tennessee),1
202,Spring Hill College,Win 13-8,0.12,Counts,0.09179999999999999,2023-04-02,Magic City Invite,1,13,8,496.16,5,746.71,1241.55,1242.8700000000001,1241.43,1242.8700000000001,114.095466,Union (Tennessee),2
257,Alabama-B,Win 13-8,-18.05,Counts,0.09179999999999999,2023-04-02,Magic City Invite,1,13,8,496.16,5,566.95,1259.73,1063.1100000000001,1277.78,1063.1100000000001,97.59349800000001,Union (Tennessee),3
218,Samford,Win 13-3,5.53,Counts,0.09179999999999999,2023-04-03,Magic City Invite,1,13,3,600,10,696.34,1236.15,1296.3400000000001,1230.6200000000001,1296.3400000000001,119.004012,Union (Tennessee),4
144,Alabama-Birmingham,Win 13-7,28.94,Counts,0.09179999999999999,2023-04-03,Magic City Invite,1,13,7,557.53,6,970.46,1212.73,1527.99,1183.79,1527.99,140.26948199999998,Union (Tennessee),5
335,University of Memphis,Win 13-3,0,Ignored,0,2023-04-03,Magic City Invite,1,13,3,600,10,122.1,1241.67,722.1,1241.67,0,0,Union (Tennessee),6
195,Georgia College,Win 13-5,16.45,Counts,0.1092,2023-04-23,Southeast D III College Mens CC 2022,1,13,5,600,8,775.91,1225.22,1375.9099999999999,1208.77,1375.9099999999999,150.249372,Union (Tennessee),7
304,Embry-Riddle,Win 13-1,0,Ignored,0,2023-04-23,Southeast D III College Mens CC 2022,1,13,1,600,12,297.97,1241.67,897.97,1241.67,0,0,Union (Tennessee),8
140,Florida Tech,Win 13-7,36.95,Counts,0.1092,2023-04-23,Southeast D III College Mens CC 2022,1,13,7,557.53,6,985.58,1204.73,1543.1100000000001,1167.78,1543.1100000000001,168.50761200000002,Union (Tennessee),9
50,Berry,Loss 6-13,-48.03,Counts,0.1092,2023-04-24,Southeast D III College Mens CC 2022,0,6,13,-600,-7,1449.81,1289.7,849.81,1337.73,849.81,92.799252,Union (Tennessee),10
50,Berry,Loss 7-15,-48.03,Counts,0.1092,2023-04-24,Southeast D III College Mens CC 2022,0,7,15,-600,-8,1449.81,1289.7,849.81,1337.73,849.81,92.799252,Union (Tennessee),11
140,Florida Tech,Win 15-12,5.44,Counts,0.1092,2023-04-24,Southeast D III College Mens CC 2022,1,15,12,300.49,3,985.58,1236.23,1286.0700000000002,1230.79,1286.0700000000002,140.43884400000002,Union (Tennessee),12
