OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
159,Boise State,Win 11-2,0,Ignored,0,2023-03-12,Big Sky Brawl,1,11,2,600,9,914.58,1823.82,1514.58,1823.82,0,0,Utah State,1
NA,Brigham Young-B,Win 11-3,3.75,Counts,0.044000000000000004,2023-03-12,Big Sky Brawl,1,11,3,600,8,1305.48,1820.07,1905.48,1816.32,1905.48,83.84112,Utah State,2
122,Denver,Win 11-8,-19.24,Counts,0.0479,2023-03-12,Big Sky Brawl,1,11,8,365.61,3,1075.81,1843.07,1441.42,1862.31,1441.42,69.044018,Utah State,3
260,Colorado Mesa,Win 11-2,0,Ignored,0,2023-03-13,Big Sky Brawl,1,11,2,600,9,535.51,1823.82,1135.51,1823.82,0,0,Utah State,4
166,Northern Arizona,Win 11-5,-15.03,Counts,0.044000000000000004,2023-03-13,Big Sky Brawl,1,11,5,600,6,897.05,1838.85,1497.05,1853.8799999999999,1497.05,65.87020000000001,Utah State,5
45,Utah,Win 11-10,-10.69,Counts,0.0479,2023-03-13,Big Sky Brawl,1,11,10,125,1,1486.48,1834.51,1611.48,1845.2,1611.48,77.189892,Utah State,6
159,Boise State,Win 15-3,0,Ignored,0,2023-04-16,Big Sky D I College Mens CC 2022,1,15,3,600,12,914.58,1823.82,1514.58,1823.82,0,0,Utah State,7
45,Utah,Win 15-11,2.99,Counts,0.064,2023-04-16,Big Sky D I College Mens CC 2022,1,15,11,381.16,4,1486.48,1820.83,1867.64,1817.84,1867.64,119.52896000000001,Utah State,8
177,Washington State,Win 15-3,0,Ignored,0,2023-04-16,Big Sky D I College Mens CC 2022,1,15,3,600,12,842.1,1823.82,1442.1,1823.82,0,0,Utah State,9
28,British Columbia,Win 10-9,-7.12,Counts,0.0761,2023-05-07,Northwest D I College Mens Regionals 2022,1,10,9,125,1,1612.3,1830.95,1737.3,1838.07,1737.3,132.20853,Utah State,10
45,Utah,Win 10-7,4.06,Counts,0.0719,2023-05-07,Northwest D I College Mens Regionals 2022,1,10,7,389.67,3,1486.48,1819.77,1876.15,1815.71,1876.15,134.89518500000003,Utah State,11
82,Whitman,Win 13-7,-1.92,Counts,0.0761,2023-05-07,Northwest D I College Mens Regionals 2022,1,13,7,557.53,6,1242.91,1825.75,1800.44,1827.67,1800.44,137.013484,Utah State,12
38,Oregon State,Win 13-8,15.32,Counts,0.0761,2023-05-08,Northwest D I College Mens Regionals 2022,1,13,8,496.16,5,1513.79,1808.5,2009.95,1793.18,2009.95,152.957195,Utah State,13
6,Cal Poly-SLO,Loss 12-15,-13.79,Counts,0.0904,2023-05-27,2022 D I College Championships,0,12,15,-300.49,-3,1985.66,1837.61,1685.17,1851.3999999999999,1685.17,152.339368,Utah State,14
17,Texas,Loss 14-15,-17.82,Counts,0.0904,2023-05-27,2022 D I College Championships,0,14,15,-125,-1,1769.66,1841.64,1644.66,1859.46,1644.66,148.677264,Utah State,15
1,Brown,Loss 11-15,0.48,Counts,0.0904,2023-05-28,2022 D I College Championships,0,11,15,-381.16,-4,2209.79,1823.35,1828.6299999999999,1822.87,1828.6299999999999,165.30815199999998,Utah State,16
27,William & Mary,Win 15-10,24.4,Counts,0.0904,2023-05-28,2022 D I College Championships,1,15,10,453.6,5,1615.6,1799.43,2069.2,1775.03,2069.2,187.05567999999997,Utah State,17
16,Michigan,Win 15-11,36.31,Counts,0.0904,2023-05-29,2022 D I College Championships,1,15,11,381.16,4,1807.83,1787.51,2188.99,1751.2,2188.99,197.88469599999996,Utah State,18
