OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
220,Minnesota-B,Win 9-7,-5.41,Counts,0.0353,2023-03-19,Missouri Loves Company MLC,1,9,7,279.34,2,693.75,1126.56,973.0899999999999,1131.97,973.0899999999999,34.35007699999999,Vanderbilt,1
64,Northwestern,Loss 4-13,-14.08,Counts,0.0384,2023-03-19,Missouri Loves Company MLC,0,4,13,-600,-9,1368.8,1135.23,768.8,1149.31,768.8,29.521919999999994,Vanderbilt,2
108,Michigan State,Win 15-10,18.46,Counts,0.0384,2023-03-20,Missouri Loves Company MLC,1,15,10,453.6,5,1129.58,1102.69,1583.1799999999998,1084.23,1583.1799999999998,60.79411199999999,Vanderbilt,3
137,Michigan-B,Win 15-10,12.72,Counts,0.0384,2023-03-20,Missouri Loves Company MLC,1,15,10,453.6,5,986.06,1108.43,1439.6599999999999,1095.71,1439.6599999999999,55.282943999999986,Vanderbilt,4
269,Oklahoma State University,Loss 5-7,-29.88,Counts,0.0305,2023-03-20,Missouri Loves Company MLC,0,5,7,-328.14,-2,500.56,1151.03,172.42000000000002,1180.91,172.42000000000002,5.25881,Vanderbilt,5
190,Illinois State,Win 15-11,2.54,Counts,0.0431,2023-04-02,Huck Finn 2022,1,15,11,381.16,4,796.31,1118.61,1177.47,1116.07,1177.47,50.748957,Vanderbilt,6
95,Iowa State,Loss 2-10,-21.06,Counts,0.0377,2023-04-02,Huck Finn 2022,0,2,10,-600,-8,1183.14,1142.21,583.1400000000001,1163.27,583.1400000000001,21.984378000000003,Vanderbilt,7
57,Alabama,Loss 5-10,-11.2,Counts,0.0383,2023-04-02,Huck Finn 2022,0,5,10,-573.9,-5,1414,1132.35,840.1,1143.55,840.1,32.175830000000005,Vanderbilt,8
32,Washington University,Loss 6-15,-5.9,Counts,0.0431,2023-04-02,Huck Finn 2022,0,6,15,-600,-9,1590.18,1127.05,990.1800000000001,1132.95,990.1800000000001,42.676758,Vanderbilt,9
232,Oklahoma,Win 14-9,0.59,Counts,0.0431,2023-04-03,Huck Finn 2022,1,14,9,473.87,5,660.44,1120.56,1134.31,1119.97,1134.31,48.888760999999995,Vanderbilt,10
133,Wisconsin-Milwaukee,Loss 11-12,-10.04,Counts,0.0431,2023-04-03,Huck Finn 2022,0,11,12,-125,-1,1023.38,1131.19,898.38,1141.23,898.38,38.720178,Vanderbilt,11
106,LSU,Win 13-7,31.25,Counts,0.0513,2023-04-23,Gulf Coast D I College Mens CC 2022,1,13,7,557.53,6,1141.7,1089.91,1699.23,1058.66,1699.23,87.17049899999999,Vanderbilt,12
152,Jacksonville State,Win 11-7,15.76,Counts,0.0499,2023-04-23,Gulf Coast D I College Mens CC 2022,1,11,7,466.89,4,954.29,1105.39,1421.1799999999998,1089.63,1421.1799999999998,70.91688199999999,Vanderbilt,13
144,Alabama-Birmingham,Win 11-9,5.32,Counts,0.0513,2023-04-23,Gulf Coast D I College Mens CC 2022,1,11,9,249.21,2,970.46,1115.83,1219.67,1110.51,1219.67,62.569071,Vanderbilt,14
53,Tulane,Loss 10-12,4.37,Counts,0.0513,2023-04-23,Gulf Coast D I College Mens CC 2022,0,10,12,-238.12,-2,1440.12,1116.78,1202,1112.41,1202,61.6626,Vanderbilt,15
57,Alabama,Loss 8-10,1.59,Counts,0.0499,2023-04-24,Gulf Coast D I College Mens CC 2022,0,8,10,-262.67,-2,1414,1119.57,1151.33,1117.98,1151.33,57.451367,Vanderbilt,16
53,Tulane,Loss 8-13,-9.58,Counts,0.0513,2023-04-24,Gulf Coast D I College Mens CC 2022,0,8,13,-496.16,-5,1440.12,1130.73,943.9599999999998,1140.31,943.9599999999998,48.425147999999986,Vanderbilt,17
89,Central Florida,Loss 8-13,-23.52,Counts,0.054299999999999994,2023-04-30,Southeast D I College Mens Regionals 2022,0,8,13,-496.16,-5,1207.83,1144.68,711.6699999999998,1168.2,711.6699999999998,38.64368099999999,Vanderbilt,18
158,South Florida,Win 13-11,1.44,Counts,0.054299999999999994,2023-04-30,Southeast D I College Mens Regionals 2022,1,13,11,228.84,2,917.32,1119.71,1146.16,1118.27,1146.16,62.236487999999994,Vanderbilt,19
57,Alabama,Loss 7-13,-15.21,Counts,0.054299999999999994,2023-04-30,Southeast D I College Mens Regionals 2022,0,7,13,-557.53,-6,1414,1136.36,856.47,1151.57,856.47,46.506321,Vanderbilt,20
114,Florida State,Win 13-8,27.14,Counts,0.054299999999999994,2023-04-30,Southeast D I College Mens Regionals 2022,1,13,8,496.16,5,1097.48,1094.01,1593.64,1066.87,1593.64,86.534652,Vanderbilt,21
89,Central Florida,Win 9-6,25.63,Counts,0.0483,2023-05-01,Southeast D I College Mens Regionals 2022,1,9,6,418.57,3,1207.83,1095.53,1626.3999999999999,1069.8999999999999,1626.3999999999999,78.55512,Vanderbilt,22
