OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
233,Navy-B,Loss 6-12,-27.08,Counts,0.0449,2023-02-26,Cutlass Classic 2022,0,6,12,-579.31,-6,656.78,680.86,77.47000000000003,707.94,77.47000000000003,3.4784030000000015,Vermont-B,1
117,Appalachian State,Loss 6-13,-8.23,Counts,0.0461,2023-02-26,Cutlass Classic 2022,0,6,13,-600,-7,1083.57,662.01,483.56999999999994,670.24,483.56999999999994,22.292576999999998,Vermont-B,2
266,East Carolina,Win 12-11,-1.19,Counts,0.0461,2023-02-26,Cutlass Classic 2022,1,12,11,125,1,504.16,654.97,629.1600000000001,656.1600000000001,629.1600000000001,29.004276000000004,Vermont-B,3
243,Elon,Loss 9-10,-7.44,Counts,0.0461,2023-02-26,Cutlass Classic 2022,0,9,10,-125,-1,624.96,661.21,499.96000000000004,668.6500000000001,499.96000000000004,23.048156000000002,Vermont-B,4
329,Princeton-B,Win 15-9,2.01,Counts,0.0548,2023-03-19,Jersey Devil,1,15,9,515.48,6,172.92,651.77,688.4,649.76,688.4,37.72432,Vermont-B,5
295,Haverford,Win 15-4,18.18,Counts,0.0548,2023-03-19,Jersey Devil,1,15,4,600,11,367.14,635.6,967.14,617.4200000000001,967.14,52.999272,Vermont-B,6
352,Delaware-B,Win 15-5,0,Ignored,0,2023-03-19,Jersey Devil,1,15,5,600,10,58.12,653.78,658.12,653.78,0,0,Vermont-B,7
162,Massachusetts-Lowell,Loss 6-13,-23.08,Counts,0.061500000000000006,2023-04-02,Northeast Classic,0,6,13,-600,-7,901.86,676.86,301.86,699.94,301.86,18.564390000000003,Vermont-B,8
247,SUNY-Albany,Win 13-12,5.52,Counts,0.061500000000000006,2023-04-02,Northeast Classic,1,13,12,125,1,612.9,648.26,737.9,642.74,737.9,45.38085,Vermont-B,9
303,Skidmore College,Win 13-3,16.03,Counts,0.061500000000000006,2023-04-02,Northeast Classic,1,13,3,600,10,298.24,637.75,898.24,621.72,898.24,55.241760000000006,Vermont-B,10
96,RIT,Loss 9-12,11.58,Counts,0.061500000000000006,2023-04-03,Northeast Classic,0,9,12,-345.37,-3,1175.71,642.2,830.34,630.62,830.34,51.06591000000001,Vermont-B,11
234,Amherst,Loss 12-13,-8.07,Counts,0.061500000000000006,2023-04-03,Northeast Classic,0,12,13,-125,-1,655.72,661.85,530.72,669.9200000000001,530.72,32.63928000000001,Vermont-B,12
314,Edinboro,Win 12-10,-10.33,Counts,0.061500000000000006,2023-04-03,Northeast Classic,1,12,10,238.12,2,258.18,664.11,496.3,674.44,496.3,30.522450000000003,Vermont-B,13
104,Brown-B,Loss 7-11,1.69,Counts,0.0672,2023-04-16,Greater New England Dev College Mens CC 2022,0,7,11,-466.89,-4,1144.17,652.09,677.2800000000001,650.4,677.2800000000001,45.513216,Vermont-B,14
193,Vermont-C,Loss 5-11,-31.62,Counts,0.0634,2023-04-16,Greater New England Dev College Mens CC 2022,0,5,11,-600,-6,786.67,685.4,186.66999999999996,717.02,186.66999999999996,11.834877999999996,Vermont-B,15
104,Brown-B,Loss 9-10,27.12,Counts,0.0691,2023-04-17,Greater New England Dev College Mens CC 2022,0,9,10,-125,-1,1144.17,626.66,1019.1700000000001,599.54,1019.1700000000001,70.424647,Vermont-B,16
240,Dartmouth-B,Win 13-3,43.09,Counts,0.0691,2023-04-17,Greater New England Dev College Mens CC 2022,1,13,3,600,10,634.41,610.69,1234.4099999999999,567.6,1234.4099999999999,85.29773099999998,Vermont-B,17
193,Vermont-C,Loss 11-13,-7.12,Counts,0.0691,2023-04-17,Greater New England Dev College Mens CC 2022,0,11,13,-228.84,-2,786.67,660.9,557.8299999999999,668.02,557.8299999999999,38.54605299999999,Vermont-B,18
