OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
339,SUNY Binghamton-B,Win 13-4,0,Ignored,0,2023-03-26,New York Invite,1,13,4,600,9,90,786.67,690,786.67,0,0,Vermont-C,1
276,Connecticut-B,Win 13-7,16.56,Counts,0.0675,2023-03-26,New York Invite,1,13,7,557.53,6,457.84,770.11,1015.3699999999999,753.5500000000001,1015.3699999999999,68.537475,Vermont-C,2
351,Cornell-B,Win 13-3,0,Ignored,0,2023-03-26,New York Invite,1,13,3,600,10,52.51,786.67,652.51,786.67,0,0,Vermont-C,3
369,SUNY-Albany-B,Win 13-0,0,Ignored,0,2023-03-26,New York Invite,1,13,0,600,13,388.05,786.67,988.05,786.67,0,0,Vermont-C,4
132,Ithaca,Loss 8-11,-9.33,Counts,0.0675,2023-03-27,New York Invite,0,8,11,-365.61,-3,1023.44,796,657.83,805.33,657.83,44.40352500000001,Vermont-C,5
234,Amherst,Win 10-9,-0.43,Counts,0.0675,2023-03-27,New York Invite,1,10,9,125,1,655.72,787.1,780.72,787.53,780.72,52.698600000000006,Vermont-C,6
248,Worcester Polytechnic Institute,Loss 8-9,-20.51,Counts,0.0639,2023-03-27,New York Invite,0,8,9,-125,-1,611.08,807.18,486.08000000000004,827.6899999999999,486.08000000000004,31.060512000000003,Vermont-C,7
192,Rowan,Loss 7-13,-42.85,Counts,0.07150000000000001,2023-04-02,Northeast Classic,0,7,13,-557.53,-6,788.03,829.52,230.5,872.37,230.5,16.48075,Vermont-C,8
138,Bowdoin,Loss 6-11,-25.21,Counts,0.0677,2023-04-02,Northeast Classic,0,6,11,-546.69,-5,986.01,811.88,439.31999999999994,837.09,439.31999999999994,29.741963999999992,Vermont-C,9
183,Wesleyan,Win 11-8,30.42,Counts,0.07150000000000001,2023-04-02,Northeast Classic,1,11,8,365.61,3,815.88,756.25,1181.49,725.83,1181.49,84.47653500000001,Vermont-C,10
184,Massachusetts-C,Loss 6-12,-41.42,Counts,0.0696,2023-04-03,Northeast Classic,0,6,12,-579.31,-6,812.41,828.09,233.10000000000002,869.51,233.10000000000002,16.223760000000002,Vermont-C,11
247,SUNY-Albany,Win 13-6,32.84,Counts,0.07150000000000001,2023-04-03,Northeast Classic,1,13,6,600,7,612.9,753.83,1212.9,720.99,1212.9,86.72235000000002,Vermont-C,12
217,SUNY-Geneseo,Win 10-9,2.91,Counts,0.07150000000000001,2023-04-03,Northeast Classic,1,10,9,125,1,699.49,783.76,824.49,780.85,824.49,58.951035000000005,Vermont-C,13
104,Brown-B,Loss 9-10,20.3,Counts,0.0803,2023-04-16,Greater New England Dev College Mens CC 2022,0,9,10,-125,-1,1144.17,766.37,1019.1700000000001,746.07,1019.1700000000001,81.83935100000001,Vermont-C,14
235,Vermont-B,Win 11-5,37.15,Counts,0.0737,2023-04-16,Greater New England Dev College Mens CC 2022,1,11,5,600,6,653.78,749.52,1253.78,712.37,1253.78,92.403586,Vermont-C,15
184,Massachusetts-C,Loss 8-9,-8.16,Counts,0.0759,2023-04-17,Greater New England Dev College Mens CC 2022,0,8,9,-125,-1,812.41,794.83,687.41,802.99,687.41,52.17441899999999,Vermont-C,16
235,Vermont-B,Win 13-11,8.38,Counts,0.0803,2023-04-17,Greater New England Dev College Mens CC 2022,1,13,11,228.84,2,653.78,778.29,882.62,769.91,882.62,70.874386,Vermont-C,17
