OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
24,Ohio State,Win 10-9,-2.43,Counts,0.021,2023-02-12,Queen City Tune Up 2022,1,10,9,125,1,1662.49,1903.45,1787.49,1905.88,1787.49,37.537290000000006,Vermont,1
51,Penn State,Win 13-3,3.18,Counts,0.021,2023-02-12,Queen City Tune Up 2022,1,13,3,600,10,1449.51,1897.83,2049.51,1894.6499999999999,2049.51,43.03971000000001,Vermont,2
14,North Carolina State,Win 10-8,3.95,Counts,0.0204,2023-02-12,Queen City Tune Up 2022,1,10,8,262.67,2,1827.64,1897.07,2090.31,1893.12,2090.31,42.642324,Vermont,3
2,North Carolina,Loss 7-14,-6.53,Counts,0.021,2023-02-13,Queen City Tune Up 2022,0,7,14,-582.89,-7,2179.26,1907.54,1596.3700000000003,1914.07,1596.3700000000003,33.523770000000006,Vermont,4
41,North Carolina-Charlotte,Win 15-10,1.31,Counts,0.021,2023-02-13,Queen City Tune Up 2022,1,15,10,453.6,5,1508.52,1899.71,1962.12,1898.4,1962.12,41.20452,Vermont,5
62,Carnegie Mellon,Win 15-8,1.18,Counts,0.0235,2023-02-26,Easterns Qualifiers 2022,1,15,8,564.81,7,1384.97,1899.84,1949.78,1898.6599999999999,1949.78,45.819829999999996,Vermont,6
42,South Carolina,Win 15-8,3.81,Counts,0.0235,2023-02-26,Easterns Qualifiers 2022,1,15,8,564.81,7,1494.37,1897.2,2059.18,1893.39,2059.18,48.39073,Vermont,7
67,James Madison,Win 15-9,-1.07,Counts,0.0235,2023-02-26,Easterns Qualifiers 2022,1,15,9,515.48,6,1340.98,1902.09,1856.46,1903.1599999999999,1856.46,43.62681,Vermont,8
23,Duke,Win 15-7,8.91,Counts,0.0235,2023-02-27,Easterns Qualifiers 2022,1,15,7,600,8,1670.4,1892.11,2270.4,1883.1999999999998,2270.4,53.354400000000005,Vermont,9
41,North Carolina-Charlotte,Win 15-14,-6.45,Counts,0.0235,2023-02-27,Easterns Qualifiers 2022,1,15,14,125,1,1508.52,1907.47,1633.52,1913.92,1633.52,38.38772,Vermont,10
27,William & Mary,Win 15-11,2.31,Counts,0.0235,2023-02-27,Easterns Qualifiers 2022,1,15,11,381.16,4,1615.6,1898.71,1996.76,1896.4,1996.76,46.92386,Vermont,11
22,Carleton College,Win 13-11,0.02,Counts,0.027999999999999997,2023-03-19,Missouri Loves Company MLC,1,13,11,228.84,2,1672.93,1900.99,1901.77,1900.97,1901.77,53.249559999999995,Vermont,12
4,Brigham Young,Loss 7-13,-12.08,Counts,0.027999999999999997,2023-03-19,Missouri Loves Company MLC,0,7,13,-557.53,-6,2039.12,1913.1,1481.59,1925.1799999999998,1481.59,41.484519999999996,Vermont,13
52,Indiana,Win 12-7,1.75,Counts,0.027999999999999997,2023-03-19,Missouri Loves Company MLC,1,12,7,520.51,5,1441.23,1899.27,1961.74,1897.52,1961.74,54.92871999999999,Vermont,14
12,Northeastern,Loss 9-10,-5.37,Counts,0.027999999999999997,2023-03-19,Missouri Loves Company MLC,0,9,10,-125,-1,1839.64,1906.38,1714.64,1911.75,1714.64,48.00992,Vermont,15
16,Michigan,Loss 13-14,-6.29,Counts,0.027999999999999997,2023-03-20,Missouri Loves Company MLC,0,13,14,-125,-1,1807.83,1907.3,1682.83,1913.59,1682.83,47.11923999999999,Vermont,16
13,Minnesota,Win 15-8,14.35,Counts,0.027999999999999997,2023-03-20,Missouri Loves Company MLC,1,15,8,564.81,7,1834.48,1886.66,2399.29,1872.3100000000002,2399.29,67.18011999999999,Vermont,17
64,Northwestern,Win 15-4,1.95,Counts,0.027999999999999997,2023-03-20,Missouri Loves Company MLC,1,15,4,600,11,1368.8,1899.06,1968.8,1897.11,1968.8,55.12639999999999,Vermont,18
86,Maine,Win 13-5,0,Ignored,0,2023-04-16,Greater New England D I College Mens CC 2022,1,13,5,600,8,1230.11,1901.02,1830.11,1901.02,0,0,Vermont,19
252,New Hampshire,Win 13-1,0,Ignored,0,2023-04-16,Greater New England D I College Mens CC 2022,1,13,1,600,12,602.58,1901.02,1202.58,1901.02,0,0,Vermont,20
1,Brown,Loss 7-13,-9.1,Counts,0.0353,2023-04-16,Greater New England D I College Mens CC 2022,0,7,13,-557.53,-6,2209.79,1910.11,1652.26,1919.2099999999998,1652.26,58.324777999999995,Vermont,21
7,Massachusetts,Win 12-9,13.92,Counts,0.0353,2023-04-17,Greater New England D I College Mens CC 2022,1,12,9,345.37,3,1936.21,1887.1,2281.58,1873.1799999999998,2281.58,80.539774,Vermont,22
1,Brown,Loss 6-15,-10.65,Counts,0.0353,2023-04-17,Greater New England D I College Mens CC 2022,0,6,15,-600,-9,2209.79,1911.67,1609.79,1922.3200000000002,1609.79,56.825587,Vermont,23
56,Dartmouth,Win 15-3,4.34,Counts,0.0353,2023-04-17,Greater New England D I College Mens CC 2022,1,15,3,600,12,1419.57,1896.68,2019.57,1892.3400000000001,2019.57,71.290821,Vermont,24
7,Massachusetts,Win 11-8,17.55,Counts,0.042,2023-05-07,New England D I College Mens Regionals 2022,1,11,8,365.61,3,1936.21,1883.46,2301.82,1865.91,2301.82,96.67644000000001,Vermont,25
75,Boston College,Win 13-5,0,Ignored,0,2023-05-07,New England D I College Mens Regionals 2022,1,13,5,600,8,1276.09,1901.02,1876.09,1901.02,0,0,Vermont,26
185,Northeastern-B,Win 13-4,0,Ignored,0,2023-05-07,New England D I College Mens Regionals 2022,1,13,4,600,9,810.14,1901.02,1410.1399999999999,1901.02,0,0,Vermont,27
18,Tufts,Win 13-7,16.3,Counts,0.042,2023-05-07,New England D I College Mens Regionals 2022,1,13,7,557.53,6,1715.78,1884.71,2273.31,1868.41,2273.31,95.47902,Vermont,28
1,Brown,Loss 9-15,-9.05,Counts,0.042,2023-05-08,New England D I College Mens Regionals 2022,0,9,15,-515.48,-6,2209.79,1910.07,1694.31,1919.12,1694.31,71.16102000000001,Vermont,29
12,Northeastern,Win 15-8,22.05,Counts,0.042,2023-05-08,New England D I College Mens Regionals 2022,1,15,8,564.81,7,1839.64,1878.97,2404.45,1856.92,2404.45,100.9869,Vermont,30
24,Ohio State,Win 14-11,3.93,Counts,0.0499,2023-05-27,2022 D I College Championships,1,14,11,313.34,3,1662.49,1897.09,1975.83,1893.1599999999999,1975.83,98.59391699999999,Vermont,31
2,North Carolina,Loss 11-15,-5.4,Counts,0.0499,2023-05-27,2022 D I College Championships,0,11,15,-381.16,-4,2179.26,1906.42,1798.1000000000001,1911.8200000000002,1798.1000000000001,89.72519000000001,Vermont,32
13,Minnesota,Loss 10-15,-27.31,Counts,0.0499,2023-05-28,2022 D I College Championships,0,10,15,-453.6,-5,1834.48,1928.33,1380.88,1955.6399999999999,1380.88,68.905912,Vermont,33
10,California,Loss 11-14,-19.15,Counts,0.0499,2023-05-28,2022 D I College Championships,0,11,14,-313.34,-3,1849.7,1920.16,1536.3600000000001,1939.3100000000002,1536.3600000000001,76.664364,Vermont,34
21,Wisconsin,Win 15-13,-0.38,Counts,0.0499,2023-05-28,2022 D I College Championships,1,15,13,214.18,2,1679.64,1901.39,1893.8200000000002,1901.7700000000002,1893.8200000000002,94.50161800000001,Vermont,35
