OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
111,Georgia State,Win 12-11,-2.22,Counts,0.023,2023-02-05,Warm Up 2022,1,12,11,125,1,1110.77,1332.19,1235.77,1334.41,1235.77,28.42271,Virginia Tech,1
89,Central Florida,Win 13-6,11.25,Counts,0.023,2023-02-05,Warm Up 2022,1,13,6,600,7,1207.83,1318.71,1807.83,1307.46,1807.83,41.58009,Virginia Tech,2
1,Brown,Loss 8-13,9.04,Counts,0.023,2023-02-05,Warm Up 2022,0,8,13,-496.16,-5,2209.79,1320.93,1713.6299999999999,1311.89,1713.6299999999999,39.413489999999996,Virginia Tech,3
7,Massachusetts,Loss 5-12,0,Ignored,0,2023-02-05,Warm Up 2022,0,5,12,-600,-7,1936.21,1329.97,1336.21,1329.97,0,0,Virginia Tech,4
114,Florida State,Loss 9-12,-13.61,Counts,0.023,2023-02-05,Warm Up 2022,0,9,12,-345.37,-3,1097.48,1343.58,752.11,1357.1899999999998,752.11,17.29853,Virginia Tech,5
4,Brigham Young,Loss 8-13,5.02,Counts,0.023,2023-02-05,Warm Up 2022,0,8,13,-496.16,-5,2039.12,1324.95,1542.9599999999998,1319.93,1542.9599999999998,35.48808,Virginia Tech,6
158,South Florida,Win 13-8,1.97,Counts,0.023,2023-02-05,Warm Up 2022,1,13,8,496.16,5,917.32,1328,1413.48,1326.03,1413.48,32.51004,Virginia Tech,7
106,LSU,Win 15-13,0.61,Counts,0.023,2023-02-05,Warm Up 2022,1,15,13,214.18,2,1141.7,1329.36,1355.88,1328.75,1355.88,31.18524,Virginia Tech,8
52,Indiana,Loss 11-13,-3.31,Counts,0.0274,2023-02-26,Easterns Qualifiers 2022,0,11,13,-228.84,-2,1441.23,1333.28,1212.39,1336.59,1212.39,33.219486,Virginia Tech,9
44,Georgia Tech,Loss 11-12,0.96,Counts,0.0274,2023-02-26,Easterns Qualifiers 2022,0,11,12,-125,-1,1489.18,1329.01,1364.18,1328.05,1364.18,37.378532,Virginia Tech,10
23,Duke,Loss 9-15,-4.92,Counts,0.0274,2023-02-26,Easterns Qualifiers 2022,0,9,15,-515.48,-6,1670.4,1334.89,1154.92,1339.8100000000002,1154.92,31.644808,Virginia Tech,11
62,Carnegie Mellon,Loss 8-15,-14.34,Counts,0.0274,2023-02-27,Easterns Qualifiers 2022,0,8,15,-564.81,-7,1384.97,1344.31,820.1600000000001,1358.6499999999999,820.1600000000001,22.472384,Virginia Tech,12
207,Clemson,Win 15-8,-1.19,Counts,0.0274,2023-02-27,Easterns Qualifiers 2022,1,15,8,564.81,7,722.7,1331.16,1287.51,1332.3500000000001,1287.51,35.277774,Virginia Tech,13
93,Harvard,Loss 10-14,-15.1,Counts,0.0274,2023-02-27,Easterns Qualifiers 2022,0,10,14,-398.7,-4,1191.89,1345.07,793.19,1360.1699999999998,793.19,21.733406000000002,Virginia Tech,14
22,Carleton College,Loss 8-12,-3.72,Counts,0.0365,2023-04-02,Easterns 2022,0,8,12,-441.15,-4,1672.93,1333.69,1231.7800000000002,1337.41,1231.7800000000002,44.959970000000006,Virginia Tech,15
14,North Carolina State,Loss 9-13,3,Counts,0.0365,2023-04-02,Easterns 2022,0,9,13,-418.57,-4,1827.64,1326.97,1409.0700000000002,1323.97,1409.0700000000002,51.431055,Virginia Tech,16
6,Cal Poly-SLO,Loss 10-13,12.42,Counts,0.0365,2023-04-02,Easterns 2022,0,10,13,-328.14,-3,1985.66,1317.55,1657.52,1305.1299999999999,1657.52,60.49948,Virginia Tech,17
12,Northeastern,Loss 5-13,-3.42,Counts,0.0365,2023-04-02,Easterns 2022,0,5,13,-600,-8,1839.64,1333.39,1239.64,1336.8100000000002,1239.64,45.24686,Virginia Tech,18
65,Temple,Loss 9-14,-16.84,Counts,0.0365,2023-04-03,Easterns 2022,0,9,14,-473.87,-5,1359.72,1346.8,885.85,1363.6399999999999,885.85,32.333525,Virginia Tech,19
21,Wisconsin,Loss 9-15,-6.29,Counts,0.0365,2023-04-03,Easterns 2022,0,9,15,-515.48,-6,1679.64,1336.25,1164.16,1342.54,1164.16,42.49184,Virginia Tech,20
239,Radford,Win 13-4,0,Ignored,0,2023-04-23,Virginia D I College Mens CC 2022,1,13,4,600,9,639.15,1329.97,1239.15,1329.97,0,0,Virginia Tech,21
157,Liberty,Win 13-6,9.05,Counts,0.0434,2023-04-23,Virginia D I College Mens CC 2022,1,13,6,600,7,929.3,1320.92,1529.3,1311.8700000000001,1529.3,66.37162,Virginia Tech,22
37,Virginia,Loss 10-11,2.72,Counts,0.0434,2023-04-23,Virginia D I College Mens CC 2022,0,10,11,-125,-1,1514.83,1327.25,1389.83,1324.53,1389.83,60.318622,Virginia Tech,23
118,Virginia Commonwealth,Win 13-8,11.28,Counts,0.0434,2023-04-23,Virginia D I College Mens CC 2022,1,13,8,496.16,5,1082.14,1318.69,1578.3000000000002,1307.41,1578.3000000000002,68.49822,Virginia Tech,24
67,James Madison,Win 15-7,27.74,Counts,0.0434,2023-04-24,Virginia D I College Mens CC 2022,1,15,7,600,8,1340.98,1302.22,1940.98,1274.48,1940.98,84.238532,Virginia Tech,25
27,William & Mary,Loss 12-15,-0.67,Counts,0.0434,2023-04-24,Virginia D I College Mens CC 2022,0,12,15,-300.49,-3,1615.6,1330.64,1315.11,1331.3100000000002,1315.11,57.075773999999996,Virginia Tech,26
118,Virginia Commonwealth,Win 15-6,15.99,Counts,0.0434,2023-04-24,Virginia D I College Mens CC 2022,1,15,6,600,9,1082.14,1313.98,1682.14,1297.99,1682.14,73.00487600000001,Virginia Tech,27
42,South Carolina,Loss 9-13,-13.03,Counts,0.048799999999999996,2023-05-07,Atlantic Coast D I College Mens Regionals 2022,0,9,13,-418.57,-4,1494.37,1343,1075.8,1356.03,1075.8,52.499039999999994,Virginia Tech,28
73,Delaware,Loss 12-13,-8.8,Counts,0.048799999999999996,2023-05-07,Atlantic Coast D I College Mens Regionals 2022,0,12,13,-125,-1,1283.29,1338.77,1158.29,1347.57,1158.29,56.52455199999999,Virginia Tech,29
37,Virginia,Loss 12-13,3.07,Counts,0.048799999999999996,2023-05-07,Atlantic Coast D I College Mens Regionals 2022,0,12,13,-125,-1,1514.83,1326.9,1389.83,1323.8300000000002,1389.83,67.82370399999999,Virginia Tech,30
118,Virginia Commonwealth,Win 13-12,-6.3,Counts,0.048799999999999996,2023-05-07,Atlantic Coast D I College Mens Regionals 2022,1,13,12,125,1,1082.14,1336.26,1207.14,1342.56,1207.14,58.908432,Virginia Tech,31
