OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
16,Michigan,Loss 5-12,-7.59,Counts,0.0241,2023-02-12,Queen City Tune Up 2022,0,5,12,-600,-7,1807.83,1522.43,1207.83,1530.02,1207.83,29.108703,Virginia,1
62,Carnegie Mellon,Win 11-6,10.16,Counts,0.023799999999999998,2023-02-12,Queen City Tune Up 2022,1,11,6,546.69,5,1384.97,1504.67,1931.66,1494.51,1931.66,45.973507999999995,Virginia,2
30,North Carolina-Wilmington,Win 11-7,13.72,Counts,0.0245,2023-02-12,Queen City Tune Up 2022,1,11,7,466.89,4,1594.83,1501.11,2061.72,1487.3899999999999,2061.72,50.512139999999995,Virginia,3
25,Maryland,Loss 10-12,-2.45,Counts,0.0252,2023-02-13,Queen City Tune Up 2022,0,10,12,-238.12,-2,1657.91,1517.28,1419.79,1519.73,1419.79,35.778708,Virginia,4
48,Case Western Reserve,Win 13-12,1.92,Counts,0.0252,2023-02-13,Queen City Tune Up 2022,1,13,12,125,1,1464.33,1512.91,1589.33,1510.99,1589.33,40.051116,Virginia,5
41,North Carolina-Charlotte,Loss 8-15,-14.73,Counts,0.0252,2023-02-13,Queen City Tune Up 2022,0,8,15,-564.81,-7,1508.52,1529.57,943.71,1544.3,943.71,23.781492,Virginia,6
67,James Madison,Win 15-9,9.92,Counts,0.0282,2023-02-26,Easterns Qualifiers 2022,1,15,9,515.48,6,1340.98,1504.91,1856.46,1494.99,1856.46,52.352172,Virginia,7
93,Harvard,Win 15-12,-0.65,Counts,0.0282,2023-02-26,Easterns Qualifiers 2022,1,15,12,300.49,3,1191.89,1515.48,1492.38,1516.13,1492.38,42.085116,Virginia,8
57,Alabama,Win 14-13,0.7,Counts,0.0282,2023-02-26,Easterns Qualifiers 2022,1,14,13,125,1,1414,1514.13,1539,1513.43,1539,43.3998,Virginia,9
27,William & Mary,Loss 10-15,-10.25,Counts,0.0282,2023-02-26,Easterns Qualifiers 2022,0,10,15,-453.6,-5,1615.6,1525.08,1162,1535.33,1162,32.7684,Virginia,10
46,Cincinnati,Loss 12-13,-4.58,Counts,0.0282,2023-02-27,Easterns Qualifiers 2022,0,12,13,-125,-1,1482.34,1519.41,1357.34,1523.99,1357.34,38.276987999999996,Virginia,11
23,Duke,Loss 11-14,-4.58,Counts,0.0282,2023-02-27,Easterns Qualifiers 2022,0,11,14,-313.34,-3,1670.4,1519.42,1357.0600000000002,1524,1357.0600000000002,38.269092,Virginia,12
41,North Carolina-Charlotte,Win 11-5,15.79,Counts,0.0259,2023-02-27,Easterns Qualifiers 2022,1,11,5,600,6,1508.52,1499.04,2108.52,1483.25,2108.52,54.610668,Virginia,13
157,Liberty,Win 15-9,-2.74,Counts,0.0377,2023-04-02,Atlantic Coast Open,1,15,9,515.48,6,929.3,1517.58,1444.78,1520.32,1444.78,54.468205999999995,Virginia,14
51,Penn State,Win 15-11,12.37,Counts,0.0377,2023-04-02,Atlantic Coast Open,1,15,11,381.16,4,1449.51,1502.46,1830.67,1490.0900000000001,1830.67,69.01625899999999,Virginia,15
153,Johns Hopkins,Win 15-3,1.51,Counts,0.0377,2023-04-02,Atlantic Coast Open,1,15,3,600,12,953.29,1513.33,1553.29,1511.82,1553.29,58.55903299999999,Virginia,16
351,Cornell-B,Win 15-1,0,Ignored,0,2023-04-02,Atlantic Coast Open,1,15,1,600,14,52.51,1514.83,652.51,1514.83,0,0,Virginia,17
51,Penn State,Loss 11-13,-11.52,Counts,0.0377,2023-04-03,Atlantic Coast Open,0,11,13,-228.84,-2,1449.51,1526.35,1220.67,1537.87,1220.67,46.019259,Virginia,18
100,Lehigh,Win 15-4,9.38,Counts,0.0377,2023-04-03,Atlantic Coast Open,1,15,4,600,11,1154.27,1505.46,1754.27,1496.08,1754.27,66.13597899999999,Virginia,19
136,American,Win 15-8,2.46,Counts,0.0377,2023-04-03,Atlantic Coast Open,1,15,8,564.81,7,1012.78,1512.38,1577.59,1509.92,1577.59,59.475142999999996,Virginia,20
239,Radford,Win 13-5,0,Ignored,0,2023-04-23,Virginia D I College Mens CC 2022,1,13,5,600,8,639.15,1514.83,1239.15,1514.83,0,0,Virginia,21
238,George Mason,Win 13-1,0,Ignored,0,2023-04-23,Virginia D I College Mens CC 2022,1,13,1,600,12,645.39,1514.83,1245.3899999999999,1514.83,0,0,Virginia,22
118,Virginia Commonwealth,Win 13-7,5.86,Counts,0.044800000000000006,2023-04-23,Virginia D I College Mens CC 2022,1,13,7,557.53,6,1082.14,1508.98,1639.67,1503.1200000000001,1639.67,73.45721600000002,Virginia,23
69,Virginia Tech,Win 11-10,-2.81,Counts,0.044800000000000006,2023-04-23,Virginia D I College Mens CC 2022,1,11,10,125,1,1329.97,1517.64,1454.97,1520.45,1454.97,65.18265600000001,Virginia,24
