OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
87,Richmond,Win 10-7,20.83,Counts,0.0259,2023-02-19,Commonwealth Cup Weekend 1,1,10,7,389.67,3,1221.1,807.77,1610.77,786.9399999999999,1610.77,41.718942999999996,West Virginia,1
262,Pittsburgh-B,Win 9-3,7.06,Counts,0.0227,2023-02-19,Commonwealth Cup Weekend 1,1,9,3,600,6,532.82,821.54,1132.8200000000002,814.48,1132.8200000000002,25.715014000000004,West Virginia,2
119,Connecticut,Win 8-7,9.41,Counts,0.024399999999999998,2023-02-19,Commonwealth Cup Weekend 1,1,8,7,125,1,1080.53,819.18,1205.53,809.77,1205.53,29.414931999999997,West Virginia,3
157,Liberty,Win 9-7,9.81,Counts,0.0252,2023-02-20,Commonwealth Cup Weekend 1,1,9,7,279.34,2,929.3,818.79,1208.6399999999999,808.98,1208.6399999999999,30.457727999999996,West Virginia,4
188,Mary Washington,Loss 12-13,-4.38,Counts,0.0274,2023-02-20,Commonwealth Cup Weekend 1,0,12,13,-125,-1,798.38,832.97,673.38,837.35,673.38,18.450612,West Virginia,5
64,Northwestern,Loss 7-15,-1.69,Counts,0.0274,2023-02-20,Commonwealth Cup Weekend 1,0,7,15,-600,-8,1368.8,830.28,768.8,831.97,768.8,21.06512,West Virginia,6
170,Ohio,Loss 9-10,-2.36,Counts,0.0308,2023-03-05,Huckin in the Hills,0,9,10,-125,-1,879.22,830.96,754.22,833.32,754.22,23.229976,West Virginia,7
145,SUNY-Buffalo,Loss 9-13,-8.84,Counts,0.0308,2023-03-05,Huckin in the Hills,0,9,13,-418.57,-4,968.61,837.44,550.04,846.2800000000001,550.04,16.941232,West Virginia,8
115,Miami (Ohio),Loss 6-15,-10.67,Counts,0.0308,2023-03-06,Huckin in the Hills,0,6,15,-600,-9,1092.5,839.27,492.5,849.9399999999999,492.5,15.169,West Virginia,9
170,Ohio,Win 11-6,17.91,Counts,0.0291,2023-03-06,Huckin in the Hills,1,11,6,546.69,5,879.22,810.69,1425.91,792.7800000000001,1425.91,41.493981000000005,West Virginia,10
285,Akron,Win 15-3,5.41,Counts,0.0308,2023-03-06,Huckin in the Hills,1,15,3,600,12,398.95,823.19,998.95,817.7800000000001,998.95,30.767660000000003,West Virginia,11
156,Rhode Island,Loss 8-10,-6.13,Counts,0.0377,2023-04-02,Fuego,0,8,10,-262.67,-2,934.93,834.73,672.26,840.86,672.26,25.344202,West Virginia,12
199,Air Force,Win 10-8,7.72,Counts,0.0377,2023-04-02,Fuego,1,10,8,262.67,2,762.71,820.88,1025.38,813.16,1025.38,38.656826,West Virginia,13
76,Columbia,Loss 9-13,0.69,Counts,0.0388,2023-04-02,Fuego,0,9,13,-418.57,-4,1264.23,827.91,845.6600000000001,827.2199999999999,845.6600000000001,32.81160800000001,West Virginia,14
154,NYU,Loss 8-9,-0.12,Counts,0.036699999999999997,2023-04-02,Fuego,0,8,9,-125,-1,950.57,828.71,825.57,828.83,825.57,30.298419,West Virginia,15
156,Rhode Island,Loss 3-15,-19.91,Counts,0.0388,2023-04-03,Fuego,0,3,15,-600,-12,934.93,848.51,334.92999999999995,868.42,334.92999999999995,12.995283999999998,West Virginia,16
199,Air Force,Win 10-9,2.38,Counts,0.0388,2023-04-03,Fuego,1,10,9,125,1,762.71,826.21,887.71,823.83,887.71,34.443148,West Virginia,17
76,Columbia,Loss 8-15,-5.21,Counts,0.0388,2023-04-03,Fuego,0,8,15,-564.81,-7,1264.23,833.81,699.4200000000001,839.02,699.4200000000001,27.137496000000002,West Virginia,18
62,Carnegie Mellon,Loss 2-13,-1.99,Counts,0.0435,2023-04-16,West Penn D I College Mens CC 2022,0,2,13,-600,-11,1384.97,830.58,784.97,832.57,784.97,34.146195,West Virginia,19
336,Slippery Rock,Win 13-6,-5.05,Counts,0.0435,2023-04-16,West Penn D I College Mens CC 2022,1,13,6,600,7,117.58,833.65,717.58,838.6999999999999,717.58,31.21473,West Virginia,20
51,Penn State,Loss 6-12,1.84,Counts,0.0424,2023-04-16,West Penn D I College Mens CC 2022,0,6,12,-579.31,-6,1449.51,826.75,870.2,824.91,870.2,36.896480000000004,West Virginia,21
5,Pittsburgh,Loss 4-13,0,Ignored,0,2023-04-16,West Penn D I College Mens CC 2022,0,4,13,-600,-9,1999.22,828.6,1399.22,828.6,0,0,West Virginia,22
62,Carnegie Mellon,Loss 5-15,-1.99,Counts,0.0435,2023-04-17,West Penn D I College Mens CC 2022,0,5,15,-600,-10,1384.97,830.58,784.97,832.57,784.97,34.146195,West Virginia,23
24,Ohio State,Loss 3-13,0,Ignored,0,2023-05-07,Ohio Valley D I College Mens Regionals 2022,0,3,13,-600,-10,1662.49,828.6,1062.49,828.6,0,0,West Virginia,24
98,Pennsylvania,Loss 1-13,-14.38,Counts,0.0518,2023-05-07,Ohio Valley D I College Mens Regionals 2022,0,1,13,-600,-12,1165.17,842.97,565.1700000000001,857.35,565.1700000000001,29.275806000000003,West Virginia,25
100,Lehigh,Loss 9-12,-1.07,Counts,0.0518,2023-05-07,Ohio Valley D I College Mens Regionals 2022,0,9,12,-345.37,-3,1154.27,829.67,808.9,830.74,808.9,41.901019999999995,West Virginia,26
170,Ohio,Loss 9-13,-20.08,Counts,0.0518,2023-05-08,Ohio Valley D I College Mens Regionals 2022,0,9,13,-418.57,-4,879.22,848.68,460.65000000000003,868.76,460.65000000000003,23.86167,West Virginia,27
242,Drexel,Win 10-8,3.18,Counts,0.0504,2023-05-08,Ohio Valley D I College Mens Regionals 2022,1,10,8,262.67,2,625.81,825.42,888.48,822.24,888.48,44.779392,West Virginia,28
251,Wright State,Win 11-6,16.69,Counts,0.049,2023-05-08,Ohio Valley D I College Mens Regionals 2022,1,11,6,546.69,5,606.03,811.91,1152.72,795.2199999999999,1152.72,56.48328,West Virginia,29
