OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
167,Loyola Marymount,Win 13-2,0,Ignored,0,2023-02-05,Stanford Open 2022,1,13,2,600,11,896.64,1510.39,1496.6399999999999,1510.39,0,0,Western Washington,1
280,Southern California-B,Win 13-2,0,Ignored,0,2023-02-05,Stanford Open 2022,1,13,2,600,11,445.42,1510.39,1045.42,1510.39,0,0,Western Washington,2
176,"California State University, Chico",Win 13-5,0,Ignored,0,2023-02-05,Stanford Open 2022,1,13,5,600,8,844.82,1510.39,1444.8200000000002,1510.39,0,0,Western Washington,3
36,California-Santa Cruz,Win 10-7,13.21,Counts,0.0317,2023-02-06,Stanford Open 2022,1,10,7,389.67,3,1524.13,1497.18,1913.8000000000002,1483.97,1913.8000000000002,60.667460000000005,Western Washington,4
208,Nevada-Reno,Win 11-4,0,Ignored,0,2023-02-06,Stanford Open 2022,1,11,4,600,7,722.46,1510.39,1322.46,1510.39,0,0,Western Washington,5
58,Stanford,Win 8-7,1.04,Counts,0.0375,2023-03-05,Stanford Invite 2022,1,8,7,125,1,1412.07,1509.35,1537.07,1508.31,1537.07,57.640125,Western Washington,6
81,Santa Clara,Win 8-5,6.77,Counts,0.0349,2023-03-05,Stanford Invite 2022,1,8,5,453.6,3,1243.95,1503.61,1697.5500000000002,1496.84,1697.5500000000002,59.24449500000001,Western Washington,7
47,Florida,Loss 11-12,-6.99,Counts,0.042199999999999994,2023-03-05,Stanford Invite 2022,0,11,12,-125,-1,1476.89,1517.37,1351.89,1524.36,1351.89,57.049758,Western Washington,8
18,Tufts,Loss 6-12,-16.02,Counts,0.041100000000000005,2023-03-05,Stanford Invite 2022,0,6,12,-579.31,-6,1715.78,1526.41,1136.47,1542.43,1136.47,46.70891700000001,Western Washington,9
11,Washington,Loss 6-13,-11.57,Counts,0.042199999999999994,2023-03-05,Stanford Invite 2022,0,6,13,-600,-7,1847.95,1521.96,1247.95,1533.53,1247.95,52.663489999999996,Western Washington,10
36,California-Santa Cruz,Loss 8-9,-4.63,Counts,0.039900000000000005,2023-03-06,Stanford Invite 2022,0,8,9,-125,-1,1524.13,1515.02,1399.13,1519.65,1399.13,55.82528700000001,Western Washington,11
47,Florida,Win 11-9,9.51,Counts,0.042199999999999994,2023-03-06,Stanford Invite 2022,1,11,9,249.21,2,1476.89,1500.88,1726.1000000000001,1491.3700000000001,1726.1000000000001,72.84142,Western Washington,12
19,Oregon,Win 13-11,27.14,Counts,0.059699999999999996,2023-04-16,Cascadia D I College Mens CC 2022,1,13,11,228.84,2,1709,1483.24,1937.84,1456.1,1937.84,115.68904799999999,Western Washington,13
38,Oregon State,Win 13-10,21.05,Counts,0.059699999999999996,2023-04-16,Cascadia D I College Mens CC 2022,1,13,10,328.14,3,1513.79,1489.33,1841.9299999999998,1468.28,1841.9299999999998,109.96322099999999,Western Washington,14
150,Portland State,Win 13-0,2.94,Counts,0.059699999999999996,2023-04-16,Cascadia D I College Mens CC 2022,1,13,0,600,13,956.75,1507.44,1556.75,1504.5,1556.75,92.937975,Western Washington,15
107,Washington-B,Win 13-2,14.3,Counts,0.059699999999999996,2023-04-16,Cascadia D I College Mens CC 2022,1,13,2,600,11,1135.5,1496.09,1735.5,1481.79,1735.5,103.60934999999999,Western Washington,16
19,Oregon,Loss 5-7,-6.45,Counts,0.0475,2023-04-17,Cascadia D I College Mens CC 2022,0,5,7,-328.14,-2,1709,1516.84,1380.8600000000001,1523.29,1380.8600000000001,65.59085,Western Washington,17
43,Victoria,Win 10-8,15.21,Counts,0.0581,2023-04-17,Cascadia D I College Mens CC 2022,1,10,8,262.67,2,1494.23,1495.18,1756.9,1479.97,1756.9,102.07589,Western Washington,18
11,Washington,Loss 6-13,-16.67,Counts,0.059699999999999996,2023-04-17,Cascadia D I College Mens CC 2022,0,6,13,-600,-7,1847.95,1527.05,1247.95,1543.72,1247.95,74.50261499999999,Western Washington,19
302,Idaho,Win 12-3,0,Ignored,0,2023-05-07,Northwest D I College Mens Regionals 2022,1,12,3,600,9,313.39,1510.39,913.39,1510.39,0,0,Western Washington,20
178,Montana State,Win 13-6,-5.5,Counts,0.071,2023-05-07,Northwest D I College Mens Regionals 2022,1,13,6,600,7,838.48,1515.88,1438.48,1521.38,1438.48,102.13207999999999,Western Washington,21
43,Victoria,Loss 4-13,-47.1,Counts,0.071,2023-05-07,Northwest D I College Mens Regionals 2022,0,4,13,-600,-9,1494.23,1557.48,894.23,1604.58,894.23,63.49032999999999,Western Washington,22
11,Washington,Loss 5-13,-20.06,Counts,0.071,2023-05-07,Northwest D I College Mens Regionals 2022,0,5,13,-600,-8,1847.95,1530.45,1247.95,1550.51,1247.95,88.60445,Western Washington,23
45,Utah,Win 13-10,23.25,Counts,0.071,2023-05-08,Northwest D I College Mens Regionals 2022,1,13,10,328.14,3,1486.48,1487.13,1814.62,1463.88,1814.62,128.83801999999997,Western Washington,24
