OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
165,MIT,Win 13-11,1.3,Counts,0.0239,2023-03-05,No Sleep Till Brooklyn 2022,1,13,11,228.84,2,898.08,1072.67,1126.92,1071.3700000000001,1126.92,26.933388000000004,Williams,1
119,Connecticut,Win 13-5,14.87,Counts,0.0239,2023-03-05,No Sleep Till Brooklyn 2022,1,13,5,600,8,1080.53,1059.09,1680.53,1044.22,1680.53,40.164667,Williams,2
309,SUNY-Binghamton-B,Win 13-5,0,Ignored,0,2023-03-05,No Sleep Till Brooklyn 2022,1,13,5,600,8,281.65,1073.97,881.65,1073.97,0,0,Williams,3
209,SUNY-Stony Brook,Win 11-8,0.18,Counts,0.0239,2023-03-05,No Sleep Till Brooklyn 2022,1,11,8,365.61,3,715.85,1073.78,1081.46,1073.6,1081.46,25.846894000000002,Williams,4
76,Columbia,Loss 11-12,1.6,Counts,0.0239,2023-03-06,No Sleep Till Brooklyn 2022,0,11,12,-125,-1,1264.23,1072.37,1139.23,1070.77,1139.23,27.227597000000003,Williams,5
154,NYU,Loss 10-12,-8.86,Counts,0.0239,2023-03-06,No Sleep Till Brooklyn 2022,0,10,12,-238.12,-2,950.57,1082.83,712.45,1091.6899999999998,712.45,17.027555000000003,Williams,6
154,NYU,Loss 5-10,-15.15,Counts,0.0213,2023-03-06,No Sleep Till Brooklyn 2022,0,5,10,-573.9,-5,950.57,1089.12,376.6700000000001,1104.27,376.6700000000001,8.023071000000002,Williams,7
362,American-B,Win 13-0,0,Ignored,0,2023-03-19,Oak Creek Invite,1,13,0,600,13,240.8,1073.97,840.8,1073.97,0,0,Williams,8
85,Cornell,Win 12-6,19.81,Counts,0.026099999999999998,2023-03-19,Oak Creek Invite,1,12,6,579.31,6,1232.33,1054.16,1811.6399999999999,1034.3500000000001,1811.6399999999999,47.283803999999996,Williams,9
41,North Carolina-Charlotte,Loss 6-13,-4.57,Counts,0.0269,2023-03-19,Oak Creek Invite,0,6,13,-600,-7,1508.52,1078.53,908.52,1083.1,908.52,24.439188,Williams,10
118,Virginia Commonwealth,Loss 8-9,-3.05,Counts,0.0254,2023-03-19,Oak Creek Invite,0,8,9,-125,-1,1082.14,1077.01,957.1400000000001,1080.06,957.1400000000001,24.311356,Williams,11
62,Carnegie Mellon,Loss 9-15,-5.65,Counts,0.0269,2023-03-20,Oak Creek Invite,0,9,15,-515.48,-6,1384.97,1079.61,869.49,1085.26,869.49,23.389281,Williams,12
59,Georgetown,Loss 8-11,-1,Counts,0.0269,2023-03-20,Oak Creek Invite,0,8,11,-365.61,-3,1403.18,1074.97,1037.5700000000002,1075.97,1037.5700000000002,27.910633000000004,Williams,13
311,Dickinson,Win 14-10,-11.94,Counts,0.0285,2023-03-26,Layout Pigout 2022,1,14,10,398.7,4,267.62,1085.91,666.3199999999999,1097.8500000000001,666.3199999999999,18.990119999999997,Williams,14
219,Swarthmore,Win 15-5,6.45,Counts,0.0285,2023-03-26,Layout Pigout 2022,1,15,5,600,10,694.16,1067.51,1294.1599999999999,1061.06,1294.1599999999999,36.883559999999996,Williams,15
148,Bates College,Win 15-14,0.29,Counts,0.0285,2023-03-27,Layout Pigout 2022,1,15,14,125,1,958.83,1073.68,1083.83,1073.39,1083.83,30.889155,Williams,16
284,Bentley,Win 15-5,0,Ignored,0,2023-03-27,Layout Pigout 2022,1,15,5,600,10,405.14,1073.97,1005.14,1073.97,0,0,Williams,17
356,Clark,Win 13-0,0,Ignored,0,2023-04-23,South New England D III College Mens CC 2022,1,13,0,600,13,134.02,1073.97,734.02,1073.97,0,0,Williams,18
187,Bryant,Win 13-7,10.66,Counts,0.0359,2023-04-23,South New England D III College Mens CC 2022,1,13,7,557.53,6,802.93,1063.31,1360.46,1052.6499999999999,1360.46,48.840514000000006,Williams,19
234,Amherst,Win 13-1,6.76,Counts,0.0359,2023-04-23,South New England D III College Mens CC 2022,1,13,1,600,12,655.72,1067.21,1255.72,1060.45,1255.72,45.080348,Williams,20
248,Worcester Polytechnic Institute,Win 13-7,3.52,Counts,0.0359,2023-04-23,South New England D III College Mens CC 2022,1,13,7,557.53,6,611.08,1070.45,1168.6100000000001,1066.93,1168.6100000000001,41.95309900000001,Williams,21
187,Bryant,Win 12-6,11.15,Counts,0.0349,2023-04-24,South New England D III College Mens CC 2022,1,12,6,579.31,6,802.93,1062.82,1382.2399999999998,1051.6699999999998,1382.2399999999998,48.24017599999999,Williams,22
35,Middlebury,Loss 7-13,-3.99,Counts,0.038,2023-04-30,New England D III College Mens Regionals 2022,0,7,13,-557.53,-6,1530.51,1077.95,972.98,1081.94,972.98,36.97324,Williams,23
284,Bentley,Win 13-6,-2.72,Counts,0.038,2023-04-30,New England D III College Mens Regionals 2022,1,13,6,600,7,405.14,1076.68,1005.14,1079.4,1005.14,38.195319999999995,Williams,24
187,Bryant,Win 13-5,12.99,Counts,0.038,2023-04-30,New England D III College Mens Regionals 2022,1,13,5,600,8,802.93,1060.97,1402.9299999999998,1047.98,1402.9299999999998,53.311339999999994,Williams,25
248,Worcester Polytechnic Institute,Win 13-3,5.41,Counts,0.038,2023-04-30,New England D III College Mens Regionals 2022,1,13,3,600,10,611.08,1068.55,1211.08,1063.1399999999999,1211.08,46.02104,Williams,26
35,Middlebury,Loss 7-15,-5.67,Counts,0.038,2023-05-01,New England D III College Mens Regionals 2022,0,7,15,-600,-8,1530.51,1079.63,930.51,1085.3000000000002,930.51,35.35938,Williams,27
146,Brandeis,Win 13-9,12.1,Counts,0.038,2023-05-01,New England D III College Mens Regionals 2022,1,13,9,418.57,4,961.68,1061.87,1380.25,1049.77,1380.25,52.4495,Williams,28
68,Colorado College,Loss 14-15,6.72,Counts,0.0452,2023-05-21,2022 D III College Championships,0,14,15,-125,-1,1340.93,1067.25,1215.93,1060.53,1215.93,54.960036,Williams,29
74,Navy,Loss 12-15,-4.6,Counts,0.0452,2023-05-21,2022 D III College Championships,0,12,15,-300.49,-3,1277.32,1078.56,976.8299999999999,1083.1599999999999,976.8299999999999,44.15271599999999,Williams,30
180,Connecticut College,Win 15-14,-5.71,Counts,0.0452,2023-05-21,2022 D III College Championships,1,15,14,125,1,828.33,1079.67,953.33,1085.38,953.33,43.090516,Williams,31
155,Grinnell,Loss 9-14,-28.32,Counts,0.0452,2023-05-22,2022 D III College Championships,0,9,14,-473.87,-5,949.42,1102.28,475.54999999999995,1130.6,475.54999999999995,21.494859999999996,Williams,32
99,Oberlin,Loss 11-13,-6.76,Counts,0.0452,2023-05-22,2022 D III College Championships,0,11,13,-228.84,-2,1159.9,1080.73,931.0600000000001,1087.49,931.0600000000001,42.083912,Williams,33
126,Claremont,Loss 13-14,-6.14,Counts,0.0452,2023-05-23,2022 D III College Championships,0,13,14,-125,-1,1069.19,1080.11,944.19,1086.25,944.19,42.677388,Williams,34
