OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
103,John Brown,Loss 5-10,2.33,Counts,0.044500000000000005,2023-03-05,Midwest Throwdown 2022,0,5,10,-573.9,-5,1148.73,522.34,574.83,520.01,574.83,25.579935000000006,Wisconsin-B,1
315,Knox,Win 7-6,-6.12,Counts,0.0414,2023-03-05,Midwest Throwdown 2022,1,7,6,125,1,257.91,530.79,382.91,536.91,382.91,15.852474,Wisconsin-B,2
64,Northwestern,Loss 2-13,0,Ignored,0,2023-03-05,Midwest Throwdown 2022,0,2,13,-600,-11,1368.8,524.67,768.8,524.67,0,0,Wisconsin-B,3
319,Northwestern-B,Win 9-4,13.5,Counts,0.0414,2023-03-05,Midwest Throwdown 2022,1,9,4,600,5,237.27,511.17,837.27,497.67,837.27,34.662977999999995,Wisconsin-B,4
322,Purdue-B,Win 9-8,-9.66,Counts,0.0473,2023-03-06,Midwest Throwdown 2022,1,9,8,125,1,205.19,534.33,330.19,543.99,330.19,15.617987000000001,Wisconsin-B,5
249,St John's,Loss 9-13,-17.51,Counts,0.05,2023-03-06,Midwest Throwdown 2022,0,9,13,-418.57,-4,610.8,542.18,192.22999999999996,559.6899999999999,192.22999999999996,9.6115,Wisconsin-B,6
164,Truman State,Loss 6-9,-2.09,Counts,0.044500000000000005,2023-03-06,Midwest Throwdown 2022,0,6,9,-418.57,-3,898.32,526.76,479.75000000000006,528.85,479.75000000000006,21.348875000000003,Wisconsin-B,7
169,Kansas,Win 8-7,27.37,Counts,0.0529,2023-03-26,Old Capital Open 2022,1,8,7,125,1,889.88,497.3,1014.88,469.93,1014.88,53.687152000000005,Wisconsin-B,8
147,Grace,Loss 6-9,1.02,Counts,0.0529,2023-03-26,Old Capital Open 2022,0,6,9,-418.57,-3,961.54,523.65,542.97,522.63,542.97,28.723113,Wisconsin-B,9
312,Washington University-B,Loss 6-7,-19.91,Counts,0.0492,2023-03-26,Old Capital Open 2022,0,6,7,-125,-1,265.15,544.58,140.14999999999998,564.49,140.14999999999998,6.895379999999999,Wisconsin-B,10
220,Minnesota-B,Loss 8-12,-17.22,Counts,0.059500000000000004,2023-03-27,Old Capital Open 2022,0,8,12,-441.15,-4,693.75,541.89,252.60000000000002,559.11,252.60000000000002,15.029700000000002,Wisconsin-B,11
263,Northern Iowa,Loss 9-11,-15.41,Counts,0.059500000000000004,2023-03-27,Old Capital Open 2022,0,9,11,-249.21,-2,530.43,540.08,281.2199999999999,555.49,281.2199999999999,16.732589999999995,Wisconsin-B,12
220,Minnesota-B,Win 11-9,33.91,Counts,0.075,2023-04-23,North Central Dev College Mens CC 2022,1,11,9,249.21,2,693.75,490.76,942.96,456.85,942.96,70.722,Wisconsin-B,13
346,Iowa State-B,Win 13-3,9.05,Counts,0.075,2023-04-23,North Central Dev College Mens CC 2022,1,13,3,600,10,36.25,515.62,636.25,506.57,636.25,47.71875,Wisconsin-B,14
376,Wisconsin-Milwaukee-B,Win 13-2,0,Ignored,0,2023-04-23,North Central Dev College Mens CC 2022,1,13,2,600,11,899.89,524.67,1499.8899999999999,524.67,0,0,Wisconsin-B,15
374,Wisconsin-Eau Claire-B,Win 13-2,0,Ignored,0,2023-04-23,North Central Dev College Mens CC 2022,1,13,2,600,11,481.32,524.67,1081.32,524.67,0,0,Wisconsin-B,16
291,Minnesota-C,Win 11-7,25.14,Counts,0.073,2023-04-24,North Central Dev College Mens CC 2022,1,11,7,466.89,4,377.11,499.53,844,474.39,844,61.611999999999995,Wisconsin-B,17
306,Carleton College-Karls,Loss 10-11,-28.79,Counts,0.075,2023-04-24,North Central Dev College Mens CC 2022,0,10,11,-125,-1,294.57,553.46,169.57,582.25,169.57,12.717749999999999,Wisconsin-B,18
84,Iowa,Loss 5-12,0,Ignored,0,2023-04-30,North Central D I College Mens Regionals 2022,0,5,12,-600,-7,1238.75,524.67,638.75,524.67,0,0,Wisconsin-B,19
95,Iowa State,Loss 8-13,14.01,Counts,0.0794,2023-04-30,North Central D I College Mens Regionals 2022,0,8,13,-496.16,-5,1183.14,510.66,686.98,496.65000000000003,686.98,54.546212,Wisconsin-B,20
133,Wisconsin-Milwaukee,Loss 6-13,-8.74,Counts,0.0794,2023-04-30,North Central D I College Mens Regionals 2022,0,6,13,-600,-7,1023.38,533.41,423.38,542.15,423.38,33.616372,Wisconsin-B,21
