OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
231,Messiah,Loss 7-13,-21.67,Counts,0.0351,2023-03-05,FCS D III Tune Up,0,7,13,-557.53,-6,664.18,723.93,106.64999999999998,745.5999999999999,106.64999999999998,3.7434149999999993,Wooster,1
87,Richmond,Loss 9-11,9.81,Counts,0.0351,2023-03-05,FCS D III Tune Up,0,9,11,-249.21,-2,1221.1,692.44,971.8899999999999,682.6300000000001,971.8899999999999,34.113338999999996,Wooster,2
174,Rochester,Loss 6-13,-16.46,Counts,0.0351,2023-03-05,FCS D III Tune Up,0,6,13,-600,-7,849.91,718.71,249.90999999999997,735.1700000000001,249.90999999999997,8.771840999999998,Wooster,3
110,Christopher Newport,Loss 9-13,-0.24,Counts,0.0351,2023-03-05,FCS D III Tune Up,0,9,13,-418.57,-4,1114.15,702.5,695.5800000000002,702.74,695.5800000000002,24.414858000000006,Wooster,4
74,Navy,Loss 7-13,0.64,Counts,0.0351,2023-03-06,FCS D III Tune Up,0,7,13,-557.53,-6,1277.32,701.61,719.79,700.97,719.79,25.264629,Wooster,5
181,Davidson,Win 11-9,13.59,Counts,0.0351,2023-03-06,FCS D III Tune Up,1,11,9,249.21,2,826.39,688.67,1075.6,675.0799999999999,1075.6,37.75355999999999,Wooster,6
99,Oberlin,Loss 8-12,0.6,Counts,0.0351,2023-03-06,FCS D III Tune Up,0,8,12,-441.15,-4,1159.9,701.65,718.7500000000001,701.05,718.7500000000001,25.228125000000002,Wooster,7
136,American,Loss 7-15,-13.4,Counts,0.044199999999999996,2023-04-02,Atlantic Coast Open,0,7,15,-600,-8,1012.78,715.65,412.78,729.05,412.78,18.244875999999998,Wooster,8
238,George Mason,Win 15-6,25.14,Counts,0.044199999999999996,2023-04-02,Atlantic Coast Open,1,15,6,600,9,645.39,677.11,1245.3899999999999,651.97,1245.3899999999999,55.04623799999999,Wooster,9
134,Tennessee,Win 13-11,25.2,Counts,0.044199999999999996,2023-04-02,Atlantic Coast Open,1,13,11,228.84,2,1017.86,677.05,1246.7,651.8499999999999,1246.7,55.104139999999994,Wooster,10
27,William & Mary,Loss 5-15,0,Ignored,0,2023-04-02,Atlantic Coast Open,0,5,15,-600,-10,1615.6,702.25,1015.5999999999999,702.25,0,0,Wooster,11
157,Liberty,Loss 9-14,-11.42,Counts,0.044199999999999996,2023-04-03,Atlantic Coast Open,0,9,14,-473.87,-5,929.3,713.68,455.42999999999995,725.0999999999999,455.42999999999995,20.130005999999995,Wooster,12
236,Shippensburg,Loss 14-15,-8.08,Counts,0.044199999999999996,2023-04-03,Atlantic Coast Open,0,14,15,-125,-1,652.75,710.33,527.75,718.4100000000001,527.75,23.326549999999997,Wooster,13
351,Cornell-B,Win 15-6,0,Ignored,0,2023-04-03,Atlantic Coast Open,1,15,6,600,9,52.51,702.25,652.51,702.25,0,0,Wooster,14
271,Cedarville,Win 12-10,1.77,Counts,0.049699999999999994,2023-04-16,Ohio D III College Mens CC 2022,1,12,10,238.12,2,498.09,700.48,736.21,698.71,736.21,36.589636999999996,Wooster,15
357,Ohio Wesleyan,Win 13-0,0,Ignored,0,2023-04-16,Ohio D III College Mens CC 2022,1,13,0,600,13,138.45,702.25,738.45,702.25,0,0,Wooster,16
211,Franciscan,Loss 9-13,-21.3,Counts,0.049699999999999994,2023-04-16,Ohio D III College Mens CC 2022,0,9,13,-418.57,-4,713.07,723.56,294.50000000000006,744.8599999999999,294.50000000000006,14.636650000000001,Wooster,17
206,Kenyon,Win 13-8,27.14,Counts,0.049699999999999994,2023-04-17,Ohio D III College Mens CC 2022,1,13,8,496.16,5,725.52,675.11,1221.68,647.97,1221.68,60.717496,Wooster,18
324,Xavier,Win 13-8,-0.86,Counts,0.049699999999999994,2023-04-17,Ohio D III College Mens CC 2022,1,13,8,496.16,5,189.69,703.11,685.85,703.97,685.85,34.086745,Wooster,19
271,Cedarville,Win 15-13,0.59,Counts,0.0557,2023-04-30,Ohio Valley D III College Mens Regionals 2022,1,15,13,214.18,2,498.09,701.66,712.27,701.0699999999999,712.27,39.673439,Wooster,20
358,Lehigh-B,Win 15-8,-16.85,Counts,0.0557,2023-04-30,Ohio Valley D III College Mens Regionals 2022,1,15,8,564.81,7,147.99,719.1,712.8,735.95,712.8,39.70296,Wooster,21
211,Franciscan,Loss 12-13,-6.74,Counts,0.0557,2023-04-30,Ohio Valley D III College Mens Regionals 2022,0,12,13,-125,-1,713.07,708.99,588.07,715.73,588.07,32.755499,Wooster,22
324,Xavier,Win 15-3,5.16,Counts,0.0557,2023-04-30,Ohio Valley D III College Mens Regionals 2022,1,15,3,600,12,189.69,697.09,789.69,691.9300000000001,789.69,43.985733,Wooster,23
237,Grove City,Win 14-11,15.28,Counts,0.0557,2023-05-01,Ohio Valley D III College Mens Regionals 2022,1,14,11,313.34,3,647.85,686.97,961.19,671.69,961.19,53.538283,Wooster,24
219,Swarthmore,Loss 11-12,-7.86,Counts,0.0557,2023-05-01,Ohio Valley D III College Mens Regionals 2022,0,11,12,-125,-1,694.16,710.11,569.16,717.97,569.16,31.702212,Wooster,25
