OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
240,Dartmouth-B,Win 10-9,-15.2,Counts,0.0466,2023-03-19,Jersey Devil,1,10,9,125,1,634.41,1085.33,759.41,1100.53,759.41,35.388506,Yale,1
314,Edinboro,Win 15-8,-12.09,Counts,0.0466,2023-03-19,Jersey Devil,1,15,8,564.81,7,258.18,1082.22,822.99,1094.31,822.99,38.351334,Yale,2
219,Swarthmore,Win 10-9,-12.28,Counts,0.0466,2023-03-19,Jersey Devil,1,10,9,125,1,694.16,1082.41,819.16,1094.69,819.16,38.172856,Yale,3
240,Dartmouth-B,Loss 10-11,-27.43,Counts,0.0466,2023-03-20,Jersey Devil,0,10,11,-125,-1,634.41,1097.57,509.40999999999997,1125,509.40999999999997,23.738506,Yale,4
96,RIT,Loss 9-10,-1.07,Counts,0.0524,2023-04-02,Northeast Classic,0,9,10,-125,-1,1175.71,1071.21,1050.71,1072.28,1050.71,55.057204000000006,Yale,5
252,New Hampshire,Win 10-6,1.44,Counts,0.048,2023-04-02,Northeast Classic,1,10,6,496.16,4,602.58,1068.69,1098.74,1067.25,1098.74,52.73952,Yale,6
234,Amherst,Win 13-7,7.91,Counts,0.0524,2023-04-02,Northeast Classic,1,13,7,557.53,6,655.72,1062.23,1213.25,1054.32,1213.25,63.5743,Yale,7
119,Connecticut,Win 10-7,20.84,Counts,0.0495,2023-04-02,Northeast Classic,1,10,7,389.67,3,1080.53,1049.29,1470.2,1028.45,1470.2,72.7749,Yale,8
184,Massachusetts-C,Win 12-6,17.27,Counts,0.051,2023-04-03,Northeast Classic,1,12,6,579.31,6,812.41,1052.86,1391.7199999999998,1035.59,1391.7199999999998,70.97771999999999,Yale,9
138,Bowdoin,Win 13-12,2.26,Counts,0.0524,2023-04-03,Northeast Classic,1,13,12,125,1,986.01,1067.87,1111.01,1065.61,1111.01,58.216924,Yale,10
217,SUNY-Geneseo,Win 12-3,12.13,Counts,0.050199999999999995,2023-04-03,Northeast Classic,1,12,3,600,9,699.49,1058,1299.49,1045.87,1299.49,65.234398,Yale,11
373,Sacred Heart,Win 15-4,0,Ignored,0,2023-04-09,Hudson Valley D I College Mens CC 2022,1,15,4,600,11,477.6,1070.13,1077.6,1070.13,0,0,Yale,12
247,SUNY-Albany,Win 13-6,8.38,Counts,0.0555,2023-04-09,Hudson Valley D I College Mens CC 2022,1,13,6,600,7,612.9,1061.75,1212.9,1053.37,1212.9,67.31595,Yale,13
254,Central Connecticut State,Win 12-6,5.9,Counts,0.054000000000000006,2023-04-09,Hudson Valley D I College Mens CC 2022,1,12,6,579.31,6,594.24,1064.23,1173.55,1058.33,1173.55,63.371700000000004,Yale,14
247,SUNY-Albany,Win 8-5,-0.17,Counts,0.045899999999999996,2023-04-10,Hudson Valley D I College Mens CC 2022,1,8,5,453.6,3,612.9,1070.31,1066.5,1070.48,1066.5,48.952349999999996,Yale,15
254,Central Connecticut State,Win 12-9,-9.22,Counts,0.066,2023-04-30,Metro East D I College Mens Regionals 2022,1,12,9,345.37,3,594.24,1079.35,939.61,1088.57,939.61,62.01426000000001,Yale,16
149,SUNY-Binghamton,Win 8-7,0.75,Counts,0.058600000000000006,2023-04-30,Metro East D I College Mens Regionals 2022,1,8,7,125,1,957.14,1069.38,1082.1399999999999,1068.63,1082.1399999999999,63.413404,Yale,17
94,Princeton,Loss 7-9,-10.33,Counts,0.0605,2023-05-01,Metro East D I College Mens Regionals 2022,0,7,9,-279.34,-2,1189.13,1080.46,909.7900000000002,1090.79,909.7900000000002,55.04229500000001,Yale,18
96,RIT,Win 8-6,24.37,Counts,0.056600000000000004,2023-05-01,Metro East D I College Mens Regionals 2022,1,8,6,300.49,2,1175.71,1045.76,1476.2,1021.39,1476.2,83.55292000000001,Yale,19
105,Rutgers,Loss 7-9,-13.36,Counts,0.0605,2023-05-01,Metro East D I College Mens Regionals 2022,0,7,9,-279.34,-2,1142.11,1083.49,862.77,1096.85,862.77,52.197585,Yale,20
