OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
91,Skidmore,Win 9-7,15.52,Counts,0.07519999999999999,2023-03-26,New York Invite,1,9,7,279.34,2,966.62,1039.52,1245.96,1024,1245.96,93.69619199999998,Amherst,1
196,Cornell-B,Win 12-4,0,Ignored,0,2023-03-26,New York Invite,1,12,4,600,8,231.7,1055.04,831.7,1055.04,0,0,Amherst,2
90,New Hampshire,Loss 4-9,-48.49,Counts,0.0678,2023-03-26,New York Invite,0,4,9,-600,-5,987.85,1103.53,387.85,1152.02,387.85,26.29623,Amherst,3
140,Ithaca,Win 10-6,6.58,Counts,0.07519999999999999,2023-03-26,New York Invite,1,10,6,496.16,4,639.82,1048.46,1135.98,1041.88,1135.98,85.42569599999999,Amherst,4
133,Smith,Win 5-2,11.42,Counts,0.0558,2023-04-10,South New England D III College Womens CC 2022,1,5,2,600,3,648.32,1043.61,1248.3200000000002,1032.1899999999998,1248.3200000000002,69.65625600000001,Amherst,5
80,Mount Holyoke,Win 11-3,53.15,Counts,0.08439999999999999,2023-04-10,South New England D III College Womens CC 2022,1,11,3,600,8,1031.85,1001.89,1631.85,948.74,1631.85,137.72813999999997,Amherst,6
28,Williams,Loss 6-7,25.54,Counts,0.076,2023-04-10,South New England D III College Womens CC 2022,0,6,7,-125,-1,1490.38,1029.49,1365.38,1003.95,1365.38,103.76888000000001,Amherst,7
28,Williams,Loss 3-10,-17.39,Counts,0.0955,2023-04-30,New England D III College Womens Regionals 2022,0,3,10,-600,-7,1490.38,1072.43,890.3800000000001,1089.8200000000002,890.3800000000001,85.03129000000001,Amherst,8
146,Stonehill,Win 8-4,10.05,Counts,0.08689999999999999,2023-04-30,New England D III College Womens Regionals 2022,1,8,4,564.81,4,595.83,1044.99,1160.6399999999999,1034.94,1160.6399999999999,100.85961599999997,Amherst,9
80,Mount Holyoke,Loss 4-7,-47.13,Counts,0.0832,2023-04-30,New England D III College Womens Regionals 2022,0,4,7,-496.16,-3,1031.85,1102.16,535.6899999999998,1149.2900000000002,535.6899999999998,44.56940799999998,Amherst,10
133,Smith,Win 9-0,19.22,Counts,0.0904,2023-04-30,New England D III College Womens Regionals 2022,1,9,0,600,9,648.32,1035.82,1248.3200000000002,1016.5999999999999,1248.3200000000002,112.848128,Amherst,11
22,Middlebury,Loss 7-9,23.02,Counts,0.1003,2023-05-01,New England D III College Womens Regionals 2022,0,7,9,-279.34,-2,1540.81,1032.02,1261.47,1009,1261.47,126.525441,Amherst,12
89,Brandeis,Loss 8-11,-52.46,Counts,0.1093,2023-05-01,New England D III College Womens Regionals 2022,0,8,11,-365.61,-3,993.33,1107.49,627.72,1159.95,627.72,68.609796,Amherst,13
