OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
169,Houston,Win 10-2,15.71,Counts,0.0403,2023-02-12,Antifreeze 2022,1,10,2,600,8,421.33,631.33,1021.3299999999999,615.62,1021.3299999999999,41.159599,Arizona State,1
132,Trinity,Loss 6-7,-4.48,Counts,0.0381,2023-02-12,Antifreeze 2022,0,6,7,-125,-1,658.98,651.53,533.98,656.01,533.98,20.344638000000003,Arizona State,2
208,Texas-B,Win 11-1,3.46,Counts,0.042300000000000004,2023-02-12,Antifreeze 2022,1,11,1,600,10,125.3,643.59,725.3,640.13,725.3,30.68019,Arizona State,3
219,Texas-San Antonio,Win 8-2,0,Ignored,0,2023-02-12,Antifreeze 2022,1,8,2,600,6,42.6,647.05,642.6,647.05,0,0,Arizona State,4
165,North Texas,Win 10-8,3.55,Counts,0.0449,2023-02-13,Antifreeze 2022,1,10,8,262.67,2,460,643.49,722.6700000000001,639.94,722.6700000000001,32.447883000000004,Arizona State,5
132,Trinity,Win 10-4,25.68,Counts,0.0403,2023-02-13,Antifreeze 2022,1,10,4,600,6,658.98,621.36,1258.98,595.6800000000001,1258.98,50.73689400000001,Arizona State,6
126,Sam Houston State,Loss 4-12,-24.91,Counts,0.0443,2023-02-13,Antifreeze 2022,0,4,12,-600,-8,709.17,671.95,109.16999999999996,696.86,109.16999999999996,4.836230999999998,Arizona State,7
131,Arizona,Win 11-8,25.03,Counts,0.0616,2023-03-19,Uomo Donna,1,11,8,365.61,3,663.02,622.02,1028.63,596.99,1028.63,63.363608000000006,Arizona State,8
239,Arizona-B,Win 13-1,0,Ignored,0,2023-03-19,Uomo Donna,1,13,1,600,12,NA,647.05,NA,647.05,0,NA,Arizona State,9
210,Northern Arizona,Win 11-2,3.53,Counts,0.0565,2023-03-19,Uomo Donna,1,11,2,600,9,106.08,643.51,706.08,639.98,706.08,39.89352,Arizona State,10
131,Arizona,Loss 6-7,-5.85,Counts,0.0509,2023-03-20,Uomo Donna,0,6,7,-125,-1,663.02,652.89,538.02,658.74,538.02,27.385218,Arizona State,11
239,Arizona-B,Win 13-0,0,Ignored,0,2023-03-20,Uomo Donna,1,13,0,600,13,NA,647.05,NA,647.05,0,NA,Arizona State,12
131,Arizona,Loss 8-12,-38.06,Counts,0.08220000000000001,2023-04-23,Desert D I College Womens CC 2022,0,8,12,-441.15,-4,663.02,685.11,221.87,723.1700000000001,221.87,18.237714000000004,Arizona State,13
NA,New Mexico,Win 14-5,0,Ignored,0,2023-04-23,Desert D I College Womens CC 2022,1,14,5,600,9,390.08,647.05,990.0799999999999,647.05,0,0,Arizona State,14
210,Northern Arizona,Win 6-3,0.34,Counts,0.0565,2023-04-23,Desert D I College Womens CC 2022,1,6,3,546.69,3,106.08,646.7,652.7700000000001,646.36,652.7700000000001,36.881505000000004,Arizona State,15
9,California-San Diego,Loss 4-13,0,Ignored,0,2023-05-07,Southwest D I College Womens Regionals 2022,0,4,13,-600,-9,1958.09,647.05,1358.09,647.05,0,0,Arizona State,16
57,Santa Clara,Loss 3-13,-3.26,Counts,0.0922,2023-05-07,Southwest D I College Womens Regionals 2022,0,3,13,-600,-10,1214.91,650.31,614.9100000000001,653.5699999999999,614.9100000000001,56.69470200000001,Arizona State,17
112,California-San Diego-B,Win 10-9,27.79,Counts,0.0922,2023-05-07,Southwest D I College Womens Regionals 2022,1,10,9,125,1,795.6,619.25,920.6,591.46,920.6,84.87932,Arizona State,18
94,UCSC,Loss 8-13,-19.28,Counts,0.0922,2023-05-07,Southwest D I College Womens Regionals 2022,0,8,13,-496.16,-5,953.42,666.33,457.25999999999993,685.61,457.25999999999993,42.159372,Arizona State,19
131,Arizona,Loss 6-13,-59.33,Counts,0.0922,2023-05-08,Southwest D I College Womens Regionals 2022,0,6,13,-600,-7,663.02,706.38,63.01999999999998,765.71,63.01999999999998,5.810443999999999,Arizona State,20
129,Nevada-Reno,Win 8-4,47.61,Counts,0.0733,2023-05-08,Southwest D I College Womens Regionals 2022,1,8,4,564.81,4,684.23,599.43,1249.04,551.8199999999999,1249.04,91.554632,Arizona State,21
