OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
140,Ithaca,Loss 12-13,0.75,Counts,0.09849999999999999,2023-02-26,Bring The Huckus 12,0,12,13,-125,-1,639.82,507.23,514.82,506.48,514.82,50.70977,Boston College,1
147,Swarthmore,Loss 4-15,-56.07,Counts,0.09849999999999999,2023-02-26,Bring The Huckus 12,0,4,15,-600,-11,594.68,564.05,-5.32000000000005,620.12,-5.32000000000005,-0.5240200000000049,Boston College,2
65,Haverford,Loss 8-15,7.21,Counts,0.09849999999999999,2023-02-26,Bring The Huckus 12,0,8,15,-564.81,-7,1138.76,500.78,573.95,493.57,573.95,56.534075,Boston College,3
93,SUNY-Geneseo,Loss 6-9,3.23,Counts,0.0875,2023-02-27,Bring The Huckus 12,0,6,9,-418.57,-3,960.28,504.75,541.71,501.52,541.71,47.399625,Boston College,4
140,Ithaca,Win 11-10,28.05,Counts,0.09849999999999999,2023-02-27,Bring The Huckus 12,1,11,10,125,1,639.82,479.93,764.82,451.88,764.82,75.33476999999999,Boston College,5
147,Swarthmore,Loss 7-10,-31.12,Counts,0.0931,2023-02-27,Bring The Huckus 12,0,7,10,-389.67,-3,594.68,539.1,205.00999999999993,570.22,205.00999999999993,19.086430999999994,Boston College,6
7,Tufts,Loss 0-13,0,Ignored,0,2023-04-23,Metro Boston D I College Womens CC 2022,0,0,13,-600,-13,2009.18,507.98,1409.18,507.98,0,0,Boston College,7
154,Harvard,Win 11-5,105.45,Counts,0.1434,2023-04-23,Metro Boston D I College Womens CC 2022,1,11,5,600,6,537.68,402.53,1137.6799999999998,297.08,1137.6799999999998,163.14331199999998,Boston College,8
79,MIT,Loss 7-10,23.51,Counts,0.1479,2023-04-23,Metro Boston D I College Womens CC 2022,0,7,10,-389.67,-3,1033.13,484.47,643.46,460.96000000000004,643.46,95.16773400000001,Boston College,9
154,Harvard,Loss 5-9,-77.39,Counts,0.13419999999999999,2023-04-24,Metro Boston D I College Womens CC 2022,0,5,9,-529.06,-4,537.68,585.37,8.620000000000005,662.76,8.620000000000005,1.1568040000000004,Boston College,10
