OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
8,Stanford,Win 15-7,22.27,Counts,0.0444,2023-03-26,Northwest Challenge,1,15,7,600,8,1985.87,2084.45,2585.87,2062.18,2585.87,114.812628,British Columbia,1
3,Carleton College,Loss 12-14,-7.17,Counts,0.0444,2023-03-26,Northwest Challenge,0,12,14,-220.96,-2,2173.45,2113.88,1952.4899999999998,2121.05,1952.4899999999998,86.690556,British Columbia,2
16,Western Washington,Win 15-3,9,Counts,0.0444,2023-03-26,Northwest Challenge,1,15,3,600,12,1700.37,2097.72,2300.37,2088.72,2300.37,102.136428,British Columbia,3
40,Whitman,Win 15-1,0,Ignored,0,2023-03-26,Northwest Challenge,1,15,1,600,14,1340.5,2106.72,1940.5,2106.72,0,0,British Columbia,4
1,North Carolina,Loss 10-15,-10.08,Counts,0.0444,2023-03-27,Northwest Challenge,0,10,15,-453.6,-5,2343.45,2116.8,1889.85,2126.88,1889.85,83.90934,British Columbia,5
3,Carleton College,Win 15-13,13.06,Counts,0.0444,2023-03-27,Northwest Challenge,1,15,13,214.18,2,2173.45,2093.66,2387.6299999999997,2080.6,2387.6299999999997,106.01077199999999,British Columbia,6
46,Victoria,Win 13-4,0,Ignored,0,2023-04-16,Cascadia D I College Womens CC 2022,1,13,4,600,9,1296.01,2106.72,1896.01,2106.72,0,0,British Columbia,7
17,Oregon,Win 13-3,8.02,Counts,0.0528,2023-04-16,Cascadia D I College Womens CC 2022,1,13,3,600,10,1650.51,2098.7,2250.51,2090.68,2250.51,118.82692800000001,British Columbia,8
16,Western Washington,Win 13-2,10.8,Counts,0.0528,2023-04-17,Cascadia D I College Womens CC 2022,1,13,2,600,11,1700.37,2095.92,2300.37,2085.12,2300.37,121.459536,British Columbia,9
6,Washington,Loss 8-13,-29.79,Counts,0.0528,2023-04-17,Cascadia D I College Womens CC 2022,0,8,13,-496.16,-5,2068.65,2136.5,1572.49,2166.29,1572.49,83.027472,British Columbia,10
40,Whitman,Win 13-5,0,Ignored,0,2023-05-07,Northwest D I College Womens Regionals 2022,1,13,5,600,8,1340.5,2106.72,1940.5,2106.72,0,0,British Columbia,11
46,Victoria,Win 11-3,0,Ignored,0,2023-05-07,Northwest D I College Womens Regionals 2022,1,11,3,600,8,1296.01,2106.72,1896.01,2106.72,0,0,British Columbia,12
17,Oregon,Win 11-2,8.79,Counts,0.0576,2023-05-07,Northwest D I College Womens Regionals 2022,1,11,2,600,9,1650.51,2097.92,2250.51,2089.13,2250.51,129.629376,British Columbia,13
17,Oregon,Win 15-4,9.64,Counts,0.06280000000000001,2023-05-07,Northwest D I College Womens Regionals 2022,1,15,4,600,11,1650.51,2097.08,2250.51,2087.44,2250.51,141.33202800000004,British Columbia,14
16,Western Washington,Win 12-8,2.33,Counts,0.06280000000000001,2023-05-07,Northwest D I College Womens Regionals 2022,1,12,8,441.15,4,1700.37,2104.38,2141.52,2102.05,2141.52,134.487456,British Columbia,15
6,Washington,Loss 9-12,-25.7,Counts,0.06280000000000001,2023-05-08,Northwest D I College Womens Regionals 2022,0,9,12,-345.37,-3,2068.65,2132.41,1723.2800000000002,2158.1099999999997,1723.2800000000002,108.22198400000002,British Columbia,16
20,Virginia,Win 15-5,6.68,Counts,0.0747,2023-05-27,2022 D I College Championships,1,15,5,600,10,1589.46,2100.04,2189.46,2093.36,2189.46,163.552662,British Columbia,17
3,Carleton College,Loss 14-15,-4.7,Counts,0.0747,2023-05-27,2022 D I College Championships,0,14,15,-125,-1,2173.45,2111.42,2048.45,2116.12,2048.45,153.019215,British Columbia,18
9,California-San Diego,Loss 11-14,-37.29,Counts,0.0747,2023-05-28,2022 D I College Championships,0,11,14,-313.34,-3,1958.09,2144.01,1644.75,2181.3,1644.75,122.862825,British Columbia,19
35,Colorado State,Win 15-4,0,Ignored,0,2023-05-28,2022 D I College Championships,1,15,4,600,11,1405.77,2106.72,2005.77,2106.72,0,0,British Columbia,20
11,California-Davis,Win 15-8,28.68,Counts,0.0747,2023-05-28,2022 D I College Championships,1,15,8,564.81,7,1897.16,2078.04,2461.9700000000003,2049.36,2461.9700000000003,183.90915900000002,British Columbia,21
1,North Carolina,Loss 12-15,-5.15,Counts,0.0747,2023-05-29,2022 D I College Championships,0,12,15,-300.49,-3,2343.45,2111.86,2042.9599999999998,2117.01,2042.9599999999998,152.60911199999998,British Columbia,22
