OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
139,Auburn,Win 15-2,0,Ignored,0,2023-02-26,Commonwealth Cup Weekend 2,1,15,2,600,13,640.3,1501.72,1240.3,1501.72,0,0,Brown,1
48,Penn State,Win 11-9,0.81,Counts,0.0342,2023-02-26,Commonwealth Cup Weekend 2,1,11,9,249.21,2,1275.52,1500.9,1524.73,1500.0900000000001,1524.73,52.145766,Brown,2
50,Carnegie Mellon,Win 15-7,13.03,Counts,0.0342,2023-02-26,Commonwealth Cup Weekend 2,1,15,7,600,8,1270.24,1488.69,1870.24,1475.66,1870.24,63.962208000000004,Brown,3
20,Virginia,Loss 12-13,-1.32,Counts,0.0342,2023-02-26,Commonwealth Cup Weekend 2,0,12,13,-125,-1,1589.46,1503.04,1464.46,1504.36,1464.46,50.084532,Brown,4
24,Ohio,Win 15-6,21.35,Counts,0.0342,2023-02-27,Commonwealth Cup Weekend 2,1,15,6,600,9,1505.49,1480.37,2105.49,1459.02,2105.49,72.007758,Brown,5
29,Purdue,Win 13-8,16.55,Counts,0.0342,2023-02-27,Commonwealth Cup Weekend 2,1,13,8,496.16,5,1473.48,1485.17,1969.64,1468.6200000000001,1969.64,67.361688,Brown,6
50,Carnegie Mellon,Win 11-9,0.63,Counts,0.0342,2023-02-27,Commonwealth Cup Weekend 2,1,11,9,249.21,2,1270.24,1501.09,1519.45,1500.4599999999998,1519.45,51.96519000000001,Brown,7
36,Yale,Loss 9-10,-10.69,Counts,0.0406,2023-03-19,Jersey Devil,0,9,10,-125,-1,1374.29,1512.4,1249.29,1523.0900000000001,1249.29,50.721174,Brown,8
70,Cornell,Win 13-5,8.72,Counts,0.0406,2023-03-19,Jersey Devil,1,13,5,600,8,1107.62,1493,1707.62,1484.28,1707.62,69.32937199999999,Brown,9
28,Williams,Loss 5-10,-21.91,Counts,0.0361,2023-03-19,Jersey Devil,0,5,10,-573.9,-5,1490.38,1523.63,916.4800000000001,1545.5400000000002,916.4800000000001,33.084928000000005,Brown,10
37,Wellesley,Win 12-11,-0.36,Counts,0.0406,2023-03-20,Jersey Devil,1,12,11,125,1,1368.3,1502.07,1493.3,1502.4299999999998,1493.3,60.627979999999994,Brown,11
36,Yale,Win 9-7,5.88,Counts,0.0373,2023-03-20,Jersey Devil,1,9,7,279.34,2,1374.29,1495.84,1653.6299999999999,1489.9599999999998,1653.6299999999999,61.680398999999994,Brown,12
101,Massachusetts,Win 15-6,0.06,Counts,0.045599999999999995,2023-04-02,Northeast Classic,1,15,6,600,9,903.06,1501.65,1503.06,1501.5900000000001,1503.06,68.53953599999998,Brown,13
91,Skidmore,Win 15-0,3.1,Counts,0.045599999999999995,2023-04-02,Northeast Classic,1,15,0,600,15,966.62,1498.62,1566.62,1495.52,1566.62,71.43787199999998,Brown,14
31,SUNY-Binghamton,Loss 8-14,-27.99,Counts,0.045599999999999995,2023-04-02,Northeast Classic,0,8,14,-536.03,-6,1451.86,1529.7,915.8299999999999,1557.69,915.8299999999999,41.76184799999999,Brown,15
NA,Colgate,Win 13-4,0,Ignored,0,2023-04-03,Northeast Classic,1,13,4,600,9,510.61,1501.72,1110.6100000000001,1501.72,0,0,Brown,16
31,SUNY-Binghamton,Loss 8-15,-29.36,Counts,0.045599999999999995,2023-04-03,Northeast Classic,0,8,15,-564.81,-7,1451.86,1531.08,887.05,1560.4399999999998,887.05,40.449479999999994,Brown,17
101,Massachusetts,Win 12-6,-1.01,Counts,0.049800000000000004,2023-04-16,Greater New England D I College Womens CC 2022,1,12,6,579.31,6,903.06,1502.73,1482.37,1503.74,1482.37,73.822026,Brown,18
43,Dartmouth,Win 11-7,15.35,Counts,0.049800000000000004,2023-04-16,Greater New England D I College Womens CC 2022,1,11,7,466.89,4,1327.67,1486.37,1794.56,1471.02,1794.56,89.369088,Brown,19
10,Vermont,Loss 10-15,-1.28,Counts,0.0512,2023-04-16,Greater New England D I College Womens CC 2022,0,10,15,-453.6,-5,1931.61,1503,1478.0099999999998,1504.28,1478.0099999999998,75.674112,Brown,20
39,Boston University,Win 8-7,-1.12,Counts,0.0541,2023-05-07,New England D I College Womens Regionals 2022,1,8,7,125,1,1357.11,1502.84,1482.11,1503.9599999999998,1482.11,80.182151,Brown,21
10,Vermont,Loss 7-9,8.9,Counts,0.0558,2023-05-07,New England D I College Womens Regionals 2022,0,7,9,-279.34,-2,1931.61,1492.81,1652.27,1483.9099999999999,1652.27,92.19666600000001,Brown,22
21,Northeastern,Win 8-7,9.79,Counts,0.0541,2023-05-07,New England D I College Womens Regionals 2022,1,8,7,125,1,1548.06,1491.92,1673.06,1482.13,1673.06,90.512546,Brown,23
7,Tufts,Loss 4-13,-6,Counts,0.060899999999999996,2023-05-08,New England D I College Womens Regionals 2022,0,4,13,-600,-9,2009.18,1507.71,1409.18,1513.71,1409.18,85.819062,Brown,24
21,Northeastern,Loss 4-5,-3.44,Counts,0.04190000000000001,2023-05-08,New England D I College Womens Regionals 2022,0,4,5,-125,-1,1548.06,1505.16,1423.06,1508.6000000000001,1423.06,59.626214000000004,Brown,25
