OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
12,Brigham Young,Loss 5-15,0,Ignored,0,2023-01-29,Santa Barbara Invite 2022,0,5,15,-600,-10,1808.7,1176.39,1208.7,1176.39,0,0,Cal Poly-SLO,1
78,Southern California,Win 9-8,-0.67,Counts,0.0546,2023-01-29,Santa Barbara Invite 2022,1,9,8,125,1,1039.77,1177.06,1164.77,1177.73,1164.77,63.596442,Cal Poly-SLO,2
9,California-San Diego,Loss 3-12,0,Ignored,0,2023-01-29,Santa Barbara Invite 2022,0,3,12,-600,-9,1958.09,1176.39,1358.09,1176.39,0,0,Cal Poly-SLO,3
94,UCSC,Win 11-7,14.51,Counts,0.056100000000000004,2023-01-30,Santa Barbara Invite 2022,1,11,7,466.89,4,953.42,1161.88,1420.31,1147.3700000000001,1420.31,79.67939100000001,Cal Poly-SLO,4
4,California-Santa Barbara,Loss 7-11,30.69,Counts,0.056100000000000004,2023-01-30,Santa Barbara Invite 2022,0,7,11,-466.89,-4,2159.38,1145.7,1692.4900000000002,1115.01,1692.4900000000002,94.94868900000002,Cal Poly-SLO,5
18,UCLA,Loss 4-11,-8.81,Counts,0.0529,2023-01-30,Santa Barbara Invite 2022,0,4,11,-600,-7,1618.64,1185.2,1018.6400000000001,1194.01,1018.6400000000001,53.88605600000001,Cal Poly-SLO,6
97,Utah,Win 9-7,2.42,Counts,0.0629,2023-02-19,Presidents Day Invite 2022,1,9,7,279.34,2,933.13,1173.97,1212.47,1171.55,1212.47,76.264363,Cal Poly-SLO,7
2,Colorado,Loss 0-15,0,Ignored,0,2023-02-19,Presidents Day Invite 2022,0,0,15,-600,-15,2239.23,1176.39,1639.23,1176.39,0,0,Cal Poly-SLO,8
4,California-Santa Barbara,Loss 3-11,0,Ignored,0,2023-02-19,Presidents Day Invite 2022,0,3,11,-600,-8,2159.38,1176.39,1559.38,1176.39,0,0,Cal Poly-SLO,9
112,California-San Diego-B,Win 12-4,15.44,Counts,0.0658,2023-02-20,Presidents Day Invite 2022,1,12,4,600,8,795.6,1160.94,1395.6,1145.5,1395.6,91.83048,Cal Poly-SLO,10
9,California-San Diego,Loss 5-12,0,Ignored,0,2023-02-20,Presidents Day Invite 2022,0,5,12,-600,-7,1958.09,1176.39,1358.09,1176.39,0,0,Cal Poly-SLO,11
18,UCLA,Loss 6-10,-3.62,Counts,0.0629,2023-02-21,Presidents Day Invite 2022,0,6,10,-496.16,-4,1618.64,1180.01,1122.48,1183.6299999999999,1122.48,70.603992,Cal Poly-SLO,12
27,California,Loss 5-9,-12.84,Counts,0.058899999999999994,2023-02-21,Presidents Day Invite 2022,0,5,9,-529.06,-4,1500.15,1189.23,971.0900000000001,1202.07,971.0900000000001,57.197201,Cal Poly-SLO,13
78,Southern California,Loss 7-10,-64.45,Counts,0.1091,2023-04-23,SoCal D I College Womens CC 2022,0,7,10,-389.67,-3,1039.77,1240.84,650.0999999999999,1305.29,650.0999999999999,70.92590999999999,Cal Poly-SLO,14
9,California-San Diego,Loss 7-13,29.23,Counts,0.1153,2023-04-23,SoCal D I College Womens CC 2022,0,7,13,-557.53,-6,1958.09,1147.16,1400.56,1117.93,1400.56,161.484568,Cal Poly-SLO,15
18,UCLA,Loss 4-9,-16.64,Counts,0.09539999999999998,2023-04-23,SoCal D I College Womens CC 2022,0,4,9,-600,-5,1618.64,1193.03,1018.6400000000001,1209.67,1018.6400000000001,97.17825599999999,Cal Poly-SLO,16
4,California-Santa Barbara,Loss 3-12,0,Ignored,0,2023-04-23,SoCal D I College Womens CC 2022,0,3,12,-600,-9,2159.38,1176.39,1559.38,1176.39,0,0,Cal Poly-SLO,17
78,Southern California,Win 10-7,30.99,Counts,0.1091,2023-04-24,SoCal D I College Womens CC 2022,1,10,7,389.67,3,1039.77,1145.4,1429.44,1114.41,1429.44,155.951904,Cal Poly-SLO,18
18,UCLA,Loss 4-10,-17.68,Counts,0.1008,2023-04-24,SoCal D I College Womens CC 2022,0,4,10,-600,-6,1618.64,1194.06,1018.6400000000001,1211.74,1018.6400000000001,102.67891200000001,Cal Poly-SLO,19
