OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
41,Colorado College,Win 13-3,1.02,Counts,0.0278,2023-02-19,Presidents Day Invite 2022,1,13,3,600,10,1332.86,1896.14,1932.86,1895.1200000000001,1932.86,53.73350799999999,California-Davis,1
78,Southern California,Win 12-2,0,Ignored,0,2023-02-19,Presidents Day Invite 2022,1,12,2,600,10,1039.77,1897.16,1639.77,1897.16,0,0,California-Davis,2
18,UCLA,Win 9-5,6.12,Counts,0.023799999999999998,2023-02-20,Presidents Day Invite 2022,1,9,5,529.06,4,1618.64,1891.04,2147.7,1884.92,2147.7,51.11525999999999,California-Davis,3
2,Colorado,Win 11-7,22.48,Counts,0.027000000000000003,2023-02-20,Presidents Day Invite 2022,1,11,7,466.89,4,2239.23,1874.67,2706.12,1852.19,2706.12,73.06524,California-Davis,4
9,California-San Diego,Loss 7-9,-5.71,Counts,0.0255,2023-02-21,Presidents Day Invite 2022,0,7,9,-279.34,-2,1958.09,1902.87,1678.75,1908.58,1678.75,42.808125,California-Davis,5
18,UCLA,Loss 4-7,-16.73,Counts,0.021099999999999997,2023-02-21,Presidents Day Invite 2022,0,4,7,-496.16,-3,1618.64,1913.89,1122.48,1930.6200000000001,1122.48,23.684327999999997,California-Davis,6
17,Oregon,Win 11-6,9.12,Counts,0.029500000000000002,2023-03-05,Stanford Invite 2022,1,11,6,546.69,5,1650.51,1888.04,2197.2,1878.92,2197.2,64.81739999999999,California-Davis,7
40,Whitman,Win 12-3,1.34,Counts,0.029900000000000003,2023-03-05,Stanford Invite 2022,1,12,3,600,9,1340.5,1895.82,1940.5,1894.48,1940.5,58.020950000000006,California-Davis,8
3,Carleton College,Loss 4-12,-9.99,Counts,0.029900000000000003,2023-03-05,Stanford Invite 2022,0,4,12,-600,-8,2173.45,1907.14,1573.4499999999998,1917.13,1573.4499999999998,47.046155,California-Davis,9
2,Colorado,Loss 6-9,-2.18,Counts,0.0277,2023-03-05,Stanford Invite 2022,0,6,9,-418.57,-3,2239.23,1899.34,1820.66,1901.52,1820.66,50.432282,California-Davis,10
27,California,Win 11-8,-1.01,Counts,0.031200000000000002,2023-03-06,Stanford Invite 2022,1,11,8,365.61,3,1500.15,1898.17,1865.7600000000002,1899.18,1865.7600000000002,58.21171200000001,California-Davis,11
8,Stanford,Loss 6-9,-9.4,Counts,0.0277,2023-03-06,Stanford Invite 2022,0,6,9,-418.57,-3,1985.87,1906.56,1567.3,1915.96,1567.3,43.41421,California-Davis,12
118,Humboldt State,Win 12-2,0,Ignored,0,2023-04-16,NorCal D I College Womens CC 2022,1,12,2,600,10,762.56,1897.16,1362.56,1897.16,0,0,California-Davis,13
160,Sonoma State,Win 13-0,0,Ignored,0,2023-04-16,NorCal D I College Womens CC 2022,1,13,0,600,13,493.28,1897.16,1093.28,1897.16,0,0,California-Davis,14
94,UCSC,Win 13-1,0,Ignored,0,2023-04-16,NorCal D I College Womens CC 2022,1,13,1,600,12,953.42,1897.16,1553.42,1897.16,0,0,California-Davis,15
57,Santa Clara,Win 13-2,0,Ignored,0,2023-04-16,NorCal D I College Womens CC 2022,1,13,2,600,11,1214.91,1897.16,1814.91,1897.16,0,0,California-Davis,16
27,California,Win 12-8,2.04,Counts,0.0441,2023-04-17,NorCal D I College Womens CC 2022,1,12,8,441.15,4,1500.15,1895.12,1941.3000000000002,1893.08,1941.3000000000002,85.61133000000001,California-Davis,17
27,California,Win 8-5,2.14,Counts,0.0365,2023-04-17,NorCal D I College Womens CC 2022,1,8,5,453.6,3,1500.15,1895.01,1953.75,1892.87,1953.75,71.311875,California-Davis,18
8,Stanford,Loss 9-10,-1.67,Counts,0.0441,2023-04-17,NorCal D I College Womens CC 2022,0,9,10,-125,-1,1985.87,1898.83,1860.87,1900.5,1860.87,82.06436699999999,California-Davis,19
27,California,Win 13-8,5.49,Counts,0.0524,2023-05-07,Southwest D I College Womens Regionals 2022,1,13,8,496.16,5,1500.15,1891.67,1996.3100000000002,1886.18,1996.3100000000002,104.60664400000002,California-Davis,20
18,UCLA,Win 13-8,12.05,Counts,0.0524,2023-05-07,Southwest D I College Womens Regionals 2022,1,13,8,496.16,5,1618.64,1885.11,2114.8,1873.06,2114.8,110.81552000000002,California-Davis,21
129,Nevada-Reno,Win 13-1,0,Ignored,0,2023-05-07,Southwest D I College Womens Regionals 2022,1,13,1,600,12,684.23,1897.16,1284.23,1897.16,0,0,California-Davis,22
4,California-Santa Barbara,Loss 12-13,7.59,Counts,0.0524,2023-05-07,Southwest D I College Womens Regionals 2022,0,12,13,-125,-1,2159.38,1889.56,2034.38,1881.97,2034.38,106.60151200000001,California-Davis,23
8,Stanford,Loss 3-13,-28.3,Counts,0.0524,2023-05-08,Southwest D I College Womens Regionals 2022,0,3,13,-600,-10,1985.87,1925.46,1385.87,1953.76,1385.87,72.619588,California-Davis,24
18,UCLA,Win 13-7,15.44,Counts,0.0524,2023-05-08,Southwest D I College Womens Regionals 2022,1,13,7,557.53,6,1618.64,1881.71,2176.17,1866.27,2176.17,114.03130800000001,California-Davis,25
13,Pittsburgh,Win 12-10,4.01,Counts,0.062400000000000004,2023-05-27,2022 D I College Championships,1,12,10,238.12,2,1719.32,1893.15,1957.44,1889.14,1957.44,122.14425600000001,California-Davis,26
29,Purdue,Win 15-10,1.99,Counts,0.062400000000000004,2023-05-27,2022 D I College Championships,1,15,10,453.6,5,1473.48,1895.17,1927.08,1893.18,1927.08,120.249792,California-Davis,27
5,British Columbia,Loss 8-15,-23.63,Counts,0.062400000000000004,2023-05-28,2022 D I College Championships,0,8,15,-564.81,-7,2106.72,1920.79,1541.9099999999999,1944.42,1541.9099999999999,96.215184,California-Davis,28
7,Tufts,Win 13-11,22.67,Counts,0.062400000000000004,2023-05-28,2022 D I College Championships,1,13,11,228.84,2,2009.18,1874.48,2238.02,1851.81,2238.02,139.65244800000002,California-Davis,29
2,Colorado,Loss 8-15,-14.82,Counts,0.062400000000000004,2023-05-28,2022 D I College Championships,0,8,15,-564.81,-7,2239.23,1911.97,1674.42,1926.79,1674.42,104.48380800000001,California-Davis,30
